,5e2180f70e01cd000d9f79ed
Type,RD
FishN,15
Fish,5
Pond11Fish5_FishType,blue
Pond11Fish5_FishLatency,6.666666666666667
Pond11Fish5_CatchTime,1.201
Pond11Fish5_PondTime,44.36
Pond11Fish5_PondOutcome,60
Pond11Fish5_TotalOutcome,653
Pond11Fish5_TimeLeft,385.928
Type,RD
FishN,15
Fish,6
Pond11Fish6_FishType,blue
Pond11Fish6_FishLatency,7.5
Pond11Fish6_CatchTime,0.78
Pond11Fish6_PondTime,55.293
Pond11Fish6_PondOutcome,72
Pond11Fish6_TotalOutcome,665
Pond11Fish6_TimeLeft,374.995
Type,RD
FishN,15
Fish,7
Pond11Fish7_FishType,blue
Pond11Fish7_FishLatency,8.571428571428571
Pond11Fish7_CatchTime,0.839
Pond11Fish7_PondTime,67.66
Pond11Fish7_PondOutcome,84
Pond11Fish7_TotalOutcome,677
Pond11Fish7_TimeLeft,362.628
Type,RD
FishN,15
Fish,8
Pond11Fish8_FishType,blue
Pond11Fish8_FishLatency,10
Pond11Fish8_CatchTime,1.97
Pond11Fish8_PondTime,82.325
Pond11Fish8_PondOutcome,96
Pond11Fish8_TotalOutcome,689
Pond11Fish8_TimeLeft,347.963
Type,RD
FishN,15
Fish,9
Pond11Fish9_FishType,blue
Pond11Fish9_FishLatency,12
Pond11Fish9_CatchTime,0.899
Pond11Fish9_PondTime,99.688
Pond11Fish9_PondOutcome,108
Pond11Fish9_TotalOutcome,701
Pond11Fish9_TimeLeft,330.6
Type,RD
FishN,15
Fish,10
Pond11Fish10_FishType,blue
Pond11Fish10_FishLatency,15
Pond11Fish10_CatchTime,0.926
Pond11Fish10_PondTime,122.052
Pond11Fish10_PondOutcome,120
Pond11Fish10_TotalOutcome,713
Pond11Fish10_TimeLeft,308.236
PondEnd_LastFish,10
FishN,13
Type,RD
GiveUpTime,0.843
PondTime,154.355
TimeLeft,275.43
PondOutcome,120
TotalOutcome,713
PondStart,PondStart
PondIntroTime,18.462062117177993
Type,N
FishN,19
Fish,1
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,3.5294117647058822
Pond4Fish1_CatchTime,0.91
Pond4Fish1_PondTime,8.016
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,724
Pond4Fish1_TimeLeft,248.325
Type,N
FishN,19
Fish,2
Pond4Fish2_FishType,green
Pond4Fish2_FishLatency,3.75
Pond4Fish2_CatchTime,1.081
Pond4Fish2_PondTime,14.397
Pond4Fish2_PondOutcome,22
Pond4Fish2_TotalOutcome,735
Pond4Fish2_TimeLeft,241.944
Type,N
FishN,19
Fish,3
Pond4Fish3_FishType,green
Pond4Fish3_FishLatency,4
Pond4Fish3_CatchTime,1.144
Pond4Fish3_PondTime,21.047
Pond4Fish3_PondOutcome,33
Pond4Fish3_TotalOutcome,746
Pond4Fish3_TimeLeft,235.294
Type,N
FishN,19
Fish,4
Pond4Fish4_FishType,green
Pond4Fish4_FishLatency,4.285714285714286
Pond4Fish4_CatchTime,0.857
Pond4Fish4_PondTime,28.029
Pond4Fish4_PondOutcome,44
Pond4Fish4_TotalOutcome,757
Pond4Fish4_TimeLeft,228.312
Type,N
FishN,19
Fish,5
Pond4Fish5_FishType,green
Pond4Fish5_FishLatency,4.615384615384615
