,5dac63da21420b0014a509c1
Pond3Fish8_TotalOutcome,680
Pond3Fish8_TimeLeft,441.769
Type,RD
FishN,18
Fish,9
Pond3Fish9_FishType,blue
Pond3Fish9_FishLatency,6.666666666666667
Pond3Fish9_CatchTime,0.781
Pond3Fish9_PondTime,70.87
Pond3Fish9_PondOutcome,88
Pond3Fish9_TotalOutcome,692
Pond3Fish9_TimeLeft,431.852
Type,RD
FishN,18
Fish,10
Pond3Fish10_FishType,blue
Pond3Fish10_FishLatency,7.5
Pond3Fish10_CatchTime,1.087
Pond3Fish10_PondTime,81.867
Pond3Fish10_PondOutcome,100
Pond3Fish10_TotalOutcome,704
Pond3Fish10_TimeLeft,420.855
Type,RD
FishN,18
Fish,11
Pond3Fish11_FishType,gray
Pond3Fish11_FishLatency,8.571428571428571
Pond3Fish11_CatchTime,0.774
Pond3Fish11_PondTime,94.285
Pond3Fish11_PondOutcome,102
Pond3Fish11_TotalOutcome,706
Pond3Fish11_TimeLeft,408.437
Type,RD
FishN,18
Fish,12
Pond3Fish12_FishType,blue
Pond3Fish12_FishLatency,10
Pond3Fish12_CatchTime,0.946
Pond3Fish12_PondTime,108.703
Pond3Fish12_PondOutcome,114
Pond3Fish12_TotalOutcome,718
Pond3Fish12_TimeLeft,394.019
PondEnd_LastFish,12
FishN,17
Type,RD
GiveUpTime,0.954
PondTime,126.016
TimeLeft,376.2
PondOutcome,114
TotalOutcome,718
PondStart,PondStart
PondIntroTime,13.774027875624597
Type,N
FishN,19
Fish,1
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,3.1578947368421053
Pond4Fish1_CatchTime,1.838
Pond4Fish1_PondTime,7.792
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,729
Pond4Fish1_TimeLeft,353.953
Type,N
FishN,19
Fish,2
Pond4Fish2_FishType,green
Pond4Fish2_FishLatency,3.3333333333333335
Pond4Fish2_CatchTime,1.175
Pond4Fish2_PondTime,13.728
Pond4Fish2_PondOutcome,22
Pond4Fish2_TotalOutcome,740
Pond4Fish2_TimeLeft,348.017
Type,N
FishN,19
Fish,3
Pond4Fish3_FishType,green
Pond4Fish3_FishLatency,3.5294117647058822
Pond4Fish3_CatchTime,0.913
Pond4Fish3_PondTime,19.899
Pond4Fish3_PondOutcome,33
Pond4Fish3_TotalOutcome,751
Pond4Fish3_TimeLeft,341.846
Type,N
FishN,19
Fish,4
Pond4Fish4_FishType,green
Pond4Fish4_FishLatency,3.75
Pond4Fish4_CatchTime,1.298
Pond4Fish4_PondTime,26.302
Pond4Fish4_PondOutcome,44
Pond4Fish4_TotalOutcome,762
Pond4Fish4_TimeLeft,335.443
Type,N
FishN,19
Fish,5
Pond4Fish5_FishType,green
Pond4Fish5_FishLatency,4
Pond4Fish5_CatchTime,1.135
Pond4Fish5_PondTime,33.003
Pond4Fish5_PondOutcome,55
Pond4Fish5_TotalOutcome,773
Pond4Fish5_TimeLeft,328.741
Type,N
FishN,19
Fish,6
Pond4Fish6_FishType,green
Pond4Fish6_FishLatency,4.285714285714286
Pond4Fish6_CatchTime,0.855
Pond4Fish6_PondTime,40.014
Pond4Fish6_PondOutcome,66
Pond4Fish6_TotalOutcome,784
Pond4Fish6_TimeLeft,321.731
Type,N
FishN,19
Fish,7
Pond4Fish7_FishType,green
Pond4Fish7_FishLatency,4.615384615384615
Pond4Fish7_CatchTime,1.117
Pond4Fish7_PondTime,47.42
Pond4Fish7_PondOutcome,77
Pond4Fish7_TotalOutcome,795
Pond4Fish7_TimeLeft,314.325
Type,N
FishN,19
Fish,8
Pond4Fish8_FishType,green
Pond4Fish8_FishLatency,5
Pond4Fish8_CatchTime,1.258
Pond4Fish8_PondTime,55.293
Pond4Fish8_PondOutcome,88
Pond4Fish8_TotalOutcome,806
Pond4Fish8_TimeLeft,306.452
Type,N
FishN,19
Fish,9
Pond4Fish9_FishType,green
Pond4Fish9_FishLatency,5.454545454545454
Pond4Fish9_CatchTime,1.081
Pond4Fish9_PondTime,63.728
Pond4Fish9_PondOutcome,99
Pond4Fish9_TotalOutcome,817
Pond4Fish9_TimeLeft,298.017
Type,N
FishN,19
Fish,10
Pond4Fish10_FishType,green
Pond4Fish10_FishLatency,6
Pond4Fish10_CatchTime,1.08
Pond4Fish10_PondTime,72.803
Pond4Fish10_PondOutcome,110
Pond4Fish10_TotalOutcome,828
Pond4Fish10_TimeLeft,288.942
Type,N
FishN,19
Fish,11
Pond4Fish11_FishType,green
Pond4Fish11_FishLatency,6.666666666666667
Pond4Fish11_CatchTime,1.085
Pond4Fish11_PondTime,82.722
Pond4Fish11_PondOutcome,121
Pond4Fish11_TotalOutcome,839
Pond4Fish11_TimeLeft,279.023
Type,N
FishN,19
Fish,12
Pond4Fish12_FishType,green
Pond4Fish12_FishLatency,7.5
Pond4Fish12_CatchTime,1.132
Pond4Fish12_PondTime,93.703
Pond4Fish12_PondOutcome,132
Pond4Fish12_TotalOutcome,850
Pond4Fish12_TimeLeft,268.042
Type,N
FishN,19
Fish,13
Pond4Fish13_FishType,green
Pond4Fish13_FishLatency,8.571428571428571
Pond4Fish13_CatchTime,1.397
Pond4Fish13_PondTime,106.105
Pond4Fish13_PondOutcome,143
Pond4Fish13_TotalOutcome,861
Pond4Fish13_TimeLeft,255.64
Type,N
FishN,19
Fish,14
Pond4Fish14_FishType,green
Pond4Fish14_FishLatency,10
Pond4Fish14_CatchTime,1.164
Pond4Fish14_PondTime,120.506
Pond4Fish14_PondOutcome,154
Pond4Fish14_TotalOutcome,872
Pond4Fish14_TimeLeft,241.239
PondEnd_LastFish,14
FishN,19
Type,N
GiveUpTime,1.313
PondTime,121.174
TimeLeft,240.054
PondOutcome,154
TotalOutcome,872
PondStart,PondStart
PondIntroTime,16.956389837432653
Type,RT
FishN,18
Fish,1
Pond8Fish1_FishType,purple
Pond8Fish1_FishLatency,5
Pond8Fish1_CatchTime,0.885
Pond8Fish1_PondTime,9.843
Pond8Fish1_PondOutcome,10
Pond8Fish1_TotalOutcome,882
Pond8Fish1_TimeLeft,212.576
Type,RT
FishN,18
Fish,2
Pond8Fish2_FishType,purple
Pond8Fish2_FishLatency,5.454545454545454
Pond8Fish2_CatchTime,0.885
Pond8Fish2_PondTime,18.246
Pond8Fish2_PondOutcome,20
Pond8Fish2_TotalOutcome,892
