,5e226aee28b7b6533126bcee
PondStart,PondStart
PondIntroTime,13.894213903695345
Type,RD
FishN,14
Fish,1
Pond10Fish1_FishType,blue
Pond10Fish1_FishLatency,5
Pond10Fish1_CatchTime,1.129
Pond10Fish1_PondTime,9.734
Pond10Fish1_PondOutcome,12
Pond10Fish1_TotalOutcome,558
Pond10Fish1_TimeLeft,560.396
Type,RD
FishN,14
Fish,2
Pond10Fish2_FishType,gray
Pond10Fish2_FishLatency,5.454545454545454
Pond10Fish2_CatchTime,1.257
Pond10Fish2_PondTime,18.098
Pond10Fish2_PondOutcome,14
Pond10Fish2_TotalOutcome,560
Pond10Fish2_TimeLeft,552.032
Type,RD
FishN,14
Fish,3
Pond10Fish3_FishType,blue
Pond10Fish3_FishLatency,6
Pond10Fish3_CatchTime,1.105
Pond10Fish3_PondTime,27.131
Pond10Fish3_PondOutcome,26
Pond10Fish3_TotalOutcome,572
Pond10Fish3_TimeLeft,542.999
Type,RD
FishN,14
Fish,4
Pond10Fish4_FishType,blue
Pond10Fish4_FishLatency,6.666666666666667
Pond10Fish4_CatchTime,0.989
Pond10Fish4_PondTime,37.001
Pond10Fish4_PondOutcome,38
Pond10Fish4_TotalOutcome,584
Pond10Fish4_TimeLeft,533.129
Type,RD
FishN,14
Fish,5
Pond10Fish5_FishType,blue
Pond10Fish5_FishLatency,7.5
Pond10Fish5_CatchTime,1.188
Pond10Fish5_PondTime,47.933
Pond10Fish5_PondOutcome,50
Pond10Fish5_TotalOutcome,596
Pond10Fish5_TimeLeft,522.197
Type,RD
FishN,14
Fish,6
Pond10Fish6_FishType,blue
Pond10Fish6_FishLatency,8.571428571428571
Pond10Fish6_CatchTime,1.016
Pond10Fish6_PondTime,60.3
Pond10Fish6_PondOutcome,62
Pond10Fish6_TotalOutcome,608
Pond10Fish6_TimeLeft,509.83
Type,RD
FishN,14
Fish,7
Pond10Fish7_FishType,gray
Pond10Fish7_FishLatency,10
Pond10Fish7_CatchTime,1.025
Pond10Fish7_PondTime,74.663
Pond10Fish7_PondOutcome,64
Pond10Fish7_TotalOutcome,610
Pond10Fish7_TimeLeft,495.467
PondEnd_LastFish,7
FishN,12
Type,RD
GiveUpTime,0.784
PondTime,74.68
TimeLeft,494.949
PondOutcome,64
TotalOutcome,610
PondStart,PondStart
PondIntroTime,12.43726349901408
Type,RT
FishN,18
Fish,1
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,3.1578947368421053
Pond3Fish1_CatchTime,1.031
Pond3Fish1_PondTime,7.6
Pond3Fish1_PondOutcome,10
Pond3Fish1_TotalOutcome,620
Pond3Fish1_TimeLeft,474.283
Type,RT
FishN,18
Fish,2
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,3.3333333333333335
Pond3Fish2_CatchTime,1.007
Pond3Fish2_PondTime,13.485
Pond3Fish2_PondOutcome,20
Pond3Fish2_TotalOutcome,630
Pond3Fish2_TimeLeft,468.398
Type,RT
FishN,18
Fish,3
Pond3Fish3_FishType,purple
Pond3Fish3_FishLatency,3.5294117647058822
Pond3Fish3_CatchTime,1.111
Pond3Fish3_PondTime,19.601
Pond3Fish3_PondOutcome,30
Pond3Fish3_TotalOutcome,640
Pond3Fish3_TimeLeft,462.282
Type,RT
FishN,18
Fish,4
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,3.75
Pond3Fish4_CatchTime,1.155
Pond3Fish4_PondTime,25.967
Pond3Fish4_PondOutcome,40
Pond3Fish4_TotalOutcome,650
Pond3Fish4_TimeLeft,455.916
Type,RT
FishN,18
Fish,5
Pond3Fish5_FishType,purple
Pond3Fish5_FishLatency,4
Pond3Fish5_CatchTime,0.831
Pond3Fish5_PondTime,32.617
Pond3Fish5_PondOutcome,50
Pond3Fish5_TotalOutcome,660
Pond3Fish5_TimeLeft,449.266
Type,RT
FishN,18
Fish,6
Pond3Fish6_FishType,purple
Pond3Fish6_FishLatency,4.285714285714286
Pond3Fish6_CatchTime,0.783
Pond3Fish6_PondTime,39.603
Pond3Fish6_PondOutcome,60
Pond3Fish6_TotalOutcome,670
