,5d2926ffb798d8001a81e971
Pond7Fish7_TimeLeft,328.074
Type,RD
FishN,12
Fish,8
Pond7Fish8_FishType,blue
Pond7Fish8_FishLatency,6
Pond7Fish8_CatchTime,1.408
Pond7Fish8_PondTime,61.357
Pond7Fish8_PondOutcome,86
Pond7Fish8_TotalOutcome,734
Pond7Fish8_TimeLeft,319.042
Type,RD
FishN,12
Fish,9
Pond7Fish9_FishType,blue
Pond7Fish9_FishLatency,6.666666666666667
Pond7Fish9_CatchTime,1.192
Pond7Fish9_PondTime,71.31
Pond7Fish9_PondOutcome,98
Pond7Fish9_TotalOutcome,746
Pond7Fish9_TimeLeft,309.09
Type,RD
FishN,12
Fish,10
Pond7Fish10_FishType,blue
Pond7Fish10_FishLatency,7.5
Pond7Fish10_CatchTime,1.541
Pond7Fish10_PondTime,82.31
Pond7Fish10_PondOutcome,110
Pond7Fish10_TotalOutcome,758
Pond7Fish10_TimeLeft,298.09
Type,RD
FishN,12
Fish,11
Pond7Fish11_FishType,blue
Pond7Fish11_FishLatency,8.571428571428571
Pond7Fish11_CatchTime,1.177
Pond7Fish11_PondTime,94.734
Pond7Fish11_PondOutcome,122
Pond7Fish11_TotalOutcome,770
Pond7Fish11_TimeLeft,285.666
Type,RD
FishN,12
Fish,12
Pond7Fish12_FishType,blue
Pond7Fish12_FishLatency,10
Pond7Fish12_CatchTime,1.046
Pond7Fish12_PondTime,109.18
Pond7Fish12_PondOutcome,134
Pond7Fish12_TotalOutcome,782
Pond7Fish12_TimeLeft,271.22
Type,RD
FishN,12
Fish,13
Pond7Fish13_FishType,blue
Pond7Fish13_FishLatency,12
Pond7Fish13_CatchTime,1.504
Pond7Fish13_PondTime,126.546
Pond7Fish13_PondOutcome,146
Pond7Fish13_TotalOutcome,794
Pond7Fish13_TimeLeft,253.854
PondEnd_LastFish,13
FishN,17
Type,RD
GiveUpTime,1.102
PondTime,127.358
TimeLeft,252.536
PondOutcome,146
TotalOutcome,794
PondStart,PondStart
PondIntroTime,18.225006547290832
Type,RT
FishN,15
Fish,1
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,3.5294117647058822
Pond11Fish1_CatchTime,1.323
Pond11Fish1_PondTime,8.124
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,804
Pond11Fish1_TimeLeft,225.436
Type,RT
FishN,15
Fish,2
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,3.75
Pond11Fish2_CatchTime,1.246
Pond11Fish2_PondTime,14.544
Pond11Fish2_PondOutcome,20
Pond11Fish2_TotalOutcome,814
Pond11Fish2_TimeLeft,219.016
Type,RT
FishN,15
Fish,3
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,4
Pond11Fish3_CatchTime,1.45
Pond11Fish3_PondTime,21.252
Pond11Fish3_PondOutcome,30
Pond11Fish3_TotalOutcome,824
Pond11Fish3_TimeLeft,212.308
Type,RT
FishN,15
Fish,4
Pond11Fish4_FishType,purple
Pond11Fish4_FishLatency,4.285714285714286
Pond11Fish4_CatchTime,1.595
Pond11Fish4_PondTime,28.233
Pond11Fish4_PondOutcome,40
Pond11Fish4_TotalOutcome,834
Pond11Fish4_TimeLeft,205.327
Type,RT
FishN,15
Fish,5
Pond11Fish5_FishType,purple
Pond11Fish5_FishLatency,4.615384615384615
Pond11Fish5_CatchTime,1.238
Pond11Fish5_PondTime,35.597
Pond11Fish5_PondOutcome,50
Pond11Fish5_TotalOutcome,844
Pond11Fish5_TimeLeft,197.963
Type,RT
FishN,15
Fish,6
Pond11Fish6_FishType,golden
Pond11Fish6_FishLatency,5
Pond11Fish6_CatchTime,1.236
Pond11Fish6_PondTime,43.5
Pond11Fish6_PondOutcome,70
Pond11Fish6_TotalOutcome,864
Pond11Fish6_TimeLeft,190.06
Type,RT
FishN,15
Fish,7
Pond11Fish7_FishType,purple
Pond11Fish7_FishLatency,5.454545454545454
Pond11Fish7_CatchTime,1.372
Pond11Fish7_PondTime,51.857
Pond11Fish7_PondOutcome,80
Pond11Fish7_TotalOutcome,874
Pond11Fish7_TimeLeft,181.703
Type,RT
FishN,15
Fish,8
Pond11Fish8_FishType,purple
Pond11Fish8_FishLatency,6
Pond11Fish8_CatchTime,1.541
Pond11Fish8_PondTime,60.973
