,5d8b8f538e6bab001b877ad7
Pond6Fish2_FishLatency,3.75
Pond6Fish2_CatchTime,0.907
Pond6Fish2_PondTime,14.392
Pond6Fish2_PondOutcome,22
Pond6Fish2_TotalOutcome,540
Pond6Fish2_TimeLeft,588.422
Type,N
FishN,15
Fish,3
Pond6Fish3_FishType,green
Pond6Fish3_FishLatency,4
Pond6Fish3_CatchTime,0.88
Pond6Fish3_PondTime,21.052
Pond6Fish3_PondOutcome,33
Pond6Fish3_TotalOutcome,551
Pond6Fish3_TimeLeft,581.762
Type,N
FishN,15
Fish,4
Pond6Fish4_FishType,green
Pond6Fish4_FishLatency,4.285714285714286
Pond6Fish4_CatchTime,0.73
Pond6Fish4_PondTime,28.026
Pond6Fish4_PondOutcome,44
Pond6Fish4_TotalOutcome,562
Pond6Fish4_TimeLeft,574.788
Type,N
FishN,15
Fish,5
Pond6Fish5_FishType,green
Pond6Fish5_FishLatency,4.615384615384615
Pond6Fish5_CatchTime,0.826
Pond6Fish5_PondTime,35.385
Pond6Fish5_PondOutcome,55
Pond6Fish5_TotalOutcome,573
Pond6Fish5_TimeLeft,567.429
Type,N
FishN,15
Fish,6
Pond6Fish6_FishType,green
Pond6Fish6_FishLatency,5
Pond6Fish6_CatchTime,0.932
Pond6Fish6_PondTime,43.208
Pond6Fish6_PondOutcome,66
Pond6Fish6_TotalOutcome,584
Pond6Fish6_TimeLeft,559.605
Type,N
FishN,15
Fish,7
Pond6Fish7_FishType,green
Pond6Fish7_FishLatency,5.454545454545454
Pond6Fish7_CatchTime,0.953
Pond6Fish7_PondTime,51.566
Pond6Fish7_PondOutcome,77
Pond6Fish7_TotalOutcome,595
Pond6Fish7_TimeLeft,551.248
Type,N
FishN,15
Fish,8
Pond6Fish8_FishType,green
Pond6Fish8_FishLatency,6
Pond6Fish8_CatchTime,0.998
Pond6Fish8_PondTime,60.592
Pond6Fish8_PondOutcome,88
Pond6Fish8_TotalOutcome,606
Pond6Fish8_TimeLeft,542.221
Type,N
FishN,15
Fish,9
Pond6Fish9_FishType,green
Pond6Fish9_FishLatency,6.666666666666667
Pond6Fish9_CatchTime,0.711
Pond6Fish9_PondTime,70.453
Pond6Fish9_PondOutcome,99
Pond6Fish9_TotalOutcome,617
Pond6Fish9_TimeLeft,532.361
PondEnd_LastFish,9
FishN,17
Type,N
GiveUpTime,0.457
PondTime,80.971
TimeLeft,521.34
PondOutcome,99
TotalOutcome,617
PondStart,PondStart
PondIntroTime,10.225746100768447
Type,RT
FishN,18
Fish,1
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,4.285714285714286
Pond1Fish1_CatchTime,0.842
Pond1Fish1_PondTime,8.891
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,627
Pond1Fish1_TimeLeft,501.613
Type,RT
FishN,18
Fish,2
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,4.615384615384615
Pond1Fish2_CatchTime,0.69
Pond1Fish2_PondTime,16.25
Pond1Fish2_PondOutcome,20
Pond1Fish2_TotalOutcome,637
Pond1Fish2_TimeLeft,494.254
Type,RT
FishN,18
Fish,3
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,5
Pond1Fish3_CatchTime,0.825
Pond1Fish3_PondTime,24.057
Pond1Fish3_PondOutcome,30
Pond1Fish3_TotalOutcome,647
Pond1Fish3_TimeLeft,486.447
Type,RT
FishN,18
Fish,4
Pond1Fish4_FishType,purple
Pond1Fish4_FishLatency,5.454545454545454
Pond1Fish4_CatchTime,0.935
Pond1Fish4_PondTime,32.414
Pond1Fish4_PondOutcome,40
Pond1Fish4_TotalOutcome,657
Pond1Fish4_TimeLeft,478.089
Type,RT
FishN,18
Fish,5
Pond1Fish5_FishType,purple
Pond1Fish5_FishLatency,6
Pond1Fish5_CatchTime,0.792
Pond1Fish5_PondTime,41.442
Pond1Fish5_PondOutcome,50
Pond1Fish5_TotalOutcome,667
Pond1Fish5_TimeLeft,469.062
Type,RT
FishN,18
Fish,6
Pond1Fish6_FishType,purple
Pond1Fish6_FishLatency,6.666666666666667
Pond1Fish6_CatchTime,0.719
Pond1Fish6_PondTime,51.3
Pond1Fish6_PondOutcome,60
Pond1Fish6_TotalOutcome,677
Pond1Fish6_TimeLeft,459.203
PondEnd_LastFish,6
FishN,14
Type,RT
GiveUpTime,0.523
PondTime,61.968
TimeLeft,448.034
PondOutcome,60
TotalOutcome,677
PondStart,PondStart
PondIntroTime,14.545291687827557
Type,N
FishN,15
Fish,1
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,4.615384615384615
Pond9Fish1_CatchTime,0.815
Pond9Fish1_PondTime,9.273
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,688
Pond9Fish1_TimeLeft,423.6
Type,N
FishN,15
Fish,2
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,5
Pond9Fish2_CatchTime,0.768
Pond9Fish2_PondTime,17.097
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,699
Pond9Fish2_TimeLeft,415.776
Type,N
FishN,15
Fish,3
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,5.454545454545454
Pond9Fish3_CatchTime,0.664
Pond9Fish3_PondTime,25.456
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,710
Pond9Fish3_TimeLeft,407.417
Type,N
FishN,15
Fish,4
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,6
Pond9Fish4_CatchTime,0.739
Pond9Fish4_PondTime,34.481
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,721
Pond9Fish4_TimeLeft,398.392
Type,N
FishN,15
Fish,5
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,6.666666666666667
Pond9Fish5_CatchTime,0.928
Pond9Fish5_PondTime,44.341
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,732
Pond9Fish5_TimeLeft,388.532
Type,N
FishN,15
Fish,6
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,7.5
Pond9Fish6_CatchTime,0.894
Pond9Fish6_PondTime,55.271
Pond9Fish6_PondOutcome,66
Pond9Fish6_TotalOutcome,743
Pond9Fish6_TimeLeft,377.602
PondEnd_LastFish,6
FishN,13
Type,N
GiveUpTime,1.327
PondTime,55.696
TimeLeft,376.675
PondOutcome,66
TotalOutcome,743
PondStart,PondStart
PondIntroTime,13.172723189927638
Type,N
FishN,18
Fish,1
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,3.3333333333333335
Pond8Fish1_CatchTime,0.962
Pond8Fish1_PondTime,7.807
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,754
Pond8Fish1_TimeLeft,355.08
Type,N
FishN,18
Fish,2
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,3.5294117647058822
Pond8Fish2_CatchTime,0.88
Pond8Fish2_PondTime,13.912
Pond8Fish2_PondOutcome,22
Pond8Fish2_TotalOutcome,765
Pond8Fish2_TimeLeft,348.975
Type,N
FishN,18
Fish,3
Pond8Fish3_FishType,green
Pond8Fish3_FishLatency,3.75
Pond8Fish3_CatchTime,1.044
Pond8Fish3_PondTime,20.27
Pond8Fish3_PondOutcome,33
Pond8Fish3_TotalOutcome,776
Pond8Fish3_TimeLeft,342.617
Type,N
FishN,18
Fish,4
Pond8Fish4_FishType,green
Pond8Fish4_FishLatency,4
Pond8Fish4_CatchTime,0.878
Pond8Fish4_PondTime,26.909
Pond8Fish4_PondOutcome,44
Pond8Fish4_TotalOutcome,787
Pond8Fish4_TimeLeft,335.977
Type,N
FishN,18
Fish,5
Pond8Fish5_FishType,green
Pond8Fish5_FishLatency,4.285714285714286
Pond8Fish5_CatchTime,0.735
Pond8Fish5_PondTime,33.882
Pond8Fish5_PondOutcome,55
Pond8Fish5_TotalOutcome,798
Pond8Fish5_TimeLeft,329.005
Type,N
FishN,18
Fish,6
Pond8Fish6_FishType,green
Pond8Fish6_FishLatency,4.615384615384615
Pond8Fish6_CatchTime,0.742
Pond8Fish6_PondTime,41.241
Pond8Fish6_PondOutcome,66
Pond8Fish6_TotalOutcome,809
Pond8Fish6_TimeLeft,321.646
Type,N
FishN,18
Fish,7
Pond8Fish7_FishType,green
Pond8Fish7_FishLatency,5
Pond8Fish7_CatchTime,0.801
Pond8Fish7_PondTime,49.064
Pond8Fish7_PondOutcome,77
Pond8Fish7_TotalOutcome,820
Pond8Fish7_TimeLeft,313.823
Type,N
FishN,18
Fish,8
Pond8Fish8_FishType,green
Pond8Fish8_FishLatency,5.454545454545454
Pond8Fish8_CatchTime,0.632
Pond8Fish8_PondTime,57.424
Pond8Fish8_PondOutcome,88
Pond8Fish8_TotalOutcome,831
Pond8Fish8_TimeLeft,305.463
Type,N
FishN,18
Fish,9
Pond8Fish9_FishType,green
Pond8Fish9_FishLatency,6
Pond8Fish9_CatchTime,0.84
Pond8Fish9_PondTime,66.449
Pond8Fish9_PondOutcome,99
Pond8Fish9_TotalOutcome,842
Pond8Fish9_TimeLeft,296.438
PondEnd_LastFish,9
FishN,18
Type,N
GiveUpTime,0.42
PondTime,75.896
TimeLeft,286.489
PondOutcome,99
TotalOutcome,842
PondStart,PondStart
PondIntroTime,17.81028277007863
Type,RD
FishN,14
Fish,1
Pond10Fish1_FishType,blue
Pond10Fish1_FishLatency,4.615384615384615
Pond10Fish1_CatchTime,0.936
Pond10Fish1_PondTime,9.274
Pond10Fish1_PondOutcome,12
