,5bdd7b8eab164500016355ef
Pond1Fish5_PondOutcome,55
Pond1Fish5_TotalOutcome,732
Pond1Fish5_TimeLeft,301.547
PondEnd_LastFish,5
FishN,12
Type,N
GiveUpTime,0.538
PondTime,60.008
TimeLeft,289.053
PondOutcome,55
TotalOutcome,732
PondStart,PondStart
PondIntroTime,19.591946694999933
Type,N
FishN,12
Fish,1
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,5
Pond7Fish1_CatchTime,0.837
Pond7Fish1_PondTime,9.764
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,743
Pond7Fish1_TimeLeft,259.066
Type,N
FishN,12
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,5.454545454545454
Pond7Fish2_CatchTime,0.969
Pond7Fish2_PondTime,18.154
Pond7Fish2_PondOutcome,22
Pond7Fish2_TotalOutcome,754
Pond7Fish2_TimeLeft,250.676
Type,N
FishN,12
Fish,3
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,6
Pond7Fish3_CatchTime,0.819
Pond7Fish3_PondTime,27.212
Pond7Fish3_PondOutcome,33
Pond7Fish3_TotalOutcome,765
Pond7Fish3_TimeLeft,241.618
Type,N
FishN,12
Fish,4
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,6.666666666666667
Pond7Fish4_CatchTime,0.678
Pond7Fish4_PondTime,37.109
Pond7Fish4_PondOutcome,44
Pond7Fish4_TotalOutcome,776
Pond7Fish4_TimeLeft,231.721
PondEnd_LastFish,4
FishN,12
Type,N
GiveUpTime,0.601
PondTime,47.531
TimeLeft,220.796
PondOutcome,44
TotalOutcome,776
PondStart,PondStart
PondIntroTime,15.342913146596402
Type,N
FishN,18
Fish,1
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,4.615384615384615
Pond12Fish1_CatchTime,0.633
Pond12Fish1_PondTime,9.284
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,787
Pond12Fish1_TimeLeft,195.539
Type,N
FishN,18
Fish,2
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,5
Pond12Fish2_CatchTime,0.831
