,5dc2e7b7e4f0ff203937fa12
Pond7Fish6_TotalOutcome,731
Pond7Fish6_TimeLeft,74.453
Type,N
FishN,12
Fish,7
Pond7Fish7_FishType,green
Pond7Fish7_FishLatency,6
Pond7Fish7_CatchTime,1.144
Pond7Fish7_PondTime,54.784
Pond7Fish7_PondOutcome,66
Pond7Fish7_TotalOutcome,742
Pond7Fish7_TimeLeft,65.421
Type,N
FishN,12
Fish,8
Pond7Fish8_FishType,green
Pond7Fish8_FishLatency,6.666666666666667
Pond7Fish8_CatchTime,1.355
Pond7Fish8_PondTime,64.652
Pond7Fish8_PondOutcome,77
Pond7Fish8_TotalOutcome,753
Pond7Fish8_TimeLeft,55.553
Type,N
FishN,12
Fish,9
Pond7Fish9_FishType,green
Pond7Fish9_FishLatency,7.5
Pond7Fish9_CatchTime,1.212
Pond7Fish9_PondTime,75.582
Pond7Fish9_PondOutcome,88
Pond7Fish9_TotalOutcome,764
Pond7Fish9_TimeLeft,44.623
Type,N
FishN,12
Fish,10
Pond7Fish10_FishType,green
Pond7Fish10_FishLatency,8.571428571428571
Pond7Fish10_CatchTime,1.254
Pond7Fish10_PondTime,87.953
Pond7Fish10_PondOutcome,99
Pond7Fish10_TotalOutcome,775
Pond7Fish10_TimeLeft,32.252
Type,N
FishN,12
Fish,11
Pond7Fish11_FishType,green
Pond7Fish11_FishLatency,10
Pond7Fish11_CatchTime,1.349
Pond7Fish11_PondTime,102.318
Pond7Fish11_PondOutcome,110
Pond7Fish11_TotalOutcome,786
Pond7Fish11_TimeLeft,17.887
