,5d9202439796b3001772abb1
Pond2Fish10_FishType,green
Pond2Fish10_FishLatency,6
Pond2Fish10_CatchTime,0.646
Pond2Fish10_PondTime,72.127
Pond2Fish10_PondOutcome,110
Pond2Fish10_TotalOutcome,668
Pond2Fish10_TimeLeft,391.853
Type,N
FishN,18
Fish,11
Pond2Fish11_FishType,green
Pond2Fish11_FishLatency,6.666666666666667
Pond2Fish11_CatchTime,0.712
Pond2Fish11_PondTime,81.982
Pond2Fish11_PondOutcome,121
Pond2Fish11_TotalOutcome,679
Pond2Fish11_TimeLeft,381.998
Type,N
FishN,18
Fish,12
Pond2Fish12_FishType,green
Pond2Fish12_FishLatency,7.5
Pond2Fish12_CatchTime,0.662
Pond2Fish12_PondTime,92.913
Pond2Fish12_PondOutcome,132
Pond2Fish12_TotalOutcome,690
Pond2Fish12_TimeLeft,371.067
PondEnd_LastFish,12
FishN,19
Type,N
GiveUpTime,0.61
PondTime,104.803
TimeLeft,358.675
PondOutcome,132
TotalOutcome,690
PondStart,PondStart
PondIntroTime,10.50267476355657
Type,RT
FishN,12
Fish,1
Pond7Fish1_FishType,golden
Pond7Fish1_FishLatency,4
Pond7Fish1_CatchTime,0.726
Pond7Fish1_PondTime,8.552
Pond7Fish1_PondOutcome,20
Pond7Fish1_TotalOutcome,710
Pond7Fish1_TimeLeft,339.005
Type,RT
FishN,12
Fish,2
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,4.285714285714286
Pond7Fish2_CatchTime,0.854
Pond7Fish2_PondTime,15.523
Pond7Fish2_PondOutcome,30
Pond7Fish2_TotalOutcome,720
Pond7Fish2_TimeLeft,332.034
Type,RT
FishN,12
Fish,3
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,4.615384615384615
Pond7Fish3_CatchTime,0.854
Pond7Fish3_PondTime,22.878
Pond7Fish3_PondOutcome,40
Pond7Fish3_TotalOutcome,730
Pond7Fish3_TimeLeft,324.679
Type,RT
FishN,12
Fish,4
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,5
Pond7Fish4_CatchTime,0.791
Pond7Fish4_PondTime,30.69
Pond7Fish4_PondOutcome,50
Pond7Fish4_TotalOutcome,740
Pond7Fish4_TimeLeft,316.867
Type,RT
FishN,12
Fish,5
Pond7Fish5_FishType,purple
Pond7Fish5_FishLatency,5.454545454545454
Pond7Fish5_CatchTime,0.691
Pond7Fish5_PondTime,39.05
Pond7Fish5_PondOutcome,60
Pond7Fish5_TotalOutcome,750
Pond7Fish5_TimeLeft,308.507
PondEnd_LastFish,5
FishN,15
Type,RT
GiveUpTime,0.678
PondTime,47.62
TimeLeft,299.436
PondOutcome,60
TotalOutcome,750
PondStart,PondStart
PondIntroTime,12.947199877817184
Type,RT
FishN,15
Fish,1
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,4.615384615384615
Pond11Fish1_CatchTime,1.038
Pond11Fish1_PondTime,9.268
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,760
Pond11Fish1_TimeLeft,276.611
Type,RT
FishN,15
Fish,2
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,5
Pond11Fish2_CatchTime,0.71
Pond11Fish2_PondTime,17.081
Pond11Fish2_PondOutcome,20
Pond11Fish2_TotalOutcome,770
Pond11Fish2_TimeLeft,268.798
Type,RT
FishN,15
Fish,3
Pond11Fish3_FishType,golden
Pond11Fish3_FishLatency,5.454545454545454
Pond11Fish3_CatchTime,0.784
Pond11Fish3_PondTime,25.434
Pond11Fish3_PondOutcome,40
Pond11Fish3_TotalOutcome,790
Pond11Fish3_TimeLeft,260.445
Type,RT
FishN,15
Fish,4
Pond11Fish4_FishType,purple
Pond11Fish4_FishLatency,6
Pond11Fish4_CatchTime,0.751
Pond11Fish4_PondTime,34.462
Pond11Fish4_PondOutcome,50
Pond11Fish4_TotalOutcome,800
Pond11Fish4_TimeLeft,251.417
Type,RT
FishN,15
Fish,5
Pond11Fish5_FishType,purple
Pond11Fish5_FishLatency,6.666666666666667
Pond11Fish5_CatchTime,0.66
Pond11Fish5_PondTime,44.325
Pond11Fish5_PondOutcome,60
Pond11Fish5_TotalOutcome,810
Pond11Fish5_TimeLeft,241.554
