,5b0f33dd1e55760001b9a9ce
Pond8Fish1_FishLatency,3.3333333333333335
Pond8Fish1_CatchTime,-1
Pond8Fish1_PondTime,7.865
Pond8Fish1_PondOutcome,0
Pond8Fish1_TotalOutcome,762
Pond8Fish1_TimeLeft,320.899
Type,RT
FishN,17
Fish,2
Pond8Fish2_FishType,purple
Pond8Fish2_FishLatency,3.5294117647058822
Pond8Fish2_CatchTime,1.72
Pond8Fish2_PondTime,14.015
Pond8Fish2_PondOutcome,10
Pond8Fish2_TotalOutcome,772
Pond8Fish2_TimeLeft,314.749
Type,RT
FishN,17
Fish,3
Pond8Fish3_FishType,purple
Pond8Fish3_FishLatency,3.75
Pond8Fish3_CatchTime,1.497
Pond8Fish3_PondTime,20.381
Pond8Fish3_PondOutcome,20
Pond8Fish3_TotalOutcome,782
Pond8Fish3_TimeLeft,308.383
Type,RT
FishN,17
Fish,4
Pond8Fish4_FishType,purple
Pond8Fish4_FishLatency,4
Pond8Fish4_CatchTime,1.471
Pond8Fish4_PondTime,27.031
Pond8Fish4_PondOutcome,30
Pond8Fish4_TotalOutcome,792
Pond8Fish4_TimeLeft,301.733
Type,RT
FishN,17
Fish,5
Pond8Fish5_FishType,purple
Pond8Fish5_FishLatency,4.285714285714286
Pond8Fish5_CatchTime,1.168
Pond8Fish5_PondTime,34.031
Pond8Fish5_PondOutcome,40
Pond8Fish5_TotalOutcome,802
Pond8Fish5_TimeLeft,294.733
Type,RT
FishN,17
Fish,6
Pond8Fish6_FishType,purple
Pond8Fish6_FishLatency,4.615384615384615
Pond8Fish6_CatchTime,1.322
Pond8Fish6_PondTime,41.397
Pond8Fish6_PondOutcome,50
Pond8Fish6_TotalOutcome,812
Pond8Fish6_TimeLeft,287.367
Type,RT
FishN,17
Fish,7
Pond8Fish7_FishType,purple
Pond8Fish7_FishLatency,5
Pond8Fish7_CatchTime,1.594
Pond8Fish7_PondTime,49.213
Pond8Fish7_PondOutcome,60
Pond8Fish7_TotalOutcome,822
Pond8Fish7_TimeLeft,279.551
Type,RT
FishN,17
Fish,8
Pond8Fish8_FishType,purple
Pond8Fish8_FishLatency,5.454545454545454
Pond8Fish8_CatchTime,1.604
Pond8Fish8_PondTime,57.579
Pond8Fish8_PondOutcome,70
Pond8Fish8_TotalOutcome,832
Pond8Fish8_TimeLeft,271.185
Type,RT
FishN,17
Fish,9
Pond8Fish9_FishType,purple
Pond8Fish9_FishLatency,6
Pond8Fish9_CatchTime,1.226
Pond8Fish9_PondTime,66.611
Pond8Fish9_PondOutcome,80
Pond8Fish9_TotalOutcome,842
Pond8Fish9_TimeLeft,262.153
Type,RT
FishN,17
Fish,10
Pond8Fish10_FishType,golden
Pond8Fish10_FishLatency,6.666666666666667
Pond8Fish10_CatchTime,1.192
Pond8Fish10_PondTime,76.477
Pond8Fish10_PondOutcome,100
Pond8Fish10_TotalOutcome,862
Pond8Fish10_TimeLeft,252.287
Type,RT
FishN,17
Fish,11
Pond8Fish11_FishType,purple
Pond8Fish11_FishLatency,7.5
Pond8Fish11_CatchTime,1.412
Pond8Fish11_PondTime,87.409
Pond8Fish11_PondOutcome,110
Pond8Fish11_TotalOutcome,872
Pond8Fish11_TimeLeft,241.354
Type,RT
FishN,17
Fish,12
Pond8Fish12_FishType,purple
Pond8Fish12_FishLatency,8.571428571428571
