,5cd7cccadcabe8001d0413ac
Pond12Fish6_TotalOutcome,514
Pond12Fish6_TimeLeft,651.458
Type,N
FishN,13
Fish,7
Pond12Fish7_FishType,green
Pond12Fish7_FishLatency,10
Pond12Fish7_CatchTime,1.363
Pond12Fish7_PondTime,74.696
Pond12Fish7_PondOutcome,77
Pond12Fish7_TotalOutcome,525
Pond12Fish7_TimeLeft,637.092
Type,N
FishN,13
Fish,8
Pond12Fish8_FishType,green
Pond12Fish8_FishLatency,12
Pond12Fish8_CatchTime,1.448
Pond12Fish8_PondTime,92.075
Pond12Fish8_PondOutcome,88
Pond12Fish8_TotalOutcome,536
Pond12Fish8_TimeLeft,619.713
Type,N
FishN,13
Fish,9
Pond12Fish9_FishType,green
Pond12Fish9_FishLatency,15
Pond12Fish9_CatchTime,1.546
Pond12Fish9_PondTime,114.447
Pond12Fish9_PondOutcome,99
Pond12Fish9_TotalOutcome,547
Pond12Fish9_TimeLeft,597.341
Type,N
FishN,13
Fish,10
Pond12Fish10_FishType,green
Pond12Fish10_FishLatency,20
Pond12Fish10_CatchTime,1.277
Pond12Fish10_PondTime,146.808
Pond12Fish10_PondOutcome,110
Pond12Fish10_TotalOutcome,558
Pond12Fish10_TimeLeft,564.98
PondEnd_LastFish,10
FishN,13
Type,N
GiveUpTime,1.16
PondTime,147.453
TimeLeft,563.833
PondOutcome,110
TotalOutcome,558
PondStart,PondStart
PondIntroTime,19.28905215812847
Type,RD
FishN,19
Fish,1
Pond10Fish1_FishType,blue
Pond10Fish1_FishLatency,4
Pond10Fish1_CatchTime,1.31
Pond10Fish1_PondTime,8.566
Pond10Fish1_PondOutcome,12
Pond10Fish1_TotalOutcome,570
Pond10Fish1_TimeLeft,535.357
Type,RD
FishN,19
Fish,2
Pond10Fish2_FishType,blue
Pond10Fish2_FishLatency,4.285714285714286
Pond10Fish2_CatchTime,1.283
Pond10Fish2_PondTime,15.552
Pond10Fish2_PondOutcome,24
Pond10Fish2_TotalOutcome,582
Pond10Fish2_TimeLeft,528.371
Type,RD
FishN,19
Fish,3
Pond10Fish3_FishType,blue
Pond10Fish3_FishLatency,4.615384615384615
Pond10Fish3_CatchTime,1.193
Pond10Fish3_PondTime,22.916
Pond10Fish3_PondOutcome,36
Pond10Fish3_TotalOutcome,594
Pond10Fish3_TimeLeft,521.006
Type,RD
FishN,19
Fish,4
Pond10Fish4_FishType,blue
Pond10Fish4_FishLatency,5
Pond10Fish4_CatchTime,1.277
Pond10Fish4_PondTime,30.742
Pond10Fish4_PondOutcome,48
Pond10Fish4_TotalOutcome,606
Pond10Fish4_TimeLeft,513.181
Type,RD
FishN,19
Fish,5
Pond10Fish5_FishType,blue
Pond10Fish5_FishLatency,5.454545454545454
Pond10Fish5_CatchTime,1.249
Pond10Fish5_PondTime,39.112
Pond10Fish5_PondOutcome,60
Pond10Fish5_TotalOutcome,618
Pond10Fish5_TimeLeft,504.811
Type,RD
FishN,19
Fish,6
Pond10Fish6_FishType,blue
Pond10Fish6_FishLatency,6
Pond10Fish6_CatchTime,1.259
Pond10Fish6_PondTime,48.146
Pond10Fish6_PondOutcome,72
Pond10Fish6_TotalOutcome,630
Pond10Fish6_TimeLeft,495.777
Type,RD
FishN,19
Fish,7
Pond10Fish7_FishType,blue
Pond10Fish7_FishLatency,6.666666666666667
Pond10Fish7_CatchTime,1.225
Pond10Fish7_PondTime,58.011
Pond10Fish7_PondOutcome,84
Pond10Fish7_TotalOutcome,642
Pond10Fish7_TimeLeft,485.912
Type,RD
FishN,19
Fish,8
Pond10Fish8_FishType,blue
Pond10Fish8_FishLatency,7.5
Pond10Fish8_CatchTime,1.177
Pond10Fish8_PondTime,68.949
Pond10Fish8_PondOutcome,96
Pond10Fish8_TotalOutcome,654
Pond10Fish8_TimeLeft,474.974
Type,RD
FishN,19
Fish,9
Pond10Fish9_FishType,blue
Pond10Fish9_FishLatency,8.571428571428571
Pond10Fish9_CatchTime,1.455
Pond10Fish9_PondTime,81.311
Pond10Fish9_PondOutcome,108
Pond10Fish9_TotalOutcome,666
Pond10Fish9_TimeLeft,462.611
Type,RD
FishN,19
Fish,10
Pond10Fish10_FishType,blue
Pond10Fish10_FishLatency,10
Pond10Fish10_CatchTime,1.261
Pond10Fish10_PondTime,95.686
Pond10Fish10_PondOutcome,120
Pond10Fish10_TotalOutcome,678
Pond10Fish10_TimeLeft,448.237
Type,RD
FishN,19
Fish,11
Pond10Fish11_FishType,blue
Pond10Fish11_FishLatency,12
Pond10Fish11_CatchTime,1.393
Pond10Fish11_PondTime,113.063
Pond10Fish11_PondOutcome,132
Pond10Fish11_TotalOutcome,690
Pond10Fish11_TimeLeft,430.86
Type,RD
FishN,19
Fish,12
Pond10Fish12_FishType,blue
Pond10Fish12_FishLatency,15
Pond10Fish12_CatchTime,1.426
Pond10Fish12_PondTime,135.431
Pond10Fish12_PondOutcome,144
Pond10Fish12_TotalOutcome,702
Pond10Fish12_TimeLeft,408.492
Type,RD
FishN,19
Fish,13
Pond10Fish13_FishType,blue
Pond10Fish13_FishLatency,20
Pond10Fish13_CatchTime,1.327
Pond10Fish13_PondTime,167.797
Pond10Fish13_PondOutcome,156
Pond10Fish13_TotalOutcome,714
Pond10Fish13_TimeLeft,376.125
PondEnd_LastFish,13
FishN,19
Type,RD
GiveUpTime,1.026
PondTime,168.357
TimeLeft,375.063
PondOutcome,156
TotalOutcome,714
PondStart,PondStart
PondIntroTime,16.132428639102727
Type,RD
FishN,12
Fish,1
Pond2Fish1_FishType,gray
Pond2Fish1_FishLatency,4.285714285714286
Pond2Fish1_CatchTime,1.31
Pond2Fish1_PondTime,8.886
Pond2Fish1_PondOutcome,2
Pond2Fish1_TotalOutcome,716
Pond2Fish1_TimeLeft,349.426
Type,RD
FishN,12
Fish,2
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,4.615384615384615
Pond2Fish2_CatchTime,0.982
Pond2Fish2_PondTime,16.251
Pond2Fish2_PondOutcome,14
Pond2Fish2_TotalOutcome,728
Pond2Fish2_TimeLeft,342.061
Type,RD
FishN,12
Fish,3
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,5
Pond2Fish3_CatchTime,1.479
Pond2Fish3_PondTime,24.074
Pond2Fish3_PondOutcome,26
Pond2Fish3_TotalOutcome,740
Pond2Fish3_TimeLeft,334.238
Type,RD
FishN,12
Fish,4
Pond2Fish4_FishType,gray
Pond2Fish4_FishLatency,5.454545454545454
Pond2Fish4_CatchTime,1.41
Pond2Fish4_PondTime,32.445
Pond2Fish4_PondOutcome,28
Pond2Fish4_TotalOutcome,742
Pond2Fish4_TimeLeft,325.867
Type,RD
FishN,12
Fish,5
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,6
Pond2Fish5_CatchTime,1.186
Pond2Fish5_PondTime,41.48
Pond2Fish5_PondOutcome,40
Pond2Fish5_TotalOutcome,754
Pond2Fish5_TimeLeft,316.832
Type,RD
FishN,12
Fish,6
Pond2Fish6_FishType,gray
Pond2Fish6_FishLatency,6.666666666666667
Pond2Fish6_CatchTime,1.164
Pond2Fish6_PondTime,51.341
Pond2Fish6_PondOutcome,42
Pond2Fish6_TotalOutcome,756
Pond2Fish6_TimeLeft,306.971
Type,RD
FishN,12
Fish,7
Pond2Fish7_FishType,blue
Pond2Fish7_FishLatency,7.5
