,5b684ef482d9db000118fc0a
Pond9Fish6_TimeLeft,558.286
Type,RT
FishN,16
Fish,7
Pond9Fish7_FishType,purple
Pond9Fish7_FishLatency,8.571428571428571
Pond9Fish7_CatchTime,0.984
Pond9Fish7_PondTime,67.92
Pond9Fish7_PondOutcome,80
Pond9Fish7_TotalOutcome,543
Pond9Fish7_TimeLeft,545.888
PondEnd_LastFish,7
FishN,16
Type,RT
GiveUpTime,0.528
PondTime,82.118
TimeLeft,531.187
PondOutcome,80
TotalOutcome,543
PondStart,PondStart
PondIntroTime,15.196438150014728
Type,RD
FishN,17
Fish,1
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,5
Pond8Fish1_CatchTime,1.023
Pond8Fish1_PondTime,9.74
Pond8Fish1_PondOutcome,12
Pond8Fish1_TotalOutcome,555
Pond8Fish1_TimeLeft,505.613
Type,RD
FishN,17
Fish,2
Pond8Fish2_FishType,blue
Pond8Fish2_FishLatency,5.454545454545454
Pond8Fish2_CatchTime,1.175
Pond8Fish2_PondTime,18.128
Pond8Fish2_PondOutcome,24
Pond8Fish2_TotalOutcome,567
Pond8Fish2_TimeLeft,497.224
Type,RD
FishN,17
Fish,3
Pond8Fish3_FishType,blue
Pond8Fish3_FishLatency,6
Pond8Fish3_CatchTime,0.997
Pond8Fish3_PondTime,27.185
Pond8Fish3_PondOutcome,36
Pond8Fish3_TotalOutcome,579
Pond8Fish3_TimeLeft,488.168
PondEnd_LastFish,3
FishN,17
Type,RD
GiveUpTime,0.399
PondTime,36.705
TimeLeft,478.145
PondOutcome,36
TotalOutcome,579
PondStart,PondStart
PondIntroTime,19.12157450336963
Type,RT
FishN,15
Fish,1
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,5
Pond7Fish1_CatchTime,0.824
Pond7Fish1_PondTime,9.754
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,589
Pond7Fish1_TimeLeft,448.636
PondEnd_LastFish,1
FishN,15
Type,RT
GiveUpTime,2.284
PondTime,11.073
TimeLeft,446.813
PondOutcome,10
TotalOutcome,589
PondStart,PondStart
PondIntroTime,10.655112962704152
Type,RD
FishN,13
Fish,1
Pond12Fish1_FishType,blue
Pond12Fish1_FishLatency,4.615384615384615
Pond12Fish1_CatchTime,0.819
Pond12Fish1_PondTime,9.311
Pond12Fish1_PondOutcome,12
Pond12Fish1_TotalOutcome,601
Pond12Fish1_TimeLeft,426.206
Type,RD
FishN,13
Fish,2
Pond12Fish2_FishType,gray
Pond12Fish2_FishLatency,5
Pond12Fish2_CatchTime,1.014
Pond12Fish2_PondTime,17.124
Pond12Fish2_PondOutcome,14
Pond12Fish2_TotalOutcome,603
