,teresa
FishN,19
Fish,6
Pond6Fish6_FishType,purple
Pond6Fish6_FishLatency,7.5
Pond6Fish6_CatchTime,1.252
Pond6Fish6_PondTime,55.375
Pond6Fish6_PondOutcome,60
Pond6Fish6_TotalOutcome,392
Pond6Fish6_TimeLeft,696.629
Type,RT
FishN,19
Fish,7
Pond6Fish7_FishType,purple
Pond6Fish7_FishLatency,8.571428571428571
Pond6Fish7_CatchTime,0.907
Pond6Fish7_PondTime,67.753
Pond6Fish7_PondOutcome,70
Pond6Fish7_TotalOutcome,402
Pond6Fish7_TimeLeft,684.251
Type,RT
FishN,19
Fish,8
Pond6Fish8_FishType,purple
Pond6Fish8_FishLatency,10
Pond6Fish8_CatchTime,-1
Pond6Fish8_PondTime,82.187
Pond6Fish8_PondOutcome,70
Pond6Fish8_TotalOutcome,402
Pond6Fish8_TimeLeft,669.817
