,5bbae55a6322c500015a2b5b
FishN,12
Fish,4
Pond5Fish4_FishType,blue
Pond5Fish4_FishLatency,4.615384615384615
Pond5Fish4_CatchTime,1.234
Pond5Fish4_PondTime,29.31
Pond5Fish4_PondOutcome,38
Pond5Fish4_TotalOutcome,566
Pond5Fish4_TimeLeft,629.335
Type,RD
FishN,12
Fish,5
Pond5Fish5_FishType,blue
Pond5Fish5_FishLatency,5
Pond5Fish5_CatchTime,1.596
Pond5Fish5_PondTime,37.137
Pond5Fish5_PondOutcome,50
Pond5Fish5_TotalOutcome,578
Pond5Fish5_TimeLeft,621.508
Type,RD
FishN,12
Fish,6
Pond5Fish6_FishType,gray
Pond5Fish6_FishLatency,5.454545454545454
Pond5Fish6_CatchTime,1.335
Pond5Fish6_PondTime,45.508
Pond5Fish6_PondOutcome,52
Pond5Fish6_TotalOutcome,580
Pond5Fish6_TimeLeft,613.137
Type,RD
FishN,12
Fish,7
Pond5Fish7_FishType,blue
Pond5Fish7_FishLatency,6
Pond5Fish7_CatchTime,1.502
Pond5Fish7_PondTime,54.562
Pond5Fish7_PondOutcome,64
Pond5Fish7_TotalOutcome,592
Pond5Fish7_TimeLeft,604.083
Type,RD
FishN,12
Fish,8
Pond5Fish8_FishType,blue
Pond5Fish8_FishLatency,6.666666666666667
Pond5Fish8_CatchTime,1.356
Pond5Fish8_PondTime,64.427
Pond5Fish8_PondOutcome,76
Pond5Fish8_TotalOutcome,604
Pond5Fish8_TimeLeft,594.218
Type,RD
FishN,12
Fish,9
Pond5Fish9_FishType,blue
Pond5Fish9_FishLatency,7.5
Pond5Fish9_CatchTime,1.517
Pond5Fish9_PondTime,75.358
Pond5Fish9_PondOutcome,88
Pond5Fish9_TotalOutcome,616
Pond5Fish9_TimeLeft,583.287
Type,RD
FishN,12
Fish,10
Pond5Fish10_FishType,blue
Pond5Fish10_FishLatency,8.571428571428571
Pond5Fish10_CatchTime,1.525
Pond5Fish10_PondTime,87.725
Pond5Fish10_PondOutcome,100
Pond5Fish10_TotalOutcome,628
Pond5Fish10_TimeLeft,570.92
Type,RD
FishN,12
Fish,11
Pond5Fish11_FishType,blue
Pond5Fish11_FishLatency,10
Pond5Fish11_CatchTime,1.323
Pond5Fish11_PondTime,102.091
Pond5Fish11_PondOutcome,112
Pond5Fish11_TotalOutcome,640
Pond5Fish11_TimeLeft,556.553
Type,RD
FishN,12
Fish,12
Pond5Fish12_FishType,blue
Pond5Fish12_FishLatency,12
Pond5Fish12_CatchTime,1.419
Pond5Fish12_PondTime,119.461
Pond5Fish12_PondOutcome,124
Pond5Fish12_TotalOutcome,652
Pond5Fish12_TimeLeft,539.184
Type,RD
FishN,12
Fish,13
Pond5Fish13_FishType,blue
Pond5Fish13_FishLatency,15
Pond5Fish13_CatchTime,1.383
Pond5Fish13_PondTime,141.831
Pond5Fish13_PondOutcome,136
Pond5Fish13_TotalOutcome,664
Pond5Fish13_TimeLeft,516.814
PondEnd_LastFish,13
FishN,12
Type,RD
GiveUpTime,1.289
PondTime,142.701
TimeLeft,515.441
PondOutcome,136
TotalOutcome,664
PondStart,PondStart
PondIntroTime,13.288369190413505
Type,N
FishN,19
Fish,1
Pond6Fish1_FishType,green
Pond6Fish1_FishLatency,3.5294117647058822
Pond6Fish1_CatchTime,-1
Pond6Fish1_PondTime,8.086
Pond6Fish1_PondOutcome,0
Pond6Fish1_TotalOutcome,664
Pond6Fish1_TimeLeft,493.444
Type,N
FishN,19
Fish,2
Pond6Fish2_FishType,green
Pond6Fish2_FishLatency,3.75
Pond6Fish2_CatchTime,1.555
Pond6Fish2_PondTime,14.47
Pond6Fish2_PondOutcome,11
Pond6Fish2_TotalOutcome,675
Pond6Fish2_TimeLeft,487.06
Type,N
FishN,19
Fish,3
Pond6Fish3_FishType,green
