,5dc84bb688f2805cb5b23ee5
Pond11Fish11_FishLatency,8.571428571428571
Pond11Fish11_CatchTime,1.074
Pond11Fish11_PondTime,93.762
Pond11Fish11_PondOutcome,130
Pond11Fish11_TotalOutcome,632
Pond11Fish11_TimeLeft,472.116
Type,RT
FishN,14
Fish,12
Pond11Fish12_FishType,purple
Pond11Fish12_FishLatency,10
Pond11Fish12_CatchTime,1.165
Pond11Fish12_PondTime,108.129
Pond11Fish12_PondOutcome,140
Pond11Fish12_TotalOutcome,642
Pond11Fish12_TimeLeft,457.749
Type,RT
FishN,14
Fish,13
Pond11Fish13_FishType,golden
Pond11Fish13_FishLatency,12
Pond11Fish13_CatchTime,1.059
Pond11Fish13_PondTime,125.491
Pond11Fish13_PondOutcome,160
Pond11Fish13_TotalOutcome,662
Pond11Fish13_TimeLeft,440.387
Type,RT
FishN,14
Fish,14
Pond11Fish14_FishType,purple
Pond11Fish14_FishLatency,15
Pond11Fish14_CatchTime,1.043
Pond11Fish14_PondTime,147.862
Pond11Fish14_PondOutcome,170
Pond11Fish14_TotalOutcome,672
Pond11Fish14_TimeLeft,418.016
Type,RT
FishN,14
Fish,15
Pond11Fish15_FishType,purple
Pond11Fish15_FishLatency,20
Pond11Fish15_CatchTime,1.353
Pond11Fish15_PondTime,180.23
Pond11Fish15_PondOutcome,180
Pond11Fish15_TotalOutcome,682
Pond11Fish15_TimeLeft,385.647
PondEnd_LastFish,15
FishN,14
Type,RT
GiveUpTime,1.238
PondTime,181.018
TimeLeft,384.357
PondOutcome,180
TotalOutcome,682
PondStart,PondStart
PondIntroTime,18.813605518080294
Type,RT
FishN,19
Fish,1
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,3.75
Pond3Fish1_CatchTime,0.947
Pond3Fish1_PondTime,8.266
Pond3Fish1_PondOutcome,10
Pond3Fish1_TotalOutcome,692
Pond3Fish1_TimeLeft,356.646
Type,RT
FishN,19
Fish,2
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,4
Pond3Fish2_CatchTime,0.829
Pond3Fish2_PondTime,14.916
Pond3Fish2_PondOutcome,20
Pond3Fish2_TotalOutcome,702
Pond3Fish2_TimeLeft,349.996
Type,RT
FishN,19
Fish,3
Pond3Fish3_FishType,purple
Pond3Fish3_FishLatency,4.285714285714286
Pond3Fish3_CatchTime,0.975
Pond3Fish3_PondTime,21.899
Pond3Fish3_PondOutcome,30
Pond3Fish3_TotalOutcome,712
Pond3Fish3_TimeLeft,343.013
Type,RT
FishN,19
Fish,4
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,4.615384615384615
Pond3Fish4_CatchTime,1.151
Pond3Fish4_PondTime,29.269
Pond3Fish4_PondOutcome,40
Pond3Fish4_TotalOutcome,722
Pond3Fish4_TimeLeft,335.643
Type,RT
FishN,19
Fish,5
Pond3Fish5_FishType,purple
Pond3Fish5_FishLatency,5
Pond3Fish5_CatchTime,0.848
Pond3Fish5_PondTime,37.088
Pond3Fish5_PondOutcome,50
Pond3Fish5_TotalOutcome,732
Pond3Fish5_TimeLeft,327.824
Type,RT
FishN,19
Fish,6
Pond3Fish6_FishType,purple
Pond3Fish6_FishLatency,5.454545454545454
Pond3Fish6_CatchTime,1.105
Pond3Fish6_PondTime,45.459
Pond3Fish6_PondOutcome,60
Pond3Fish6_TotalOutcome,742
Pond3Fish6_TimeLeft,319.453
Type,RT
FishN,19
Fish,7
Pond3Fish7_FishType,purple
Pond3Fish7_FishLatency,6
Pond3Fish7_CatchTime,1.293
Pond3Fish7_PondTime,54.482
Pond3Fish7_PondOutcome,70
Pond3Fish7_TotalOutcome,752
Pond3Fish7_TimeLeft,310.43
Type,RT
FishN,19
Fish,8
Pond3Fish8_FishType,golden
Pond3Fish8_FishLatency,6.666666666666667
Pond3Fish8_CatchTime,1.02
Pond3Fish8_PondTime,64.339
Pond3Fish8_PondOutcome,90
Pond3Fish8_TotalOutcome,772
Pond3Fish8_TimeLeft,300.573
Type,RT
FishN,19
Fish,9
Pond3Fish9_FishType,purple
Pond3Fish9_FishLatency,7.5
Pond3Fish9_CatchTime,1.07
Pond3Fish9_PondTime,75.267
Pond3Fish9_PondOutcome,100
Pond3Fish9_TotalOutcome,782
Pond3Fish9_TimeLeft,289.645
Type,RT
FishN,19
Fish,10
Pond3Fish10_FishType,golden
Pond3Fish10_FishLatency,8.571428571428571
Pond3Fish10_CatchTime,0.816
Pond3Fish10_PondTime,87.629
Pond3Fish10_PondOutcome,120
Pond3Fish10_TotalOutcome,802
Pond3Fish10_TimeLeft,277.283
Type,RT
FishN,19
Fish,11
Pond3Fish11_FishType,purple
Pond3Fish11_FishLatency,10
Pond3Fish11_CatchTime,1.048
Pond3Fish11_PondTime,101.999
Pond3Fish11_PondOutcome,130
