,58c84d506d1c600001a09319
Pond10Fish7_TotalOutcome,494
Pond10Fish7_TimeLeft,685.435
Type,RT
FishN,19
Fish,8
Pond10Fish8_FishType,purple
Pond10Fish8_FishLatency,5.454545454545454
Pond10Fish8_CatchTime,1.388
Pond10Fish8_PondTime,57.478
Pond10Fish8_PondOutcome,80
Pond10Fish8_TotalOutcome,504
Pond10Fish8_TimeLeft,677.064
Type,RT
FishN,19
Fish,9
Pond10Fish9_FishType,golden
Pond10Fish9_FishLatency,6
Pond10Fish9_CatchTime,0.994
Pond10Fish9_PondTime,67.205
Pond10Fish9_PondOutcome,100
Pond10Fish9_TotalOutcome,524
Pond10Fish9_TimeLeft,667.337
Type,RT
FishN,19
Fish,10
Pond10Fish10_FishType,purple
Pond10Fish10_FishLatency,6.666666666666667
Pond10Fish10_CatchTime,1.123
Pond10Fish10_PondTime,77.073
Pond10Fish10_PondOutcome,110
Pond10Fish10_TotalOutcome,534
Pond10Fish10_TimeLeft,657.469
Type,RT
FishN,19
Fish,11
Pond10Fish11_FishType,purple
Pond10Fish11_FishLatency,7.5
Pond10Fish11_CatchTime,1.068
Pond10Fish11_PondTime,88.008
Pond10Fish11_PondOutcome,120
Pond10Fish11_TotalOutcome,544
Pond10Fish11_TimeLeft,646.534
Type,RT
FishN,19
Fish,12
Pond10Fish12_FishType,purple
Pond10Fish12_FishLatency,8.571428571428571
Pond10Fish12_CatchTime,1.076
Pond10Fish12_PondTime,100.374
Pond10Fish12_PondOutcome,130
Pond10Fish12_TotalOutcome,554
Pond10Fish12_TimeLeft,634.168
Type,RT
FishN,19
Fish,13
Pond10Fish13_FishType,purple
Pond10Fish13_FishLatency,10
Pond10Fish13_CatchTime,1.012
Pond10Fish13_PondTime,115.548
Pond10Fish13_PondOutcome,140
Pond10Fish13_TotalOutcome,564
Pond10Fish13_TimeLeft,618.994
Type,RT
FishN,19
Fish,14
Pond10Fish14_FishType,purple
Pond10Fish14_FishLatency,12
Pond10Fish14_CatchTime,1.516
Pond10Fish14_PondTime,133.327
Pond10Fish14_PondOutcome,150
Pond10Fish14_TotalOutcome,574
Pond10Fish14_TimeLeft,601.215
Type,RT
FishN,19
Fish,15
Pond10Fish15_FishType,purple
Pond10Fish15_FishLatency,15
Pond10Fish15_CatchTime,1.587
Pond10Fish15_PondTime,155.695
Pond10Fish15_PondOutcome,160
Pond10Fish15_TotalOutcome,584
Pond10Fish15_TimeLeft,578.847
PondEnd_LastFish,15
FishN,19
Type,RT
GiveUpTime,14.696
PondTime,170.189
TimeLeft,563.847
PondOutcome,160
TotalOutcome,584
PondStart,PondStart
PondIntroTime,17.4887209571898
Type,RT
FishN,16
Fish,1
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,4
Pond4Fish1_CatchTime,1.037
Pond4Fish1_PondTime,8.551
Pond4Fish1_PondOutcome,10
Pond4Fish1_TotalOutcome,594
Pond4Fish1_TimeLeft,537.178
Type,RT
FishN,16
Fish,2
Pond4Fish2_FishType,golden
Pond4Fish2_FishLatency,4.285714285714286
Pond4Fish2_CatchTime,1.237
Pond4Fish2_PondTime,15.536
Pond4Fish2_PondOutcome,30
Pond4Fish2_TotalOutcome,614
Pond4Fish2_TimeLeft,530.193
Type,RT
FishN,16
Fish,3
Pond4Fish3_FishType,purple
Pond4Fish3_FishLatency,4.615384615384615
Pond4Fish3_CatchTime,1.534
Pond4Fish3_PondTime,22.903
Pond4Fish3_PondOutcome,40
Pond4Fish3_TotalOutcome,624
Pond4Fish3_TimeLeft,522.826
Type,RT
FishN,16
Fish,4
Pond4Fish4_FishType,purple
Pond4Fish4_FishLatency,5
Pond4Fish4_CatchTime,1.013
Pond4Fish4_PondTime,30.719
Pond4Fish4_PondOutcome,50
Pond4Fish4_TotalOutcome,634
Pond4Fish4_TimeLeft,515.009
Type,RT
FishN,16
Fish,5
Pond4Fish5_FishType,purple
Pond4Fish5_FishLatency,5.454545454545454
Pond4Fish5_CatchTime,1.294
Pond4Fish5_PondTime,39.086
Pond4Fish5_PondOutcome,60
Pond4Fish5_TotalOutcome,644
Pond4Fish5_TimeLeft,506.643
Type,RT
FishN,16
Fish,6
Pond4Fish6_FishType,purple
Pond4Fish6_FishLatency,6
Pond4Fish6_CatchTime,1.252
Pond4Fish6_PondTime,48.121
Pond4Fish6_PondOutcome,70
Pond4Fish6_TotalOutcome,654
Pond4Fish6_TimeLeft,497.608
Type,RT
FishN,16
Fish,7
Pond4Fish7_FishType,purple
Pond4Fish7_FishLatency,6.666666666666667
Pond4Fish7_CatchTime,1.022
Pond4Fish7_PondTime,57.989
Pond4Fish7_PondOutcome,80
Pond4Fish7_TotalOutcome,664
Pond4Fish7_TimeLeft,487.74
Type,RT
FishN,16
Fish,8
Pond4Fish8_FishType,purple
Pond4Fish8_FishLatency,7.5
Pond4Fish8_CatchTime,1.528
Pond4Fish8_PondTime,68.922
Pond4Fish8_PondOutcome,90
Pond4Fish8_TotalOutcome,674
Pond4Fish8_TimeLeft,476.807
Type,RT
FishN,16
Fish,9
Pond4Fish9_FishType,purple
Pond4Fish9_FishLatency,8.571428571428571
Pond4Fish9_CatchTime,1.288
Pond4Fish9_PondTime,81.289
Pond4Fish9_PondOutcome,100
Pond4Fish9_TotalOutcome,684
Pond4Fish9_TimeLeft,464.44
Type,RT
FishN,16
Fish,10
Pond4Fish10_FishType,purple
Pond4Fish10_FishLatency,10
Pond4Fish10_CatchTime,1.12
Pond4Fish10_PondTime,95.657
Pond4Fish10_PondOutcome,110
Pond4Fish10_TotalOutcome,694
Pond4Fish10_TimeLeft,450.072
Type,RT
FishN,16
Fish,11
Pond4Fish11_FishType,purple
Pond4Fish11_FishLatency,12
Pond4Fish11_CatchTime,-1
Pond4Fish11_PondTime,113.089
Pond4Fish11_PondOutcome,110
Pond4Fish11_TotalOutcome,694
Pond4Fish11_TimeLeft,432.64
PondEnd_LastFish,11
FishN,16
Type,RT
GiveUpTime,19.761
PondTime,114.749
TimeLeft,430.478
PondOutcome,110
TotalOutcome,694
PondStart,PondStart
PondIntroTime,15.177352945320308
Type,RD
FishN,12
Fish,1
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,5
Pond2Fish1_CatchTime,0.896
Pond2Fish1_PondTime,9.735
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,706
Pond2Fish1_TimeLeft,404.952
Type,RD
FishN,12
Fish,2
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,5.454545454545454
Pond2Fish2_CatchTime,1.033
Pond2Fish2_PondTime,18.102
Pond2Fish2_PondOutcome,24
Pond2Fish2_TotalOutcome,718
Pond2Fish2_TimeLeft,396.585
Type,RD
FishN,12
Fish,3
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,6
Pond2Fish3_CatchTime,0.879
Pond2Fish3_PondTime,27.136
Pond2Fish3_PondOutcome,36
Pond2Fish3_TotalOutcome,730
Pond2Fish3_TimeLeft,387.551
Type,RD
FishN,12
Fish,4
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,6.666666666666667
Pond2Fish4_CatchTime,0.98
Pond2Fish4_PondTime,37.003
Pond2Fish4_PondOutcome,48
Pond2Fish4_TotalOutcome,742
Pond2Fish4_TimeLeft,377.684
Type,RD
FishN,12
Fish,5
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,7.5
Pond2Fish5_CatchTime,0.868
Pond2Fish5_PondTime,47.937
Pond2Fish5_PondOutcome,60
Pond2Fish5_TotalOutcome,754
Pond2Fish5_TimeLeft,366.75
Type,RD
FishN,12
Fish,6
Pond2Fish6_FishType,gray
Pond2Fish6_FishLatency,8.571428571428571
Pond2Fish6_CatchTime,1.135
Pond2Fish6_PondTime,60.303
Pond2Fish6_PondOutcome,62
Pond2Fish6_TotalOutcome,756
Pond2Fish6_TimeLeft,354.384
PondEnd_LastFish,6
FishN,12
Type,RD
GiveUpTime,12.552
PondTime,72.204
TimeLeft,341.981
PondOutcome,62
TotalOutcome,756
PondStart,PondStart
PondIntroTime,12.333716880530119
Type,N
FishN,12
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,4.615384615384615
Pond5Fish1_CatchTime,0.986
Pond5Fish1_PondTime,9.268
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,767
Pond5Fish1_TimeLeft,319.765
Type,N
FishN,12
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,5
Pond5Fish2_CatchTime,1.009
Pond5Fish2_PondTime,17.085
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,778
Pond5Fish2_TimeLeft,311.948
Type,N
FishN,12
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,5.454545454545454
Pond5Fish3_CatchTime,0.866
Pond5Fish3_PondTime,25.452
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,789
Pond5Fish3_TimeLeft,303.581
Type,N
FishN,12
Fish,4
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,6
Pond5Fish4_CatchTime,1.041
Pond5Fish4_PondTime,34.487
Pond5Fish4_PondOutcome,44
Pond5Fish4_TotalOutcome,800
Pond5Fish4_TimeLeft,294.546
Type,N
FishN,12
Fish,5
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,6.666666666666667
Pond5Fish5_CatchTime,1.004
Pond5Fish5_PondTime,44.355
Pond5Fish5_PondOutcome,55
Pond5Fish5_TotalOutcome,811
Pond5Fish5_TimeLeft,284.678
Type,N
FishN,12
Fish,6
Pond5Fish6_FishType,green
Pond5Fish6_FishLatency,7.5
Pond5Fish6_CatchTime,1.175
Pond5Fish6_PondTime,55.288
Pond5Fish6_PondOutcome,66
Pond5Fish6_TotalOutcome,822
Pond5Fish6_TimeLeft,273.745
Type,N
FishN,12
Fish,7
Pond5Fish7_FishType,green
Pond5Fish7_FishLatency,8.571428571428571
Pond5Fish7_CatchTime,1.11
Pond5Fish7_PondTime,67.656
Pond5Fish7_PondOutcome,77
Pond5Fish7_TotalOutcome,833
Pond5Fish7_TimeLeft,261.377
PondEnd_LastFish,7
FishN,12
Type,N
GiveUpTime,0.671
PondTime,81.809
TimeLeft,246.723
PondOutcome,77
TotalOutcome,833
PondStart,PondStart
PondIntroTime,13.973846703302115
Type,RD
FishN,14
Fish,1
Pond11Fish1_FishType,blue
Pond11Fish1_FishLatency,3.5294117647058822
Pond11Fish1_CatchTime,1.48
Pond11Fish1_PondTime,8.018
Pond11Fish1_PondOutcome,12
Pond11Fish1_TotalOutcome,845
Pond11Fish1_TimeLeft,224.109
Type,RD
FishN,14
Fish,2
Pond11Fish2_FishType,blue
Pond11Fish2_FishLatency,3.75
Pond11Fish2_CatchTime,0.93
Pond11Fish2_PondTime,14.385
Pond11Fish2_PondOutcome,24
Pond11Fish2_TotalOutcome,857
Pond11Fish2_TimeLeft,217.742
Type,RD
FishN,14
Fish,3
Pond11Fish3_FishType,blue
Pond11Fish3_FishLatency,4
Pond11Fish3_CatchTime,1.586
Pond11Fish3_PondTime,21.036
Pond11Fish3_PondOutcome,36
Pond11Fish3_TotalOutcome,869
Pond11Fish3_TimeLeft,211.091
Type,RD
FishN,14
Fish,4
Pond11Fish4_FishType,blue
Pond11Fish4_FishLatency,4.285714285714286
Pond11Fish4_CatchTime,1.271
Pond11Fish4_PondTime,28.019
Pond11Fish4_PondOutcome,48
Pond11Fish4_TotalOutcome,881
Pond11Fish4_TimeLeft,204.108
Type,RD
FishN,14
Fish,5
Pond11Fish5_FishType,blue
Pond11Fish5_FishLatency,4.615384615384615
Pond11Fish5_CatchTime,1.248
Pond11Fish5_PondTime,35.386
Pond11Fish5_PondOutcome,60
Pond11Fish5_TotalOutcome,893
Pond11Fish5_TimeLeft,196.741
Type,RD
FishN,14
Fish,6
Pond11Fish6_FishType,blue
Pond11Fish6_FishLatency,5
Pond11Fish6_CatchTime,0.801
Pond11Fish6_PondTime,43.204
Pond11Fish6_PondOutcome,72
Pond11Fish6_TotalOutcome,905
Pond11Fish6_TimeLeft,188.923
Type,RD
FishN,14
Fish,7
Pond11Fish7_FishType,blue
Pond11Fish7_FishLatency,5.454545454545454
Pond11Fish7_CatchTime,1.242
Pond11Fish7_PondTime,51.571
Pond11Fish7_PondOutcome,84
