,5c345ebad4f77a0001a91ec0
PondTime,46.088
TimeLeft,837.232
PondOutcome,72
TotalOutcome,409
PondStart,PondStart
PondIntroTime,16.6173334303312
Type,N
FishN,12
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,4
Pond5Fish1_CatchTime,1.224
Pond5Fish1_PondTime,8.577
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,420
Pond5Fish1_TimeLeft,811.423
Type,N
FishN,12
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,4.285714285714286
Pond5Fish2_CatchTime,0.855
Pond5Fish2_PondTime,15.566
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,431
Pond5Fish2_TimeLeft,804.434
Type,N
FishN,12
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,4.615384615384615
Pond5Fish3_CatchTime,1.213
Pond5Fish3_PondTime,22.95
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,442
Pond5Fish3_TimeLeft,797.05
Type,N
FishN,12
Fish,4
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,5
Pond5Fish4_CatchTime,1.079
Pond5Fish4_PondTime,30.778
Pond5Fish4_PondOutcome,44
Pond5Fish4_TotalOutcome,453
Pond5Fish4_TimeLeft,789.222
Type,N
FishN,12
Fish,5
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,5.454545454545454
Pond5Fish5_CatchTime,0.95
Pond5Fish5_PondTime,39.15
Pond5Fish5_PondOutcome,55
Pond5Fish5_TotalOutcome,464
Pond5Fish5_TimeLeft,780.85
PondEnd_LastFish,5
FishN,12
Type,N
GiveUpTime,1.21
PondTime,39.523
TimeLeft,779.974
PondOutcome,55
TotalOutcome,464
PondStart,PondStart
PondIntroTime,16.889233763795346
Type,RD
FishN,13
Fish,1
Pond12Fish1_FishType,blue
Pond12Fish1_FishLatency,3.3333333333333335
Pond12Fish1_CatchTime,1.165
Pond12Fish1_PondTime,7.829
Pond12Fish1_PondOutcome,12
Pond12Fish1_TotalOutcome,476
Pond12Fish1_TimeLeft,754.634
Type,RD
FishN,13
Fish,2
Pond12Fish2_FishType,blue
Pond12Fish2_FishLatency,3.5294117647058822
Pond12Fish2_CatchTime,0.823
Pond12Fish2_PondTime,13.965
Pond12Fish2_PondOutcome,24
Pond12Fish2_TotalOutcome,488
Pond12Fish2_TimeLeft,748.498
Type,RD
FishN,13
Fish,3
Pond12Fish3_FishType,blue
Pond12Fish3_FishLatency,3.75
Pond12Fish3_CatchTime,1.073
Pond12Fish3_PondTime,20.35
Pond12Fish3_PondOutcome,36
Pond12Fish3_TotalOutcome,500
Pond12Fish3_TimeLeft,742.113
Type,RD
FishN,13
Fish,4
Pond12Fish4_FishType,blue
Pond12Fish4_FishLatency,4
Pond12Fish4_CatchTime,1.131
Pond12Fish4_PondTime,27.038
Pond12Fish4_PondOutcome,48
Pond12Fish4_TotalOutcome,512
Pond12Fish4_TimeLeft,735.425
Type,RD
FishN,13
Fish,5
Pond12Fish5_FishType,blue
Pond12Fish5_FishLatency,4.285714285714286
Pond12Fish5_CatchTime,0.974
Pond12Fish5_PondTime,34.022
Pond12Fish5_PondOutcome,60
Pond12Fish5_TotalOutcome,524
Pond12Fish5_TimeLeft,728.441
Type,RD
FishN,13
Fish,6
Pond12Fish6_FishType,blue
Pond12Fish6_FishLatency,4.615384615384615
Pond12Fish6_CatchTime,1.379
Pond12Fish6_PondTime,41.411
Pond12Fish6_PondOutcome,72
Pond12Fish6_TotalOutcome,536
Pond12Fish6_TimeLeft,721.052
Type,RD
FishN,13
Fish,7
Pond12Fish7_FishType,blue
Pond12Fish7_FishLatency,5
Pond12Fish7_CatchTime,0.844
Pond12Fish7_PondTime,49.257
Pond12Fish7_PondOutcome,84
Pond12Fish7_TotalOutcome,548
Pond12Fish7_TimeLeft,713.206
Type,RD
FishN,13
Fish,8
Pond12Fish8_FishType,blue
Pond12Fish8_FishLatency,5.454545454545454
Pond12Fish8_CatchTime,0.947
Pond12Fish8_PondTime,57.634
Pond12Fish8_PondOutcome,96
Pond12Fish8_TotalOutcome,560
Pond12Fish8_TimeLeft,704.829
Type,RD
FishN,13
Fish,9
Pond12Fish9_FishType,blue
Pond12Fish9_FishLatency,6
Pond12Fish9_CatchTime,1.205
Pond12Fish9_PondTime,66.708
Pond12Fish9_PondOutcome,108
Pond12Fish9_TotalOutcome,572
Pond12Fish9_TimeLeft,695.755
Type,RD
FishN,13
Fish,10
Pond12Fish10_FishType,blue
Pond12Fish10_FishLatency,6.666666666666667
Pond12Fish10_CatchTime,0.87
Pond12Fish10_PondTime,76.623
Pond12Fish10_PondOutcome,120
Pond12Fish10_TotalOutcome,584
Pond12Fish10_TimeLeft,685.84
Type,RD
FishN,13
Fish,11
Pond12Fish11_FishType,blue
Pond12Fish11_FishLatency,7.5
Pond12Fish11_CatchTime,1.015
Pond12Fish11_PondTime,87.571
Pond12Fish11_PondOutcome,132
Pond12Fish11_TotalOutcome,596
Pond12Fish11_TimeLeft,674.891
Type,RD
FishN,13
Fish,12
Pond12Fish12_FishType,blue
Pond12Fish12_FishLatency,8.571428571428571
Pond12Fish12_CatchTime,1.105
Pond12Fish12_PondTime,99.939
Pond12Fish12_PondOutcome,144
Pond12Fish12_TotalOutcome,608
Pond12Fish12_TimeLeft,662.524
PondEnd_LastFish,12
FishN,13
Type,RD
GiveUpTime,0.864
PondTime,100.117
TimeLeft,661.844
PondOutcome,144
TotalOutcome,608
PondStart,PondStart
PondIntroTime,15.854622179176658
Type,RD
FishN,19
Fish,1
Pond10Fish1_FishType,blue
Pond10Fish1_FishLatency,4.615384615384615
Pond10Fish1_CatchTime,1.294
Pond10Fish1_PondTime,9.29
Pond10Fish1_PondOutcome,12
Pond10Fish1_TotalOutcome,620
Pond10Fish1_TimeLeft,636.076
Type,RD
FishN,19
Fish,2
Pond10Fish2_FishType,blue
Pond10Fish2_FishLatency,5
Pond10Fish2_CatchTime,1.114
Pond10Fish2_PondTime,17.127
Pond10Fish2_PondOutcome,24
Pond10Fish2_TotalOutcome,632
Pond10Fish2_TimeLeft,628.239
Type,RD
FishN,19
Fish,3
Pond10Fish3_FishType,blue
Pond10Fish3_FishLatency,5.454545454545454
Pond10Fish3_CatchTime,1.184
Pond10Fish3_PondTime,25.519
Pond10Fish3_PondOutcome,36
Pond10Fish3_TotalOutcome,644
Pond10Fish3_TimeLeft,619.847
Type,RD
FishN,19
Fish,4
Pond10Fish4_FishType,blue
Pond10Fish4_FishLatency,6
Pond10Fish4_CatchTime,0.978
Pond10Fish4_PondTime,34.572
Pond10Fish4_PondOutcome,48
Pond10Fish4_TotalOutcome,656
Pond10Fish4_TimeLeft,610.794
Type,RD
FishN,19
Fish,5
Pond10Fish5_FishType,blue
Pond10Fish5_FishLatency,6.666666666666667
Pond10Fish5_CatchTime,0.971
Pond10Fish5_PondTime,44.489
Pond10Fish5_PondOutcome,60
Pond10Fish5_TotalOutcome,668
Pond10Fish5_TimeLeft,600.877
Type,RD
FishN,19
Fish,6
Pond10Fish6_FishType,blue
Pond10Fish6_FishLatency,7.5
Pond10Fish6_CatchTime,0.954
Pond10Fish6_PondTime,55.421
Pond10Fish6_PondOutcome,72
Pond10Fish6_TotalOutcome,680
Pond10Fish6_TimeLeft,589.945
PondEnd_LastFish,6
FishN,19
Type,RD
GiveUpTime,1.256
PondTime,55.841
TimeLeft,589.02
PondOutcome,72
TotalOutcome,680
PondStart,PondStart
PondIntroTime,12.135822307318449
Type,RT
FishN,19
Fish,1
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,4
Pond3Fish1_CatchTime,1.048
Pond3Fish1_PondTime,8.579
Pond3Fish1_PondOutcome,10
Pond3Fish1_TotalOutcome,690
Pond3Fish1_TimeLeft,567.697
Type,RT
FishN,19
Fish,2
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,4.285714285714286
Pond3Fish2_CatchTime,1.168
Pond3Fish2_PondTime,15.582
Pond3Fish2_PondOutcome,20
Pond3Fish2_TotalOutcome,700
Pond3Fish2_TimeLeft,560.694
Type,RT
FishN,19
Fish,3
Pond3Fish3_FishType,purple
Pond3Fish3_FishLatency,4.615384615384615
Pond3Fish3_CatchTime,0.895
Pond3Fish3_PondTime,22.969
Pond3Fish3_PondOutcome,30
Pond3Fish3_TotalOutcome,710
Pond3Fish3_TimeLeft,553.307
Type,RT
FishN,19
Fish,4
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,5
Pond3Fish4_CatchTime,1.169
Pond3Fish4_PondTime,30.837
Pond3Fish4_PondOutcome,40
Pond3Fish4_TotalOutcome,720
Pond3Fish4_TimeLeft,545.439
Type,RT
FishN,19
Fish,5
Pond3Fish5_FishType,purple
Pond3Fish5_FishLatency,5.454545454545454
Pond3Fish5_CatchTime,0.897
Pond3Fish5_PondTime,39.235
Pond3Fish5_PondOutcome,50
Pond3Fish5_TotalOutcome,730
Pond3Fish5_TimeLeft,537.041
Type,RT
FishN,19
Fish,6
