,5cfa36435c147c0019d33963
Pond2Fish7_CatchTime,1.256
Pond2Fish7_PondTime,54.553
Pond2Fish7_PondOutcome,70
Pond2Fish7_TotalOutcome,550
Pond2Fish7_TimeLeft,612.465
PondEnd_LastFish,7
FishN,12
Type,RT
GiveUpTime,0.611
PondTime,64.374
TimeLeft,602.141
PondOutcome,70
TotalOutcome,550
PondStart,PondStart
PondIntroTime,10.683619887568057
Type,RT
FishN,19
Fish,1
Pond3Fish1_FishType,golden
Pond3Fish1_FishLatency,5
Pond3Fish1_CatchTime,0.86
Pond3Fish1_PondTime,9.781
Pond3Fish1_PondOutcome,20
Pond3Fish1_TotalOutcome,570
Pond3Fish1_TimeLeft,580.998
Type,RT
FishN,19
Fish,2
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,5.454545454545454
Pond3Fish2_CatchTime,1.359
Pond3Fish2_PondTime,18.182
Pond3Fish2_PondOutcome,30
Pond3Fish2_TotalOutcome,580
Pond3Fish2_TimeLeft,572.596
Type,RT
FishN,19
Fish,3
Pond3Fish3_FishType,golden
Pond3Fish3_FishLatency,6
Pond3Fish3_CatchTime,1.12
Pond3Fish3_PondTime,27.239
Pond3Fish3_PondOutcome,50
Pond3Fish3_TotalOutcome,600
Pond3Fish3_TimeLeft,563.54
Type,RT
FishN,19
Fish,4
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,6.666666666666667
Pond3Fish4_CatchTime,1.064
Pond3Fish4_PondTime,37.122
Pond3Fish4_PondOutcome,60
Pond3Fish4_TotalOutcome,610
Pond3Fish4_TimeLeft,553.657
Type,RT
FishN,19
Fish,5
Pond3Fish5_FishType,purple
Pond3Fish5_FishLatency,7.5
Pond3Fish5_CatchTime,1.292
Pond3Fish5_PondTime,48.078
Pond3Fish5_PondOutcome,70
Pond3Fish5_TotalOutcome,620
Pond3Fish5_TimeLeft,542.701
Type,RT
FishN,19
Fish,6
Pond3Fish6_FishType,purple
Pond3Fish6_FishLatency,8.571428571428571
Pond3Fish6_CatchTime,1.346
Pond3Fish6_PondTime,60.47
Pond3Fish6_PondOutcome,80
Pond3Fish6_TotalOutcome,630
Pond3Fish6_TimeLeft,530.308
Type,RT
FishN,19
Fish,7
Pond3Fish7_FishType,purple
Pond3Fish7_FishLatency,10
Pond3Fish7_CatchTime,1.184
Pond3Fish7_PondTime,74.862
Pond3Fish7_PondOutcome,90
Pond3Fish7_TotalOutcome,640
Pond3Fish7_TimeLeft,515.916
Type,RT
FishN,19
Fish,8
Pond3Fish8_FishType,purple
Pond3Fish8_FishLatency,12
Pond3Fish8_CatchTime,1.011
Pond3Fish8_PondTime,92.232
Pond3Fish8_PondOutcome,100
Pond3Fish8_TotalOutcome,650
Pond3Fish8_TimeLeft,498.546
Type,RT
FishN,19
Fish,9
Pond3Fish9_FishType,purple
Pond3Fish9_FishLatency,15
Pond3Fish9_CatchTime,-1
Pond3Fish9_PondTime,114.667
Pond3Fish9_PondOutcome,100
Pond3Fish9_TotalOutcome,650
Pond3Fish9_TimeLeft,476.112
PondEnd_LastFish,9
FishN,19
Type,RT
GiveUpTime,27.031
PondTime,118.48
TimeLeft,471.797
PondOutcome,100
TotalOutcome,650
PondStart,PondStart
PondIntroTime,19.265987989492714
Type,RT
FishN,16
Fish,1
Pond9Fish1_FishType,purple
Pond9Fish1_FishLatency,4.615384615384615
Pond9Fish1_CatchTime,1.173
Pond9Fish1_PondTime,9.321
Pond9Fish1_PondOutcome,10
Pond9Fish1_TotalOutcome,660
Pond9Fish1_TimeLeft,442.549
Type,RT
FishN,16
Fish,2
Pond9Fish2_FishType,purple
Pond9Fish2_FishLatency,5
Pond9Fish2_CatchTime,1.412
Pond9Fish2_PondTime,17.163
Pond9Fish2_PondOutcome,20
Pond9Fish2_TotalOutcome,670
Pond9Fish2_TimeLeft,434.707
Type,RT
FishN,16
Fish,3
Pond9Fish3_FishType,purple
Pond9Fish3_FishLatency,5.454545454545454
Pond9Fish3_CatchTime,1.188
Pond9Fish3_PondTime,25.553
Pond9Fish3_PondOutcome,30
Pond9Fish3_TotalOutcome,680
Pond9Fish3_TimeLeft,426.317
Type,RT
FishN,16
Fish,4
Pond9Fish4_FishType,purple
Pond9Fish4_FishLatency,6
Pond9Fish4_CatchTime,1.248
Pond9Fish4_PondTime,34.609
Pond9Fish4_PondOutcome,40
Pond9Fish4_TotalOutcome,690
Pond9Fish4_TimeLeft,417.261
Type,RT
FishN,16
Fish,5
Pond9Fish5_FishType,purple
Pond9Fish5_FishLatency,6.666666666666667
Pond9Fish5_CatchTime,0.778
Pond9Fish5_PondTime,44.489
Pond9Fish5_PondOutcome,50
Pond9Fish5_TotalOutcome,700
Pond9Fish5_TimeLeft,407.38
Type,RT
FishN,16
Fish,6
Pond9Fish6_FishType,purple
Pond9Fish6_FishLatency,7.5
Pond9Fish6_CatchTime,1.061
Pond9Fish6_PondTime,55.445
Pond9Fish6_PondOutcome,60
Pond9Fish6_TotalOutcome,710
Pond9Fish6_TimeLeft,396.425
Type,RT
FishN,16
Fish,7
Pond9Fish7_FishType,purple
Pond9Fish7_FishLatency,8.571428571428571
Pond9Fish7_CatchTime,1.392
Pond9Fish7_PondTime,67.822
Pond9Fish7_PondOutcome,70
Pond9Fish7_TotalOutcome,720
Pond9Fish7_TimeLeft,384.047
Type,RT
FishN,16
Fish,8
Pond9Fish8_FishType,purple
Pond9Fish8_FishLatency,10
Pond9Fish8_CatchTime,1.105
Pond9Fish8_PondTime,82.223
Pond9Fish8_PondOutcome,80
Pond9Fish8_TotalOutcome,730
Pond9Fish8_TimeLeft,369.647
Type,RT
FishN,16
Fish,9
Pond9Fish9_FishType,purple
Pond9Fish9_FishLatency,12
Pond9Fish9_CatchTime,1.446
Pond9Fish9_PondTime,99.585
Pond9Fish9_PondOutcome,90
Pond9Fish9_TotalOutcome,740
Pond9Fish9_TimeLeft,352.285
PondEnd_LastFish,9
FishN,16
Type,RT
GiveUpTime,8.912
PondTime,108.147
TimeLeft,343.22
PondOutcome,90
TotalOutcome,740
PondStart,PondStart
PondIntroTime,14.190051527693868
Type,N
FishN,12
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,4.615384615384615
Pond5Fish1_CatchTime,1.062
Pond5Fish1_PondTime,9.295
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,751
Pond5Fish1_TimeLeft,319.109
Type,N
FishN,12
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,5
Pond5Fish2_CatchTime,1.04
Pond5Fish2_PondTime,17.139
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,762
Pond5Fish2_TimeLeft,311.265
Type,N
FishN,12
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,5.454545454545454
Pond5Fish3_CatchTime,1.216
Pond5Fish3_PondTime,25.515
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,773
Pond5Fish3_TimeLeft,302.889
Type,N
FishN,12
Fish,4
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,6
Pond5Fish4_CatchTime,1.204
Pond5Fish4_PondTime,34.571
Pond5Fish4_PondOutcome,44
Pond5Fish4_TotalOutcome,784
Pond5Fish4_TimeLeft,293.833
Type,N
FishN,12
Fish,5
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,6.666666666666667
Pond5Fish5_CatchTime,0.989
Pond5Fish5_PondTime,44.465
Pond5Fish5_PondOutcome,55
Pond5Fish5_TotalOutcome,795
Pond5Fish5_TimeLeft,283.939
Type,N
FishN,12
Fish,6
Pond5Fish6_FishType,green
Pond5Fish6_FishLatency,7.5
Pond5Fish6_CatchTime,1.15
Pond5Fish6_PondTime,55.423
Pond5Fish6_PondOutcome,66
Pond5Fish6_TotalOutcome,806
Pond5Fish6_TimeLeft,272.981
PondEnd_LastFish,6
FishN,12
Type,N
GiveUpTime,0.739
PondTime,67.675
TimeLeft,260.223
PondOutcome,66
TotalOutcome,806
PondStart,PondStart
PondIntroTime,10.266518841963261
Type,RT
FishN,14
Fish,1
Pond11Fish1_FishType,purple
