,5829c320c297cc0001515a37
Pond9Fish1_CatchTime,0.718
Pond9Fish1_PondTime,8.269
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,803
Pond9Fish1_TimeLeft,219.503
Type,N
FishN,16
Fish,2
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,4
Pond9Fish2_CatchTime,0.687
Pond9Fish2_PondTime,14.917
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,814
Pond9Fish2_TimeLeft,212.855
Type,N
FishN,16
Fish,3
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,4.285714285714286
Pond9Fish3_CatchTime,0.537
Pond9Fish3_PondTime,21.9
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,825
Pond9Fish3_TimeLeft,205.872
Type,N
FishN,16
Fish,4
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,4.615384615384615
Pond9Fish4_CatchTime,0.674
Pond9Fish4_PondTime,29.268
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,836
Pond9Fish4_TimeLeft,198.504
Type,N
FishN,16
Fish,5
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,5
Pond9Fish5_CatchTime,0.804
Pond9Fish5_PondTime,37.084
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,847
Pond9Fish5_TimeLeft,190.688
Type,N
FishN,16
Fish,6
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,5.454545454545454
Pond9Fish6_CatchTime,0.8
Pond9Fish6_PondTime,45.448
Pond9Fish6_PondOutcome,66
Pond9Fish6_TotalOutcome,858
Pond9Fish6_TimeLeft,182.324
Type,N
FishN,16
Fish,7
Pond9Fish7_FishType,green
Pond9Fish7_FishLatency,6
Pond9Fish7_CatchTime,0.698
Pond9Fish7_PondTime,54.482
Pond9Fish7_PondOutcome,77
Pond9Fish7_TotalOutcome,869
Pond9Fish7_TimeLeft,173.29
Type,N
FishN,16
Fish,8
Pond9Fish8_FishType,green
Pond9Fish8_FishLatency,6.666666666666667
Pond9Fish8_CatchTime,0.509
Pond9Fish8_PondTime,64.348
Pond9Fish8_PondOutcome,88
Pond9Fish8_TotalOutcome,880
Pond9Fish8_TimeLeft,163.424
Type,N
FishN,16
Fish,9
Pond9Fish9_FishType,green
Pond9Fish9_FishLatency,7.5
Pond9Fish9_CatchTime,0.661
Pond9Fish9_PondTime,75.281
Pond9Fish9_PondOutcome,99
Pond9Fish9_TotalOutcome,891
Pond9Fish9_TimeLeft,152.49
PondEnd_LastFish,9
FishN,16
Type,N
GiveUpTime,0.804
PondTime,87.633
TimeLeft,139.637
PondOutcome,99
TotalOutcome,891
PondStart,PondStart
PondIntroTime,14.278888816479594
Type,RT
FishN,14
Fish,1
