,5df3e85fdcd3e32d23631191
Pond8Fish2_TotalOutcome,614
Pond8Fish2_TimeLeft,560.263
Type,N
FishN,17
Fish,3
Pond8Fish3_FishType,green
Pond8Fish3_FishLatency,5.454545454545454
Pond8Fish3_CatchTime,0.831
Pond8Fish3_PondTime,25.482
Pond8Fish3_PondOutcome,33
Pond8Fish3_TotalOutcome,625
Pond8Fish3_TimeLeft,551.89
Type,N
FishN,17
Fish,4
Pond8Fish4_FishType,green
Pond8Fish4_FishLatency,6
Pond8Fish4_CatchTime,1.024
Pond8Fish4_PondTime,34.514
Pond8Fish4_PondOutcome,44
Pond8Fish4_TotalOutcome,636
Pond8Fish4_TimeLeft,542.858
Type,N
FishN,17
Fish,5
Pond8Fish5_FishType,green
Pond8Fish5_FishLatency,6.666666666666667
Pond8Fish5_CatchTime,2.029
Pond8Fish5_PondTime,44.431
Pond8Fish5_PondOutcome,55
Pond8Fish5_TotalOutcome,647
Pond8Fish5_TimeLeft,532.94
Type,N
FishN,17
Fish,6
Pond8Fish6_FishType,green
Pond8Fish6_FishLatency,7.5
Pond8Fish6_CatchTime,1.744
Pond8Fish6_PondTime,55.419
Pond8Fish6_PondOutcome,66
Pond8Fish6_TotalOutcome,658
Pond8Fish6_TimeLeft,521.953
Type,N
FishN,17
Fish,7
Pond8Fish7_FishType,green
Pond8Fish7_FishLatency,8.571428571428571
Pond8Fish7_CatchTime,1.221
Pond8Fish7_PondTime,67.786
Pond8Fish7_PondOutcome,77
Pond8Fish7_TotalOutcome,669
Pond8Fish7_TimeLeft,509.586
Type,N
FishN,17
Fish,8
Pond8Fish8_FishType,green
Pond8Fish8_FishLatency,10
Pond8Fish8_CatchTime,1.232
Pond8Fish8_PondTime,82.155
Pond8Fish8_PondOutcome,88
Pond8Fish8_TotalOutcome,680
Pond8Fish8_TimeLeft,495.217
Type,N
FishN,17
Fish,9
Pond8Fish9_FishType,green
Pond8Fish9_FishLatency,12
Pond8Fish9_CatchTime,1.065
Pond8Fish9_PondTime,99.521
Pond8Fish9_PondOutcome,99
Pond8Fish9_TotalOutcome,691
Pond8Fish9_TimeLeft,477.851
PondEnd_LastFish,9
FishN,17
Type,N
GiveUpTime,19.408
PondTime,118.191
TimeLeft,458.674
PondOutcome,99
TotalOutcome,691
PondStart,PondStart
PondIntroTime,10.298911593854427
Type,RT
FishN,14
Fish,1
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,3.5294117647058822
Pond11Fish1_CatchTime,1.111
Pond11Fish1_PondTime,8.03
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,701
Pond11Fish1_TimeLeft,439.725
