,5ddb705139bca1aab0b157d8
Pond5Fish1_PondTime,9.272
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,585
Pond5Fish1_TimeLeft,663.902
Type,N
FishN,12
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,5
Pond5Fish2_CatchTime,0.92
Pond5Fish2_PondTime,17.088
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,596
Pond5Fish2_TimeLeft,656.086
Type,N
FishN,12
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,5.454545454545454
Pond5Fish3_CatchTime,0.846
Pond5Fish3_PondTime,25.451
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,607
Pond5Fish3_TimeLeft,647.723
Type,N
FishN,12
Fish,4
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,6
Pond5Fish4_CatchTime,0.825
Pond5Fish4_PondTime,34.479
Pond5Fish4_PondOutcome,44
Pond5Fish4_TotalOutcome,618
Pond5Fish4_TimeLeft,638.695
Type,N
FishN,12
Fish,5
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,6.666666666666667
Pond5Fish5_CatchTime,0.913
Pond5Fish5_PondTime,44.336
Pond5Fish5_PondOutcome,55
Pond5Fish5_TotalOutcome,629
Pond5Fish5_TimeLeft,628.838
Type,N
FishN,12
Fish,6
Pond5Fish6_FishType,green
Pond5Fish6_FishLatency,7.5
Pond5Fish6_CatchTime,0.974
Pond5Fish6_PondTime,55.272
Pond5Fish6_PondOutcome,66
Pond5Fish6_TotalOutcome,640
Pond5Fish6_TimeLeft,617.902
PondEnd_LastFish,6
FishN,12
Type,N
GiveUpTime,0.62
PondTime,67.142
TimeLeft,605.53
PondOutcome,66
TotalOutcome,640
PondStart,PondStart
PondIntroTime,14.567443523555994
Type,RD
FishN,19
Fish,1
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,3.5294117647058822
Pond6Fish1_CatchTime,0.569
Pond6Fish1_PondTime,8.026
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,652
Pond6Fish1_TimeLeft,582.301
Type,RD
FishN,19
Fish,2
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,3.75
Pond6Fish2_CatchTime,0.759
Pond6Fish2_PondTime,14.385
Pond6Fish2_PondOutcome,24
Pond6Fish2_TotalOutcome,664
Pond6Fish2_TimeLeft,575.942
Type,RD
FishN,19
Fish,3
Pond6Fish3_FishType,blue
Pond6Fish3_FishLatency,4
Pond6Fish3_CatchTime,0.764
Pond6Fish3_PondTime,21.025
Pond6Fish3_PondOutcome,36
Pond6Fish3_TotalOutcome,676
Pond6Fish3_TimeLeft,569.302
Type,RD
FishN,19
Fish,4
Pond6Fish4_FishType,blue
Pond6Fish4_FishLatency,4.285714285714286
Pond6Fish4_CatchTime,0.843
Pond6Fish4_PondTime,28.002
Pond6Fish4_PondOutcome,48
Pond6Fish4_TotalOutcome,688
Pond6Fish4_TimeLeft,562.325
Type,RD
FishN,19
Fish,5
Pond6Fish5_FishType,blue
Pond6Fish5_FishLatency,4.615384615384615
Pond6Fish5_CatchTime,0.682
Pond6Fish5_PondTime,35.364
Pond6Fish5_PondOutcome,60
Pond6Fish5_TotalOutcome,700
Pond6Fish5_TimeLeft,554.963
Type,RD
FishN,19
Fish,6
