,5bf192725431290001de4ba3
Pond8Fish10_FishType,purple
Pond8Fish10_FishLatency,7.5
Pond8Fish10_CatchTime,1.078
Pond8Fish10_PondTime,81.527
Pond8Fish10_PondOutcome,100
Pond8Fish10_TotalOutcome,701
Pond8Fish10_TimeLeft,378.653
PondEnd_LastFish,10
FishN,17
Type,RT
GiveUpTime,0.685
PondTime,93.662
TimeLeft,366.016
PondOutcome,100
TotalOutcome,701
PondStart,PondStart
PondIntroTime,19.38783267280087
Type,RD
FishN,12
Fish,1
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,3.3333333333333335
Pond2Fish1_CatchTime,0.894
Pond2Fish1_PondTime,7.826
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,713
Pond2Fish1_TimeLeft,338.169
Type,RD
FishN,12
Fish,2
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,3.5294117647058822
Pond2Fish2_CatchTime,1.048
Pond2Fish2_PondTime,13.953
Pond2Fish2_PondOutcome,24
Pond2Fish2_TotalOutcome,725
Pond2Fish2_TimeLeft,332.042
Type,RD
FishN,12
Fish,3
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,3.75
Pond2Fish3_CatchTime,0.943
Pond2Fish3_PondTime,20.313
Pond2Fish3_PondOutcome,36
Pond2Fish3_TotalOutcome,737
Pond2Fish3_TimeLeft,325.682
Type,RD
FishN,12
Fish,4
Pond2Fish4_FishType,gray
Pond2Fish4_FishLatency,4
Pond2Fish4_CatchTime,0.771
Pond2Fish4_PondTime,27.006
Pond2Fish4_PondOutcome,38
Pond2Fish4_TotalOutcome,739
Pond2Fish4_TimeLeft,318.988
Type,RD
FishN,12
Fish,5
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,4.285714285714286
Pond2Fish5_CatchTime,0.909
Pond2Fish5_PondTime,33.98
Pond2Fish5_PondOutcome,50
Pond2Fish5_TotalOutcome,751
Pond2Fish5_TimeLeft,312.014
Type,RD
FishN,12
Fish,6
Pond2Fish6_FishType,blue
Pond2Fish6_FishLatency,4.615384615384615
Pond2Fish6_CatchTime,0.814
Pond2Fish6_PondTime,41.356
Pond2Fish6_PondOutcome,62
Pond2Fish6_TotalOutcome,763
Pond2Fish6_TimeLeft,304.639
Type,RD
FishN,12
Fish,7
Pond2Fish7_FishType,blue
Pond2Fish7_FishLatency,5
Pond2Fish7_CatchTime,1.007
Pond2Fish7_PondTime,49.178
Pond2Fish7_PondOutcome,74
Pond2Fish7_TotalOutcome,775
Pond2Fish7_TimeLeft,296.816
Type,RD
FishN,12
Fish,8
Pond2Fish8_FishType,blue
Pond2Fish8_FishLatency,5.454545454545454
Pond2Fish8_CatchTime,0.935
Pond2Fish8_PondTime,57.57
Pond2Fish8_PondOutcome,86
Pond2Fish8_TotalOutcome,787
Pond2Fish8_TimeLeft,288.425
Type,RD
FishN,12
Fish,9
Pond2Fish9_FishType,blue
Pond2Fish9_FishLatency,6
Pond2Fish9_CatchTime,0.909
Pond2Fish9_PondTime,66.612
Pond2Fish9_PondOutcome,98
Pond2Fish9_TotalOutcome,799
Pond2Fish9_TimeLeft,279.383
Type,RD
FishN,12
Fish,10
Pond2Fish10_FishType,blue
Pond2Fish10_FishLatency,6.666666666666667
Pond2Fish10_CatchTime,1.142
Pond2Fish10_PondTime,76.499
Pond2Fish10_PondOutcome,110
Pond2Fish10_TotalOutcome,811
Pond2Fish10_TimeLeft,269.496
Type,RD
FishN,12
Fish,11
Pond2Fish11_FishType,blue
Pond2Fish11_FishLatency,7.5
Pond2Fish11_CatchTime,0.932
Pond2Fish11_PondTime,87.47
Pond2Fish11_PondOutcome,122
Pond2Fish11_TotalOutcome,823
Pond2Fish11_TimeLeft,258.525
Type,RD
FishN,12
Fish,12
Pond2Fish12_FishType,blue
Pond2Fish12_FishLatency,8.571428571428571
Pond2Fish12_CatchTime,0.975
Pond2Fish12_PondTime,99.858
Pond2Fish12_PondOutcome,134
Pond2Fish12_TotalOutcome,835
Pond2Fish12_TimeLeft,246.136
Type,RD
FishN,12
Fish,13
Pond2Fish13_FishType,blue
Pond2Fish13_FishLatency,10
Pond2Fish13_CatchTime,0.857
Pond2Fish13_PondTime,114.256
Pond2Fish13_PondOutcome,146
Pond2Fish13_TotalOutcome,847
Pond2Fish13_TimeLeft,231.739
PondEnd_LastFish,13
FishN,12
Type,RD
GiveUpTime,0.621
PondTime,131.388
TimeLeft,214.105
PondOutcome,146
TotalOutcome,847
PondStart,PondStart
PondIntroTime,17.98554881475866
Type,N
FishN,19
Fish,1
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,3.1578947368421053
Pond10Fish1_CatchTime,1.079
Pond10Fish1_PondTime,7.61
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,858
Pond10Fish1_TimeLeft,187.871
Type,N
FishN,19
Fish,2
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,3.3333333333333335
Pond10Fish2_CatchTime,1.001
Pond10Fish2_PondTime,13.519
Pond10Fish2_PondOutcome,22
Pond10Fish2_TotalOutcome,869
Pond10Fish2_TimeLeft,181.962
Type,N
FishN,19
Fish,3
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,3.5294117647058822
Pond10Fish3_CatchTime,0.976
Pond10Fish3_PondTime,19.64
Pond10Fish3_PondOutcome,33
Pond10Fish3_TotalOutcome,880
Pond10Fish3_TimeLeft,175.841
Type,N
FishN,19
Fish,4
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,3.75
Pond10Fish4_CatchTime,0.922
Pond10Fish4_PondTime,26.023
Pond10Fish4_PondOutcome,44
Pond10Fish4_TotalOutcome,891
Pond10Fish4_TimeLeft,169.458
Type,N
FishN,19
Fish,5
Pond10Fish5_FishType,green
Pond10Fish5_FishLatency,4
Pond10Fish5_CatchTime,0.967
Pond10Fish5_PondTime,32.697
Pond10Fish5_PondOutcome,55
Pond10Fish5_TotalOutcome,902
Pond10Fish5_TimeLeft,162.784
Type,N
FishN,19
Fish,6
Pond10Fish6_FishType,green
Pond10Fish6_FishLatency,4.285714285714286
Pond10Fish6_CatchTime,0.878
Pond10Fish6_PondTime,39.706
Pond10Fish6_PondOutcome,66
Pond10Fish6_TotalOutcome,913
Pond10Fish6_TimeLeft,155.775
Type,N
FishN,19
Fish,7
Pond10Fish7_FishType,green
Pond10Fish7_FishLatency,4.615384615384615
Pond10Fish7_CatchTime,1.014
Pond10Fish7_PondTime,47.098
Pond10Fish7_PondOutcome,77
Pond10Fish7_TotalOutcome,924
Pond10Fish7_TimeLeft,148.383
Type,N
FishN,19
Fish,8
Pond10Fish8_FishType,green
Pond10Fish8_FishLatency,5
Pond10Fish8_CatchTime,1.097
Pond10Fish8_PondTime,54.934
Pond10Fish8_PondOutcome,88
Pond10Fish8_TotalOutcome,935
