,5d8564939c1e25000108b508
Pond2Fish11_CatchTime,1.252
Pond2Fish11_PondTime,93.929
Pond2Fish11_PondOutcome,121
Pond2Fish11_TotalOutcome,450
Pond2Fish11_TimeLeft,734.164
PondEnd_LastFish,11
FishN,12
Type,N
GiveUpTime,1.289
PondTime,94.68
TimeLeft,732.91
PondOutcome,121
TotalOutcome,450
PondStart,PondStart
PondIntroTime,15.029400705825537
Type,RD
FishN,14
Fish,1
Pond11Fish1_FishType,blue
Pond11Fish1_FishLatency,4
Pond11Fish1_CatchTime,1.225
Pond11Fish1_PondTime,8.569
Pond11Fish1_PondOutcome,12
Pond11Fish1_TotalOutcome,462
Pond11Fish1_TimeLeft,708.679
Type,RD
FishN,14
Fish,2
Pond11Fish2_FishType,blue
Pond11Fish2_FishLatency,4.285714285714286
Pond11Fish2_CatchTime,0.985
Pond11Fish2_PondTime,15.56
Pond11Fish2_PondOutcome,24
Pond11Fish2_TotalOutcome,474
Pond11Fish2_TimeLeft,701.688
Type,RD
FishN,14
Fish,3
Pond11Fish3_FishType,blue
Pond11Fish3_FishLatency,4.615384615384615
Pond11Fish3_CatchTime,1.107
Pond11Fish3_PondTime,22.938
Pond11Fish3_PondOutcome,36
Pond11Fish3_TotalOutcome,486
Pond11Fish3_TimeLeft,694.31
Type,RD
FishN,14
Fish,4
Pond11Fish4_FishType,blue
Pond11Fish4_FishLatency,5
Pond11Fish4_CatchTime,0.914
Pond11Fish4_PondTime,30.758
Pond11Fish4_PondOutcome,48
Pond11Fish4_TotalOutcome,498
Pond11Fish4_TimeLeft,686.49
Type,RD
FishN,14
Fish,5
Pond11Fish5_FishType,blue
Pond11Fish5_FishLatency,5.454545454545454
Pond11Fish5_CatchTime,0.92
Pond11Fish5_PondTime,39.146
Pond11Fish5_PondOutcome,60
Pond11Fish5_TotalOutcome,510
Pond11Fish5_TimeLeft,678.102
Type,RD
FishN,14
Fish,6
Pond11Fish6_FishType,blue
Pond11Fish6_FishLatency,6
Pond11Fish6_CatchTime,1.057
Pond11Fish6_PondTime,48.191
Pond11Fish6_PondOutcome,72
Pond11Fish6_TotalOutcome,522
Pond11Fish6_TimeLeft,669.057
Type,RD
FishN,14
Fish,7
Pond11Fish7_FishType,blue
Pond11Fish7_FishLatency,6.666666666666667
Pond11Fish7_CatchTime,0.89
Pond11Fish7_PondTime,58.079
Pond11Fish7_PondOutcome,84
Pond11Fish7_TotalOutcome,534
Pond11Fish7_TimeLeft,659.169
Type,RD
FishN,14
Fish,8
Pond11Fish8_FishType,blue
Pond11Fish8_FishLatency,7.5
Pond11Fish8_CatchTime,1.283
Pond11Fish8_PondTime,69.033
Pond11Fish8_PondOutcome,96
Pond11Fish8_TotalOutcome,546
Pond11Fish8_TimeLeft,648.215
Type,RD
FishN,14
Fish,9
Pond11Fish9_FishType,blue
Pond11Fish9_FishLatency,8.571428571428571
Pond11Fish9_CatchTime,1.318
Pond11Fish9_PondTime,81.419
Pond11Fish9_PondOutcome,108
Pond11Fish9_TotalOutcome,558
Pond11Fish9_TimeLeft,635.829
Type,RD
FishN,14
Fish,10
Pond11Fish10_FishType,blue
Pond11Fish10_FishLatency,10
Pond11Fish10_CatchTime,0.857
Pond11Fish10_PondTime,95.794
Pond11Fish10_PondOutcome,120
Pond11Fish10_TotalOutcome,570
Pond11Fish10_TimeLeft,621.454
Type,RD
FishN,14
Fish,11
Pond11Fish11_FishType,gray
Pond11Fish11_FishLatency,12
Pond11Fish11_CatchTime,1.679
Pond11Fish11_PondTime,113.183
Pond11Fish11_PondOutcome,122
Pond11Fish11_TotalOutcome,572
Pond11Fish11_TimeLeft,604.065
PondEnd_LastFish,11
FishN,14
Type,RD
GiveUpTime,14.17
PondTime,127.229
TimeLeft,589.513
PondOutcome,122
TotalOutcome,572
PondStart,PondStart
PondIntroTime,15.235569514334202
Type,RD
FishN,19
Fish,1
Pond1Fish1_FishType,blue
Pond1Fish1_FishLatency,3.5294117647058822
Pond1Fish1_CatchTime,0.911
Pond1Fish1_PondTime,8.043
Pond1Fish1_PondOutcome,12
Pond1Fish1_TotalOutcome,584
Pond1Fish1_TimeLeft,565.608
Type,RD
FishN,19
Fish,2
Pond1Fish2_FishType,blue
Pond1Fish2_FishLatency,3.75
Pond1Fish2_CatchTime,1.018
Pond1Fish2_PondTime,14.42
Pond1Fish2_PondOutcome,24
Pond1Fish2_TotalOutcome,596
Pond1Fish2_TimeLeft,559.231
Type,RD
FishN,19
Fish,3
Pond1Fish3_FishType,blue
Pond1Fish3_FishLatency,4
Pond1Fish3_CatchTime,1.316
Pond1Fish3_PondTime,21.075
Pond1Fish3_PondOutcome,36
Pond1Fish3_TotalOutcome,608
Pond1Fish3_TimeLeft,552.576
Type,RD
FishN,19
Fish,4
Pond1Fish4_FishType,blue
Pond1Fish4_FishLatency,4.285714285714286
Pond1Fish4_CatchTime,0.962
Pond1Fish4_PondTime,28.059
Pond1Fish4_PondOutcome,48
Pond1Fish4_TotalOutcome,620
Pond1Fish4_TimeLeft,545.592
Type,RD
FishN,19
Fish,5
Pond1Fish5_FishType,blue
Pond1Fish5_FishLatency,4.615384615384615
Pond1Fish5_CatchTime,0.892
Pond1Fish5_PondTime,35.449
Pond1Fish5_PondOutcome,60
Pond1Fish5_TotalOutcome,632
Pond1Fish5_TimeLeft,538.202
Type,RD
FishN,19
Fish,6
Pond1Fish6_FishType,blue
Pond1Fish6_FishLatency,5
Pond1Fish6_CatchTime,1.329
Pond1Fish6_PondTime,43.294
Pond1Fish6_PondOutcome,72
Pond1Fish6_TotalOutcome,644
Pond1Fish6_TimeLeft,530.357
Type,RD
FishN,19
Fish,7
Pond1Fish7_FishType,blue
Pond1Fish7_FishLatency,5.454545454545454
Pond1Fish7_CatchTime,0.966
Pond1Fish7_PondTime,51.661
Pond1Fish7_PondOutcome,84
Pond1Fish7_TotalOutcome,656
Pond1Fish7_TimeLeft,521.99
Type,RD
FishN,19
Fish,8
Pond1Fish8_FishType,blue
Pond1Fish8_FishLatency,6
Pond1Fish8_CatchTime,1.176
Pond1Fish8_PondTime,60.715
Pond1Fish8_PondOutcome,96
Pond1Fish8_TotalOutcome,668
Pond1Fish8_TimeLeft,512.936
Type,RD
FishN,19
Fish,9
Pond1Fish9_FishType,blue
Pond1Fish9_FishLatency,6.666666666666667
Pond1Fish9_CatchTime,1.11
Pond1Fish9_PondTime,70.599
Pond1Fish9_PondOutcome,108
Pond1Fish9_TotalOutcome,680
Pond1Fish9_TimeLeft,503.052
Type,RD
FishN,19
Fish,10
Pond1Fish10_FishType,blue
Pond1Fish10_FishLatency,7.5
Pond1Fish10_CatchTime,1.027
Pond1Fish10_PondTime,81.543
Pond1Fish10_PondOutcome,120
Pond1Fish10_TotalOutcome,692
Pond1Fish10_TimeLeft,492.108
Type,RD
FishN,19
Fish,11
Pond1Fish11_FishType,blue
Pond1Fish11_FishLatency,8.571428571428571
Pond1Fish11_CatchTime,1.005
Pond1Fish11_PondTime,93.92
Pond1Fish11_PondOutcome,132
Pond1Fish11_TotalOutcome,704
Pond1Fish11_TimeLeft,479.731
PondEnd_LastFish,11
FishN,19
Type,RD
GiveUpTime,11.562
PondTime,104.687
TimeLeft,468.461
PondOutcome,132
TotalOutcome,704
PondStart,PondStart
PondIntroTime,18.200610605999827
Type,N
FishN,19
Fish,1
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,4.285714285714286
Pond10Fish1_CatchTime,1.303
Pond10Fish1_PondTime,8.967
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,715
Pond10Fish1_TimeLeft,438.577
Type,N
FishN,19
Fish,2
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,4.615384615384615
Pond10Fish2_CatchTime,1.133
Pond10Fish2_PondTime,16.348
Pond10Fish2_PondOutcome,22
Pond10Fish2_TotalOutcome,726
Pond10Fish2_TimeLeft,431.197
Type,N
FishN,19
Fish,3
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,5
Pond10Fish3_CatchTime,1.254
Pond10Fish3_PondTime,24.185
Pond10Fish3_PondOutcome,33
Pond10Fish3_TotalOutcome,737
Pond10Fish3_TimeLeft,423.36
Type,N
FishN,19
Fish,4
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,5.454545454545454
Pond10Fish4_CatchTime,0.953
Pond10Fish4_PondTime,32.565
Pond10Fish4_PondOutcome,44
Pond10Fish4_TotalOutcome,748
Pond10Fish4_TimeLeft,414.98
Type,N
FishN,19
Fish,5
Pond10Fish5_FishType,green
Pond10Fish5_FishLatency,6
