,5c9a8b09597af60011351647
Pond1Fish5_PondTime,35.025
Pond1Fish5_PondOutcome,50
Pond1Fish5_TotalOutcome,645
Pond1Fish5_TimeLeft,308.921
Type,RT
FishN,19
Fish,6
Pond1Fish6_FishType,purple
Pond1Fish6_FishLatency,4.615384615384615
Pond1Fish6_CatchTime,0.954
Pond1Fish6_PondTime,42.385
Pond1Fish6_PondOutcome,60
Pond1Fish6_TotalOutcome,655
Pond1Fish6_TimeLeft,301.561
Type,RT
FishN,19
Fish,7
Pond1Fish7_FishType,purple
Pond1Fish7_FishLatency,5
Pond1Fish7_CatchTime,1.559
Pond1Fish7_PondTime,50.196
Pond1Fish7_PondOutcome,70
Pond1Fish7_TotalOutcome,665
Pond1Fish7_TimeLeft,293.75
Type,RT
FishN,19
Fish,8
Pond1Fish8_FishType,purple
Pond1Fish8_FishLatency,5.454545454545454
Pond1Fish8_CatchTime,0.831
Pond1Fish8_PondTime,58.557
Pond1Fish8_PondOutcome,80
Pond1Fish8_TotalOutcome,675
Pond1Fish8_TimeLeft,285.389
Type,RT
FishN,19
Fish,9
Pond1Fish9_FishType,purple
Pond1Fish9_FishLatency,6
Pond1Fish9_CatchTime,-1
Pond1Fish9_PondTime,67.647
Pond1Fish9_PondOutcome,80
Pond1Fish9_TotalOutcome,675
Pond1Fish9_TimeLeft,276.299
Type,RT
FishN,19
Fish,10
Pond1Fish10_FishType,purple
Pond1Fish10_FishLatency,6.666666666666667
Pond1Fish10_CatchTime,0.686
Pond1Fish10_PondTime,77.507
Pond1Fish10_PondOutcome,90
Pond1Fish10_TotalOutcome,685
Pond1Fish10_TimeLeft,266.439
Type,RT
FishN,19
Fish,11
Pond1Fish11_FishType,purple
Pond1Fish11_FishLatency,7.5
Pond1Fish11_CatchTime,0.633
Pond1Fish11_PondTime,88.451
Pond1Fish11_PondOutcome,100
Pond1Fish11_TotalOutcome,695
Pond1Fish11_TimeLeft,255.495
Type,RT
FishN,19
Fish,12
Pond1Fish12_FishType,purple
Pond1Fish12_FishLatency,8.571428571428571
Pond1Fish12_CatchTime,1.563
Pond1Fish12_PondTime,100.825
Pond1Fish12_PondOutcome,110
Pond1Fish12_TotalOutcome,705
