,5dfe286653e846ad86a798f8
Type,N
FishN,19
Fish,4
Pond1Fish4_FishType,green
Pond1Fish4_FishLatency,6
Pond1Fish4_CatchTime,1.106
Pond1Fish4_PondTime,34.501
Pond1Fish4_PondOutcome,44
Pond1Fish4_TotalOutcome,711
Pond1Fish4_TimeLeft,494.322
Type,N
FishN,19
Fish,5
Pond1Fish5_FishType,green
Pond1Fish5_FishLatency,6.666666666666667
Pond1Fish5_CatchTime,1.327
Pond1Fish5_PondTime,44.367
Pond1Fish5_PondOutcome,55
Pond1Fish5_TotalOutcome,722
Pond1Fish5_TimeLeft,484.456
Type,N
FishN,19
Fish,6
Pond1Fish6_FishType,green
Pond1Fish6_FishLatency,7.5
Pond1Fish6_CatchTime,1.62
Pond1Fish6_PondTime,55.302
Pond1Fish6_PondOutcome,66
Pond1Fish6_TotalOutcome,733
Pond1Fish6_TimeLeft,473.521
Type,N
FishN,19
Fish,7
Pond1Fish7_FishType,green
Pond1Fish7_FishLatency,8.571428571428571
Pond1Fish7_CatchTime,1.481
Pond1Fish7_PondTime,67.668
Pond1Fish7_PondOutcome,77
Pond1Fish7_TotalOutcome,744
Pond1Fish7_TimeLeft,461.155
Type,N
FishN,19
Fish,8
Pond1Fish8_FishType,green
Pond1Fish8_FishLatency,10
Pond1Fish8_CatchTime,1.128
Pond1Fish8_PondTime,82.036
Pond1Fish8_PondOutcome,88
Pond1Fish8_TotalOutcome,755
Pond1Fish8_TimeLeft,446.787
Type,N
FishN,19
Fish,9
Pond1Fish9_FishType,green
Pond1Fish9_FishLatency,12
Pond1Fish9_CatchTime,1.166
Pond1Fish9_PondTime,99.444
Pond1Fish9_PondOutcome,99
Pond1Fish9_TotalOutcome,766
Pond1Fish9_TimeLeft,429.379
Type,N
FishN,19
Fish,10
Pond1Fish10_FishType,green
Pond1Fish10_FishLatency,15
Pond1Fish10_CatchTime,0.955
Pond1Fish10_PondTime,121.832
Pond1Fish10_PondOutcome,110
Pond1Fish10_TotalOutcome,777
Pond1Fish10_TimeLeft,406.991
PondEnd_LastFish,10
FishN,19
Type,N
GiveUpTime,0.905
PondTime,121.903
TimeLeft,406.416
PondOutcome,110
TotalOutcome,777
PondStart,PondStart
PondIntroTime,16.874922597780824
Type,N
FishN,16
Fish,1
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,4
Pond9Fish1_CatchTime,1.007
Pond9Fish1_PondTime,8.567
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,788
Pond9Fish1_TimeLeft,380.351
Type,N
FishN,16
Fish,2
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,4.285714285714286
Pond9Fish2_CatchTime,0.961
Pond9Fish2_PondTime,15.55
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,799
Pond9Fish2_TimeLeft,373.368
Type,N
FishN,16
Fish,3
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,4.615384615384615
Pond9Fish3_CatchTime,1.774
Pond9Fish3_PondTime,22.998
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,810
Pond9Fish3_TimeLeft,365.92
Type,N
FishN,16
Fish,4
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,5
Pond9Fish4_CatchTime,1.696
Pond9Fish4_PondTime,30.817
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,821
Pond9Fish4_TimeLeft,358.101
Type,N
FishN,16
Fish,5
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,5.454545454545454
Pond9Fish5_CatchTime,1.057
Pond9Fish5_PondTime,39.212
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,832
Pond9Fish5_TimeLeft,349.706
Type,N
FishN,16
Fish,6
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,6
Pond9Fish6_CatchTime,1.198
Pond9Fish6_PondTime,48.264
Pond9Fish6_PondOutcome,66
Pond9Fish6_TotalOutcome,843
Pond9Fish6_TimeLeft,340.653
Type,N
FishN,16
Fish,7
Pond9Fish7_FishType,green
Pond9Fish7_FishLatency,6.666666666666667
Pond9Fish7_CatchTime,1.475
Pond9Fish7_PondTime,58.147
Pond9Fish7_PondOutcome,77
Pond9Fish7_TotalOutcome,854
Pond9Fish7_TimeLeft,330.771
Type,N
FishN,16
Fish,8
Pond9Fish8_FishType,green
Pond9Fish8_FishLatency,7.5
Pond9Fish8_CatchTime,1.597
Pond9Fish8_PondTime,69.084
Pond9Fish8_PondOutcome,88
Pond9Fish8_TotalOutcome,865
Pond9Fish8_TimeLeft,319.834
Type,N
FishN,16
Fish,9
Pond9Fish9_FishType,green
Pond9Fish9_FishLatency,8.571428571428571
Pond9Fish9_CatchTime,1.346
Pond9Fish9_PondTime,81.453
Pond9Fish9_PondOutcome,99
Pond9Fish9_TotalOutcome,876
Pond9Fish9_TimeLeft,307.465
Type,N
FishN,16
Fish,10
Pond9Fish10_FishType,green
Pond9Fish10_FishLatency,10
Pond9Fish10_CatchTime,-1
Pond9Fish10_PondTime,95.884
Pond9Fish10_PondOutcome,99
Pond9Fish10_TotalOutcome,876
Pond9Fish10_TimeLeft,293.034
Type,N
FishN,16
Fish,11
Pond9Fish11_FishType,green
Pond9Fish11_FishLatency,12
Pond9Fish11_CatchTime,1.416
Pond9Fish11_PondTime,113.28
