,5c5322c607ccef0001939694
Pond3Fish8_TimeLeft,515.323
Type,N
FishN,19
Fish,9
Pond3Fish9_FishType,green
Pond3Fish9_FishLatency,12
Pond3Fish9_CatchTime,1.404
Pond3Fish9_PondTime,99.446
Pond3Fish9_PondOutcome,99
Pond3Fish9_TotalOutcome,672
Pond3Fish9_TimeLeft,497.965
Type,N
FishN,19
Fish,10
Pond3Fish10_FishType,green
Pond3Fish10_FishLatency,15
Pond3Fish10_CatchTime,0.969
Pond3Fish10_PondTime,121.808
Pond3Fish10_PondOutcome,110
Pond3Fish10_TotalOutcome,683
Pond3Fish10_TimeLeft,475.603
PondEnd_LastFish,10
FishN,19
Type,N
GiveUpTime,0.979
PondTime,121.967
TimeLeft,474.937
PondOutcome,110
TotalOutcome,683
PondStart,PondStart
PondIntroTime,17.474417546764016
Type,RD
FishN,19
Fish,1
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,5
Pond6Fish1_CatchTime,1.902
Pond6Fish1_PondTime,9.948
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,695
Pond6Fish1_TimeLeft,446.897
Type,RD
FishN,19
Fish,2
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,5.454545454545454
Pond6Fish2_CatchTime,1.232
Pond6Fish2_PondTime,18.313
Pond6Fish2_PondOutcome,24
Pond6Fish2_TotalOutcome,707
Pond6Fish2_TimeLeft,438.532
Type,RD
FishN,19
Fish,3
Pond6Fish3_FishType,blue
Pond6Fish3_FishLatency,6
Pond6Fish3_CatchTime,2.062
Pond6Fish3_PondTime,27.406
Pond6Fish3_PondOutcome,36
Pond6Fish3_TotalOutcome,719
Pond6Fish3_TimeLeft,429.439
Type,RD
FishN,19
Fish,4
Pond6Fish4_FishType,blue
Pond6Fish4_FishLatency,6.666666666666667
Pond6Fish4_CatchTime,1.458
Pond6Fish4_PondTime,37.271
Pond6Fish4_PondOutcome,48
Pond6Fish4_TotalOutcome,731
Pond6Fish4_TimeLeft,419.574
Type,RD
FishN,19
Fish,5
Pond6Fish5_FishType,blue
Pond6Fish5_FishLatency,7.5
Pond6Fish5_CatchTime,1.976
Pond6Fish5_PondTime,48.483
Pond6Fish5_PondOutcome,60
Pond6Fish5_TotalOutcome,743
Pond6Fish5_TimeLeft,408.362
Type,RD
FishN,19
Fish,6
Pond6Fish6_FishType,blue
Pond6Fish6_FishLatency,8.571428571428571
Pond6Fish6_CatchTime,1.547
Pond6Fish6_PondTime,60.846
Pond6Fish6_PondOutcome,72
Pond6Fish6_TotalOutcome,755
Pond6Fish6_TimeLeft,395.999
Type,RD
FishN,19
Fish,7
Pond6Fish7_FishType,blue
Pond6Fish7_FishLatency,10
Pond6Fish7_CatchTime,1.401
Pond6Fish7_PondTime,75.21
Pond6Fish7_PondOutcome,84
Pond6Fish7_TotalOutcome,767
Pond6Fish7_TimeLeft,381.635
Type,RD
FishN,19
Fish,8
Pond6Fish8_FishType,blue
Pond6Fish8_FishLatency,12
Pond6Fish8_CatchTime,0.778
Pond6Fish8_PondTime,92.572
Pond6Fish8_PondOutcome,96
Pond6Fish8_TotalOutcome,779
Pond6Fish8_TimeLeft,364.273
Type,RD
FishN,19
Fish,9
Pond6Fish9_FishType,blue
Pond6Fish9_FishLatency,15
Pond6Fish9_CatchTime,1.852
Pond6Fish9_PondTime,115.094
Pond6Fish9_PondOutcome,108
Pond6Fish9_TotalOutcome,791
Pond6Fish9_TimeLeft,341.751
PondEnd_LastFish,9
FishN,19
Type,RD
GiveUpTime,1.3
PondTime,116.293
TimeLeft,340.049
PondOutcome,108
TotalOutcome,791
PondStart,PondStart
PondIntroTime,11.98119772830978
Type,RT
FishN,14
Fish,1
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,4
Pond11Fish1_CatchTime,1.741
Pond11Fish1_PondTime,8.616
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,801
Pond11Fish1_TimeLeft,318.823
Type,RT
FishN,14
Fish,2
Pond11Fish2_FishType,golden
Pond11Fish2_FishLatency,4.285714285714286
Pond11Fish2_CatchTime,1.248
Pond11Fish2_PondTime,15.596
Pond11Fish2_PondOutcome,30
Pond11Fish2_TotalOutcome,821
Pond11Fish2_TimeLeft,311.843
Type,RT
FishN,14
Fish,3
Pond11Fish3_FishType,golden
Pond11Fish3_FishLatency,4.615384615384615
Pond11Fish3_CatchTime,1.084
Pond11Fish3_PondTime,22.963
Pond11Fish3_PondOutcome,50
Pond11Fish3_TotalOutcome,841
Pond11Fish3_TimeLeft,304.476
Type,RT
FishN,14
Fish,4
Pond11Fish4_FishType,purple
Pond11Fish4_FishLatency,5
Pond11Fish4_CatchTime,1.4
Pond11Fish4_PondTime,30.775
Pond11Fish4_PondOutcome,60
Pond11Fish4_TotalOutcome,851
Pond11Fish4_TimeLeft,296.664
Type,RT
FishN,14
Fish,5
Pond11Fish5_FishType,purple
Pond11Fish5_FishLatency,5.454545454545454
Pond11Fish5_CatchTime,1.203
Pond11Fish5_PondTime,39.174
Pond11Fish5_PondOutcome,70
Pond11Fish5_TotalOutcome,861
Pond11Fish5_TimeLeft,288.265
Type,RT
FishN,14
Fish,6
Pond11Fish6_FishType,purple
Pond11Fish6_FishLatency,6
Pond11Fish6_CatchTime,1.216
Pond11Fish6_PondTime,48.205
Pond11Fish6_PondOutcome,80
Pond11Fish6_TotalOutcome,871
Pond11Fish6_TimeLeft,279.234
Type,RT
FishN,14
Fish,7
Pond11Fish7_FishType,purple
Pond11Fish7_FishLatency,6.666666666666667
Pond11Fish7_CatchTime,1.279
Pond11Fish7_PondTime,58.071
Pond11Fish7_PondOutcome,90
Pond11Fish7_TotalOutcome,881
Pond11Fish7_TimeLeft,269.367
Type,RT
FishN,14
Fish,8
Pond11Fish8_FishType,golden
Pond11Fish8_FishLatency,7.5
Pond11Fish8_CatchTime,0.984
Pond11Fish8_PondTime,69.013
Pond11Fish8_PondOutcome,110
Pond11Fish8_TotalOutcome,901
Pond11Fish8_TimeLeft,258.426
Type,RT
FishN,14
Fish,9
Pond11Fish9_FishType,purple
Pond11Fish9_FishLatency,8.571428571428571
Pond11Fish9_CatchTime,0.867
Pond11Fish9_PondTime,81.375
Pond11Fish9_PondOutcome,120
Pond11Fish9_TotalOutcome,911
Pond11Fish9_TimeLeft,246.064
Type,RT
FishN,14
Fish,10
Pond11Fish10_FishType,purple
Pond11Fish10_FishLatency,10
Pond11Fish10_CatchTime,1.296
Pond11Fish10_PondTime,95.737
Pond11Fish10_PondOutcome,130
Pond11Fish10_TotalOutcome,921
Pond11Fish10_TimeLeft,231.702
PondEnd_LastFish,10
FishN,14
Type,RT
GiveUpTime,1.237
PondTime,96.47
TimeLeft,230.466
PondOutcome,130
TotalOutcome,921
PondStart,PondStart
PondIntroTime,15.06620256928727
Type,RT
FishN,12
Fish,1
Pond5Fish1_FishType,golden
Pond5Fish1_FishLatency,3.1578947368421053
Pond5Fish1_CatchTime,1.152
Pond5Fish1_PondTime,7.599
Pond5Fish1_PondOutcome,20
Pond5Fish1_TotalOutcome,941
Pond5Fish1_TimeLeft,207.161
Type,RT
FishN,12
Fish,2
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,3.3333333333333335
Pond5Fish2_CatchTime,1.103
Pond5Fish2_PondTime,13.499
Pond5Fish2_PondOutcome,30
Pond5Fish2_TotalOutcome,951
Pond5Fish2_TimeLeft,201.262
Type,RT
FishN,12
Fish,3
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,3.5294117647058822
Pond5Fish3_CatchTime,1.443
Pond5Fish3_PondTime,19.612
Pond5Fish3_PondOutcome,40
Pond5Fish3_TotalOutcome,961
Pond5Fish3_TimeLeft,195.149
Type,RT
FishN,12
Fish,4
Pond5Fish4_FishType,purple
