,5cefbe6f1234ed0001970821
Pond2Fish3_PondTime,24.204
Pond2Fish3_PondOutcome,40
Pond2Fish3_TotalOutcome,493
Pond2Fish3_TimeLeft,785.229
Type,RT
FishN,12
Fish,4
Pond2Fish4_FishType,purple
Pond2Fish4_FishLatency,5.454545454545454
Pond2Fish4_CatchTime,0.968
Pond2Fish4_PondTime,32.637
Pond2Fish4_PondOutcome,50
Pond2Fish4_TotalOutcome,503
Pond2Fish4_TimeLeft,776.796
Type,RT
FishN,12
Fish,5
Pond2Fish5_FishType,purple
Pond2Fish5_FishLatency,6
Pond2Fish5_CatchTime,0.967
Pond2Fish5_PondTime,41.699
Pond2Fish5_PondOutcome,60
Pond2Fish5_TotalOutcome,513
Pond2Fish5_TimeLeft,767.734
Type,RT
FishN,12
Fish,6
Pond2Fish6_FishType,purple
Pond2Fish6_FishLatency,6.666666666666667
Pond2Fish6_CatchTime,0.931
Pond2Fish6_PondTime,39.149
Pond2Fish6_PondOutcome,70
Pond2Fish6_TotalOutcome,523
Pond2Fish6_TimeLeft,770.284
Type,RT
FishN,12
Fish,7
Pond2Fish7_FishType,golden
Pond2Fish7_FishLatency,7.5
Pond2Fish7_CatchTime,0.76
Pond2Fish7_PondTime,50.123
Pond2Fish7_PondOutcome,90
Pond2Fish7_TotalOutcome,543
Pond2Fish7_TimeLeft,759.31
Type,RT
FishN,12
Fish,8
Pond2Fish8_FishType,golden
Pond2Fish8_FishLatency,8.571428571428571
Pond2Fish8_CatchTime,0.71
Pond2Fish8_PondTime,62.512
Pond2Fish8_PondOutcome,110
Pond2Fish8_TotalOutcome,563
Pond2Fish8_TimeLeft,746.921
Type,RT
FishN,12
Fish,9
Pond2Fish9_FishType,purple
Pond2Fish9_FishLatency,10
Pond2Fish9_CatchTime,0.919
Pond2Fish9_PondTime,76.93
Pond2Fish9_PondOutcome,120
Pond2Fish9_TotalOutcome,573
Pond2Fish9_TimeLeft,732.503
Type,RT
FishN,12
Fish,10
Pond2Fish10_FishType,golden
Pond2Fish10_FishLatency,12
Pond2Fish10_CatchTime,0.923
Pond2Fish10_PondTime,111.125
Pond2Fish10_PondOutcome,140
Pond2Fish10_TotalOutcome,593
Pond2Fish10_TimeLeft,698.308
PondEnd_LastFish,10
FishN,12
Type,RT
GiveUpTime,0.596
PondTime,133.141
TimeLeft,675.789
PondOutcome,140
TotalOutcome,593
PondStart,PondStart
PondIntroTime,11.042005931958556
Type,RT
FishN,16
Fish,1
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,3.3333333333333335
Pond4Fish1_CatchTime,1.101
Pond4Fish1_PondTime,7.863
Pond4Fish1_PondOutcome,10
Pond4Fish1_TotalOutcome,603
Pond4Fish1_TimeLeft,656.236
Type,RT
FishN,16
Fish,2
Pond4Fish2_FishType,golden
Pond4Fish2_FishLatency,3.5294117647058822
Pond4Fish2_CatchTime,1.072
Pond4Fish2_PondTime,14.042
Pond4Fish2_PondOutcome,30
Pond4Fish2_TotalOutcome,623
Pond4Fish2_TimeLeft,650.057
Type,RT
FishN,16
Fish,3
Pond4Fish3_FishType,purple
Pond4Fish3_FishLatency,3.75
Pond4Fish3_CatchTime,1.014
Pond4Fish3_PondTime,20.456
Pond4Fish3_PondOutcome,40
Pond4Fish3_TotalOutcome,633
Pond4Fish3_TimeLeft,643.643
Type,RT
FishN,16
Fish,4
Pond4Fish4_FishType,purple
Pond4Fish4_FishLatency,4
Pond4Fish4_CatchTime,0.77
Pond4Fish4_PondTime,21.491
Pond4Fish4_PondOutcome,50
Pond4Fish4_TotalOutcome,643
Pond4Fish4_TimeLeft,642.608
Type,RT
FishN,16
Fish,5
Pond4Fish5_FishType,purple
Pond4Fish5_FishLatency,4.285714285714286
Pond4Fish5_CatchTime,1.122
Pond4Fish5_PondTime,28.519
Pond4Fish5_PondOutcome,60
Pond4Fish5_TotalOutcome,653
Pond4Fish5_TimeLeft,635.58
Type,RT
FishN,16
Fish,6
Pond4Fish6_FishType,purple
Pond4Fish6_FishLatency,4.615384615384615
Pond4Fish6_CatchTime,0.873
Pond4Fish6_PondTime,35.937
Pond4Fish6_PondOutcome,70
Pond4Fish6_TotalOutcome,663
Pond4Fish6_TimeLeft,628.162
Type,RT
FishN,16
Fish,7
Pond4Fish7_FishType,purple
Pond4Fish7_FishLatency,5
Pond4Fish7_CatchTime,0.953
Pond4Fish7_PondTime,43.814
Pond4Fish7_PondOutcome,80
Pond4Fish7_TotalOutcome,673
Pond4Fish7_TimeLeft,620.284
Type,RT
FishN,16
Fish,8
Pond4Fish8_FishType,golden
Pond4Fish8_FishLatency,5.454545454545454
Pond4Fish8_CatchTime,0.874
Pond4Fish8_PondTime,52.199
Pond4Fish8_PondOutcome,100
Pond4Fish8_TotalOutcome,693
Pond4Fish8_TimeLeft,611.9
Type,RT
FishN,16
Fish,9
Pond4Fish9_FishType,purple
Pond4Fish9_FishLatency,6
Pond4Fish9_CatchTime,0.863
Pond4Fish9_PondTime,61.303
Pond4Fish9_PondOutcome,110
Pond4Fish9_TotalOutcome,703
Pond4Fish9_TimeLeft,602.796
Type,RT
FishN,16
Fish,10
Pond4Fish10_FishType,purple
Pond4Fish10_FishLatency,6.666666666666667
Pond4Fish10_CatchTime,1.044
Pond4Fish10_PondTime,71.204
Pond4Fish10_PondOutcome,120
Pond4Fish10_TotalOutcome,713
Pond4Fish10_TimeLeft,592.895
Type,RT
FishN,16
Fish,11
Pond4Fish11_FishType,purple
Pond4Fish11_FishLatency,7.5
Pond4Fish11_CatchTime,0.717
Pond4Fish11_PondTime,81.016
Pond4Fish11_PondOutcome,130
Pond4Fish11_TotalOutcome,723
Pond4Fish11_TimeLeft,583.083
Type,RT
FishN,16
Fish,12
Pond4Fish12_FishType,purple
Pond4Fish12_FishLatency,8.571428571428571
Pond4Fish12_CatchTime,1.159
Pond4Fish12_PondTime,93.436
Pond4Fish12_PondOutcome,140
Pond4Fish12_TotalOutcome,733
Pond4Fish12_TimeLeft,570.663
PondEnd_LastFish,12
FishN,16
Type,RT
GiveUpTime,0.627
PondTime,107.543
TimeLeft,556.053
PondOutcome,140
TotalOutcome,733
PondStart,PondStart
PondIntroTime,18.377678655087948
Type,RT
FishN,19
Fish,1
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,4.615384615384615
Pond1Fish1_CatchTime,1.087
Pond1Fish1_PondTime,9.305
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,743
Pond1Fish1_TimeLeft,527.684
Type,RT
FishN,19
Fish,2
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,5
Pond1Fish2_CatchTime,1.11
Pond1Fish2_PondTime,16.458
Pond1Fish2_PondOutcome,20
Pond1Fish2_TotalOutcome,753
Pond1Fish2_TimeLeft,520.531
Type,RT
FishN,19
Fish,3
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,5.454545454545454
Pond1Fish3_CatchTime,0.873
Pond1Fish3_PondTime,24.889
Pond1Fish3_PondOutcome,30
Pond1Fish3_TotalOutcome,763
Pond1Fish3_TimeLeft,512.1
Type,RT
FishN,19
Fish,4
Pond1Fish4_FishType,purple
Pond1Fish4_FishLatency,6
Pond1Fish4_CatchTime,1.065
Pond1Fish4_PondTime,33.938
Pond1Fish4_PondOutcome,40
Pond1Fish4_TotalOutcome,773
Pond1Fish4_TimeLeft,503.05
Type,RT
FishN,19
Fish,5
Pond1Fish5_FishType,purple
Pond1Fish5_FishLatency,6.666666666666667
Pond1Fish5_CatchTime,0.961
Pond1Fish5_PondTime,43.831
Pond1Fish5_PondOutcome,50
Pond1Fish5_TotalOutcome,783
Pond1Fish5_TimeLeft,493.158
Type,RT
FishN,19
Fish,6
Pond1Fish6_FishType,golden
Pond1Fish6_FishLatency,7.5
Pond1Fish6_CatchTime,0.929
Pond1Fish6_PondTime,54.816
Pond1Fish6_PondOutcome,70
Pond1Fish6_TotalOutcome,803
Pond1Fish6_TimeLeft,482.173
Type,RT
FishN,19
Fish,7
Pond1Fish7_FishType,purple
Pond1Fish7_FishLatency,8.571428571428571
Pond1Fish7_CatchTime,1.151
Pond1Fish7_PondTime,67.236
Pond1Fish7_PondOutcome,80
Pond1Fish7_TotalOutcome,813
Pond1Fish7_TimeLeft,469.753
Type,RT
FishN,19
Fish,8
Pond1Fish8_FishType,purple
Pond1Fish8_FishLatency,10
Pond1Fish8_CatchTime,1.024
Pond1Fish8_PondTime,85.756
Pond1Fish8_PondOutcome,90
Pond1Fish8_TotalOutcome,823
Pond1Fish8_TimeLeft,451.233
PondEnd_LastFish,8
FishN,19
Type,RT
GiveUpTime,0.919
PondTime,85.91
TimeLeft,450.578
PondOutcome,90
TotalOutcome,823
PondStart,PondStart
PondIntroTime,13.442532094195485
Type,N
FishN,19
Fish,1
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,3.75
Pond3Fish1_CatchTime,1.304
Pond3Fish1_PondTime,8.298
Pond3Fish1_PondOutcome,11
Pond3Fish1_TotalOutcome,834
Pond3Fish1_TimeLeft,428.151
Type,N
FishN,19
Fish,2
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,4
Pond3Fish2_CatchTime,1.262
Pond3Fish2_PondTime,15.02
Pond3Fish2_PondOutcome,22
Pond3Fish2_TotalOutcome,845
Pond3Fish2_TimeLeft,421.429
Type,N
FishN,19
Fish,3
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,4.285714285714286
Pond3Fish3_CatchTime,0.962
Pond3Fish3_PondTime,22.07
Pond3Fish3_PondOutcome,33
Pond3Fish3_TotalOutcome,856
Pond3Fish3_TimeLeft,414.379
Type,N
FishN,19
Fish,4
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,4.615384615384615
Pond3Fish4_CatchTime,0.979
Pond3Fish4_PondTime,29.506
Pond3Fish4_PondOutcome,44
Pond3Fish4_TotalOutcome,867
Pond3Fish4_TimeLeft,406.942
Type,N
FishN,19
Fish,5
Pond3Fish5_FishType,green
Pond3Fish5_FishLatency,5
Pond3Fish5_CatchTime,1.247
Pond3Fish5_PondTime,30.697
Pond3Fish5_PondOutcome,55
Pond3Fish5_TotalOutcome,878
Pond3Fish5_TimeLeft,405.752
