,569dca9c3b203400054f3ffc
Pond10Fish10_FishLatency,7.5
Pond10Fish10_CatchTime,1.531
Pond10Fish10_PondTime,81.421
Pond10Fish10_PondOutcome,120
Pond10Fish10_TotalOutcome,621
Pond10Fish10_TimeLeft,286.522
Type,RD
FishN,19
Fish,11
Pond10Fish11_FishType,blue
Pond10Fish11_FishLatency,8.571428571428571
Pond10Fish11_CatchTime,1.378
Pond10Fish11_PondTime,93.796
Pond10Fish11_PondOutcome,132
Pond10Fish11_TotalOutcome,633
Pond10Fish11_TimeLeft,274.147
Type,RD
FishN,19
Fish,12
Pond10Fish12_FishType,blue
Pond10Fish12_FishLatency,10
Pond10Fish12_CatchTime,1.546
Pond10Fish12_PondTime,108.156
Pond10Fish12_PondOutcome,144
Pond10Fish12_TotalOutcome,645
Pond10Fish12_TimeLeft,259.787
Type,RD
FishN,19
Fish,13
Pond10Fish13_FishType,blue
Pond10Fish13_FishLatency,12
Pond10Fish13_CatchTime,1.617
Pond10Fish13_PondTime,125.519
Pond10Fish13_PondOutcome,156
Pond10Fish13_TotalOutcome,657
Pond10Fish13_TimeLeft,242.424
Type,RD
FishN,19
Fish,14
Pond10Fish14_FishType,blue
Pond10Fish14_FishLatency,15
Pond10Fish14_CatchTime,1.678
Pond10Fish14_PondTime,147.876
Pond10Fish14_PondOutcome,168
Pond10Fish14_TotalOutcome,669
Pond10Fish14_TimeLeft,220.067
Type,RD
FishN,19
Fish,15
Pond10Fish15_FishType,blue
Pond10Fish15_FishLatency,20
Pond10Fish15_CatchTime,1.749
Pond10Fish15_PondTime,180.297
Pond10Fish15_PondOutcome,180
Pond10Fish15_TotalOutcome,681
Pond10Fish15_TimeLeft,187.646
PondEnd_LastFish,15
FishN,19
Type,RD
GiveUpTime,27.75
PondTime,207.945
TimeLeft,159.497
PondOutcome,180
TotalOutcome,681
PondStart,PondStart
PondIntroTime,12.99097541719675
Type,RT
FishN,12
Fish,1
Pond2Fish1_FishType,purple
Pond2Fish1_FishLatency,3.75
Pond2Fish1_CatchTime,1.025
Pond2Fish1_PondTime,8.276
Pond2Fish1_PondOutcome,10
Pond2Fish1_TotalOutcome,691
Pond2Fish1_TimeLeft,137.619
Type,RT
FishN,12
Fish,2
Pond2Fish2_FishType,golden
Pond2Fish2_FishLatency,4
Pond2Fish2_CatchTime,0.894
Pond2Fish2_PondTime,14.927
Pond2Fish2_PondOutcome,30
Pond2Fish2_TotalOutcome,711
Pond2Fish2_TimeLeft,130.968
Type,RT
FishN,12
Fish,3
Pond2Fish3_FishType,purple
Pond2Fish3_FishLatency,4.285714285714286
Pond2Fish3_CatchTime,1.42
Pond2Fish3_PondTime,21.91
Pond2Fish3_PondOutcome,40
Pond2Fish3_TotalOutcome,721
Pond2Fish3_TimeLeft,123.985
Type,RT
FishN,12
Fish,4
Pond2Fish4_FishType,purple
Pond2Fish4_FishLatency,4.615384615384615
Pond2Fish4_CatchTime,1.176
Pond2Fish4_PondTime,29.277
Pond2Fish4_PondOutcome,50
Pond2Fish4_TotalOutcome,731
Pond2Fish4_TimeLeft,116.618
Type,RT
FishN,12
Fish,5
Pond2Fish5_FishType,purple
Pond2Fish5_FishLatency,5
Pond2Fish5_CatchTime,1.766
Pond2Fish5_PondTime,37.171
Pond2Fish5_PondOutcome,60
Pond2Fish5_TotalOutcome,741
Pond2Fish5_TimeLeft,108.724
Type,RT
FishN,12
Fish,6
Pond2Fish6_FishType,purple
Pond2Fish6_FishLatency,5.454545454545454
Pond2Fish6_CatchTime,1.154
Pond2Fish6_PondTime,45.535
Pond2Fish6_PondOutcome,70
Pond2Fish6_TotalOutcome,751
Pond2Fish6_TimeLeft,100.36
Type,RT
FishN,12
Fish,7
Pond2Fish7_FishType,purple
Pond2Fish7_FishLatency,6
Pond2Fish7_CatchTime,1.299
Pond2Fish7_PondTime,54.557
Pond2Fish7_PondOutcome,80
Pond2Fish7_TotalOutcome,761
Pond2Fish7_TimeLeft,91.338
Type,RT
FishN,12
Fish,8
Pond2Fish8_FishType,purple
Pond2Fish8_FishLatency,6.666666666666667
Pond2Fish8_CatchTime,1.314
Pond2Fish8_PondTime,64.414
Pond2Fish8_PondOutcome,90
Pond2Fish8_TotalOutcome,771
Pond2Fish8_TimeLeft,81.481
Type,RT
FishN,12
Fish,9
Pond2Fish9_FishType,purple
Pond2Fish9_FishLatency,7.5
Pond2Fish9_CatchTime,0.875
Pond2Fish9_PondTime,75.354
Pond2Fish9_PondOutcome,100
Pond2Fish9_TotalOutcome,781
Pond2Fish9_TimeLeft,70.541
Type,RT
FishN,12
Fish,10
Pond2Fish10_FishType,purple
Pond2Fish10_FishLatency,8.571428571428571
Pond2Fish10_CatchTime,1.257
Pond2Fish10_PondTime,87.717
Pond2Fish10_PondOutcome,110
Pond2Fish10_TotalOutcome,791
Pond2Fish10_TimeLeft,58.178
Type,RT
FishN,12
Fish,11
Pond2Fish11_FishType,purple
Pond2Fish11_FishLatency,10
Pond2Fish11_CatchTime,1.434
Pond2Fish11_PondTime,102.073
Pond2Fish11_PondOutcome,120
Pond2Fish11_TotalOutcome,801
Pond2Fish11_TimeLeft,43.822
Type,RT
FishN,12
Fish,12
Pond2Fish12_FishType,purple
Pond2Fish12_FishLatency,12
Pond2Fish12_CatchTime,-1
Pond2Fish12_PondTime,119.484
Pond2Fish12_PondOutcome,120
Pond2Fish12_TotalOutcome,801
