,5cc555d346fb4500171c0a9e
FishN,15
Type,RD
GiveUpTime,0.574
PondTime,36.491
TimeLeft,568.602
PondOutcome,36
TotalOutcome,624
PondStart,PondStart
PondIntroTime,15.747023052535951
Type,N
FishN,19
Fish,1
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,3.1578947368421053
Pond1Fish1_CatchTime,1.074
Pond1Fish1_PondTime,7.602
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,635
Pond1Fish1_TimeLeft,544.643
Type,N
FishN,19
Fish,2
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,3.3333333333333335
Pond1Fish2_CatchTime,0.869
Pond1Fish2_PondTime,13.485
Pond1Fish2_PondOutcome,22
Pond1Fish2_TotalOutcome,646
Pond1Fish2_TimeLeft,538.76
Type,N
FishN,19
Fish,3
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,3.5294117647058822
Pond1Fish3_CatchTime,0.78
Pond1Fish3_PondTime,19.602
Pond1Fish3_PondOutcome,33
Pond1Fish3_TotalOutcome,657
Pond1Fish3_TimeLeft,532.643
Type,N
FishN,19
Fish,4
Pond1Fish4_FishType,green
Pond1Fish4_FishLatency,3.75
Pond1Fish4_CatchTime,0.637
Pond1Fish4_PondTime,25.969
Pond1Fish4_PondOutcome,44
Pond1Fish4_TotalOutcome,668
Pond1Fish4_TimeLeft,526.276
Type,N
FishN,19
Fish,5
Pond1Fish5_FishType,green
Pond1Fish5_FishLatency,4
Pond1Fish5_CatchTime,0.897
Pond1Fish5_PondTime,32.618
Pond1Fish5_PondOutcome,55
Pond1Fish5_TotalOutcome,679
Pond1Fish5_TimeLeft,519.627
Type,N
FishN,19
Fish,6
Pond1Fish6_FishType,green
Pond1Fish6_FishLatency,4.285714285714286
Pond1Fish6_CatchTime,0.795
Pond1Fish6_PondTime,39.604
Pond1Fish6_PondOutcome,66
Pond1Fish6_TotalOutcome,690
Pond1Fish6_TimeLeft,512.641
Type,N
FishN,19
Fish,7
Pond1Fish7_FishType,green
Pond1Fish7_FishLatency,4.615384615384615
Pond1Fish7_CatchTime,0.705
Pond1Fish7_PondTime,46.971
Pond1Fish7_PondOutcome,77
Pond1Fish7_TotalOutcome,701
Pond1Fish7_TimeLeft,505.273
Type,N
FishN,19
Fish,8
Pond1Fish8_FishType,green
Pond1Fish8_FishLatency,5
Pond1Fish8_CatchTime,0.836
Pond1Fish8_PondTime,54.786
Pond1Fish8_PondOutcome,88
Pond1Fish8_TotalOutcome,712
Pond1Fish8_TimeLeft,497.459
Type,N
FishN,19
Fish,9
Pond1Fish9_FishType,green
Pond1Fish9_FishLatency,5.454545454545454
Pond1Fish9_CatchTime,0.878
Pond1Fish9_PondTime,63.152
Pond1Fish9_PondOutcome,99
