,57d3dc8f2638f600010885d1
Pond11Fish2_PondTime,17.116
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,514
Pond11Fish2_TimeLeft,568.195
Type,N
FishN,14
Fish,3
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,5.454545454545454
Pond11Fish3_CatchTime,0.764
Pond11Fish3_PondTime,25.474
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,525
Pond11Fish3_TimeLeft,559.837
Type,N
FishN,14
Fish,4
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,6
Pond11Fish4_CatchTime,0.883
Pond11Fish4_PondTime,34.512
Pond11Fish4_PondOutcome,44
Pond11Fish4_TotalOutcome,536
Pond11Fish4_TimeLeft,550.799
Type,N
FishN,14
Fish,5
Pond11Fish5_FishType,green
Pond11Fish5_FishLatency,6.666666666666667
Pond11Fish5_CatchTime,0.92
Pond11Fish5_PondTime,44.39
Pond11Fish5_PondOutcome,55
Pond11Fish5_TotalOutcome,547
Pond11Fish5_TimeLeft,540.921
Type,N
FishN,14
Fish,6
Pond11Fish6_FishType,green
Pond11Fish6_FishLatency,7.5
Pond11Fish6_CatchTime,1.213
Pond11Fish6_PondTime,55.345
Pond11Fish6_PondOutcome,66
Pond11Fish6_TotalOutcome,558
Pond11Fish6_TimeLeft,529.966
Type,N
FishN,14
Fish,7
Pond11Fish7_FishType,green
Pond11Fish7_FishLatency,8.571428571428571
Pond11Fish7_CatchTime,0.704
Pond11Fish7_PondTime,67.724
Pond11Fish7_PondOutcome,77
Pond11Fish7_TotalOutcome,569
Pond11Fish7_TimeLeft,517.587
Type,N
FishN,14
Fish,8
Pond11Fish8_FishType,green
Pond11Fish8_FishLatency,10
Pond11Fish8_CatchTime,1.91
Pond11Fish8_PondTime,82.311
Pond11Fish8_PondOutcome,88
Pond11Fish8_TotalOutcome,580
Pond11Fish8_TimeLeft,503
Type,N
FishN,14
Fish,9
Pond11Fish9_FishType,green
Pond11Fish9_FishLatency,12
Pond11Fish9_CatchTime,1.122
Pond11Fish9_PondTime,99.692
Pond11Fish9_PondOutcome,99
Pond11Fish9_TotalOutcome,591
Pond11Fish9_TimeLeft,485.619
Type,N
FishN,14
Fish,10
Pond11Fish10_FishType,green
Pond11Fish10_FishLatency,15
Pond11Fish10_CatchTime,1.116
Pond11Fish10_PondTime,122.077
Pond11Fish10_PondOutcome,110
Pond11Fish10_TotalOutcome,602
Pond11Fish10_TimeLeft,463.234
PondEnd_LastFish,10
FishN,14
Type,N
GiveUpTime,23.594
PondTime,144.979
TimeLeft,439.831
PondOutcome,110
TotalOutcome,602
PondStart,PondStart
PondIntroTime,14.940805768128484
Type,RD
FishN,17
Fish,1
Pond8Fish1_FishType,gray
Pond8Fish1_FishLatency,4.285714285714286
Pond8Fish1_CatchTime,1.031
Pond8Fish1_PondTime,8.897
Pond8Fish1_PondOutcome,2
Pond8Fish1_TotalOutcome,604
Pond8Fish1_TimeLeft,415.381
Type,RD
FishN,17
Fish,2
Pond8Fish2_FishType,blue
Pond8Fish2_FishLatency,4.615384615384615
Pond8Fish2_CatchTime,0.614
Pond8Fish2_PondTime,16.262
Pond8Fish2_PondOutcome,14
Pond8Fish2_TotalOutcome,616
Pond8Fish2_TimeLeft,408.016
Type,RD
FishN,17
Fish,3
Pond8Fish3_FishType,blue
Pond8Fish3_FishLatency,5
Pond8Fish3_CatchTime,0.834
Pond8Fish3_PondTime,24.087
Pond8Fish3_PondOutcome,26
Pond8Fish3_TotalOutcome,628
Pond8Fish3_TimeLeft,400.19
Type,RD
FishN,17
Fish,4
Pond8Fish4_FishType,blue
Pond8Fish4_FishLatency,5.454545454545454
Pond8Fish4_CatchTime,0.8
Pond8Fish4_PondTime,32.454
Pond8Fish4_PondOutcome,38
Pond8Fish4_TotalOutcome,640
Pond8Fish4_TimeLeft,391.824
Type,RD
FishN,17
Fish,5
Pond8Fish5_FishType,blue
Pond8Fish5_FishLatency,6
Pond8Fish5_CatchTime,0.847
Pond8Fish5_PondTime,41.496
Pond8Fish5_PondOutcome,50
Pond8Fish5_TotalOutcome,652
Pond8Fish5_TimeLeft,382.781
Type,RD
FishN,17
Fish,6
Pond8Fish6_FishType,blue
Pond8Fish6_FishLatency,6.666666666666667
Pond8Fish6_CatchTime,1.044
Pond8Fish6_PondTime,51.372
Pond8Fish6_PondOutcome,62
Pond8Fish6_TotalOutcome,664
Pond8Fish6_TimeLeft,372.906
Type,RD
FishN,17
Fish,7
Pond8Fish7_FishType,blue
Pond8Fish7_FishLatency,7.5
Pond8Fish7_CatchTime,0.599
Pond8Fish7_PondTime,62.313
Pond8Fish7_PondOutcome,74
Pond8Fish7_TotalOutcome,676
Pond8Fish7_TimeLeft,361.965
Type,RD
FishN,17
Fish,8
Pond8Fish8_FishType,blue
Pond8Fish8_FishLatency,8.571428571428571
Pond8Fish8_CatchTime,0.813
Pond8Fish8_PondTime,74.686
Pond8Fish8_PondOutcome,86
