,5c9c7cc072bf7f0017b6b798
Pond5Fish2_FishLatency,5.454545454545454
Pond5Fish2_CatchTime,0.971
Pond5Fish2_PondTime,18.113
Pond5Fish2_PondOutcome,20
Pond5Fish2_TotalOutcome,416
Pond5Fish2_TimeLeft,746.999
Type,RT
FishN,12
Fish,3
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,6
Pond5Fish3_CatchTime,1.146
Pond5Fish3_PondTime,27.152
Pond5Fish3_PondOutcome,30
Pond5Fish3_TotalOutcome,426
Pond5Fish3_TimeLeft,737.96
Type,RT
FishN,12
Fish,4
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,6.666666666666667
Pond5Fish4_CatchTime,1.027
Pond5Fish4_PondTime,37.009
Pond5Fish4_PondOutcome,40
Pond5Fish4_TotalOutcome,436
Pond5Fish4_TimeLeft,728.103
Type,RT
FishN,12
Fish,5
Pond5Fish5_FishType,purple
Pond5Fish5_FishLatency,7.5
Pond5Fish5_CatchTime,0.993
Pond5Fish5_PondTime,47.976
Pond5Fish5_PondOutcome,50
Pond5Fish5_TotalOutcome,446
Pond5Fish5_TimeLeft,717.136
Type,RT
FishN,12
Fish,6
Pond5Fish6_FishType,purple
Pond5Fish6_FishLatency,8.571428571428571
Pond5Fish6_CatchTime,1.058
Pond5Fish6_PondTime,60.349
Pond5Fish6_PondOutcome,60
Pond5Fish6_TotalOutcome,456
Pond5Fish6_TimeLeft,704.763
Type,RT
FishN,12
Fish,7
Pond5Fish7_FishType,purple
Pond5Fish7_FishLatency,10
Pond5Fish7_CatchTime,1.005
Pond5Fish7_PondTime,74.72
Pond5Fish7_PondOutcome,70
Pond5Fish7_TotalOutcome,466
Pond5Fish7_TimeLeft,690.392
Type,RT
FishN,12
Fish,8
Pond5Fish8_FishType,purple
Pond5Fish8_FishLatency,12
Pond5Fish8_CatchTime,0.851
Pond5Fish8_PondTime,92.119
Pond5Fish8_PondOutcome,80
Pond5Fish8_TotalOutcome,476
Pond5Fish8_TimeLeft,672.993
Type,RT
FishN,12
Fish,9
Pond5Fish9_FishType,purple
Pond5Fish9_FishLatency,15
Pond5Fish9_CatchTime,1.04
Pond5Fish9_PondTime,114.499
Pond5Fish9_PondOutcome,90
Pond5Fish9_TotalOutcome,486
Pond5Fish9_TimeLeft,650.613
PondEnd_LastFish,9
FishN,12
Type,RT
GiveUpTime,30.277
PondTime,144.022
TimeLeft,620.581
PondOutcome,90
TotalOutcome,486
PondStart,PondStart
PondIntroTime,18.534106095321476
Type,N
FishN,15
Fish,1
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,3.3333333333333335
Pond7Fish1_CatchTime,1.101
Pond7Fish1_PondTime,7.835
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,497
Pond7Fish1_TimeLeft,593.59
Type,N
FishN,15
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,3.5294117647058822
Pond7Fish2_CatchTime,0.956
Pond7Fish2_PondTime,13.945
Pond7Fish2_PondOutcome,22
Pond7Fish2_TotalOutcome,508
Pond7Fish2_TimeLeft,587.48
Type,N
FishN,15
Fish,3
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,3.75
Pond7Fish3_CatchTime,0.949
Pond7Fish3_PondTime,20.314
Pond7Fish3_PondOutcome,33
Pond7Fish3_TotalOutcome,519
