,dsahay
Pond2Fish8_PondOutcome,86
Pond2Fish8_TotalOutcome,399
Pond2Fish8_TimeLeft,731.008
Type,RD
FishN,12
Fish,9
Pond2Fish9_FishType,blue
Pond2Fish9_FishLatency,7.5
Pond2Fish9_CatchTime,1.082
Pond2Fish9_PondTime,75.384
Pond2Fish9_PondOutcome,98
Pond2Fish9_TotalOutcome,411
Pond2Fish9_TimeLeft,720.068
Type,RD
FishN,12
Fish,10
Pond2Fish10_FishType,blue
Pond2Fish10_FishLatency,8.571428571428571
Pond2Fish10_CatchTime,1.086
Pond2Fish10_PondTime,87.748
Pond2Fish10_PondOutcome,110
Pond2Fish10_TotalOutcome,423
Pond2Fish10_TimeLeft,707.704
Type,RD
FishN,12
Fish,11
Pond2Fish11_FishType,blue
Pond2Fish11_FishLatency,10
Pond2Fish11_CatchTime,1.437
Pond2Fish11_PondTime,102.118
Pond2Fish11_PondOutcome,122
Pond2Fish11_TotalOutcome,435
Pond2Fish11_TimeLeft,693.334
PondEnd_LastFish,11
FishN,12
Type,RD
GiveUpTime,0.811
PondTime,102.578
TimeLeft,692.372
PondOutcome,122
TotalOutcome,435
PondStart,PondStart
PondIntroTime,11.45097165601328
Type,RD
FishN,13
Fish,1
Pond12Fish1_FishType,gray
Pond12Fish1_FishLatency,3.75
Pond12Fish1_CatchTime,1.358
Pond12Fish1_PondTime,8.285
Pond12Fish1_PondOutcome,2
Pond12Fish1_TotalOutcome,437
Pond12Fish1_TimeLeft,670.659
Type,RD
FishN,13
Fish,2
Pond12Fish2_FishType,blue
Pond12Fish2_FishLatency,4
Pond12Fish2_CatchTime,1.348
Pond12Fish2_PondTime,14.944
Pond12Fish2_PondOutcome,14
Pond12Fish2_TotalOutcome,449
Pond12Fish2_TimeLeft,664
Type,RD
FishN,13
Fish,3
Pond12Fish3_FishType,blue
Pond12Fish3_FishLatency,4.285714285714286
Pond12Fish3_CatchTime,1.128
Pond12Fish3_PondTime,21.919
Pond12Fish3_PondOutcome,26
Pond12Fish3_TotalOutcome,461
Pond12Fish3_TimeLeft,657.025
Type,RD
FishN,13
Fish,4
Pond12Fish4_FishType,blue
Pond12Fish4_FishLatency,4.615384615384615
Pond12Fish4_CatchTime,1.136
