,5b62ceb8e04cbf0001407a5d
Pond9Fish7_TimeLeft,479.901
Type,RT
FishN,16
Fish,8
Pond9Fish8_FishType,purple
Pond9Fish8_FishLatency,6.666666666666667
Pond9Fish8_CatchTime,1.434
Pond9Fish8_PondTime,64.473
Pond9Fish8_PondOutcome,80
Pond9Fish8_TotalOutcome,662
Pond9Fish8_TimeLeft,470.029
Type,RT
FishN,16
Fish,9
Pond9Fish9_FishType,purple
Pond9Fish9_FishLatency,7.5
Pond9Fish9_CatchTime,1.699
Pond9Fish9_PondTime,75.423
Pond9Fish9_PondOutcome,90
Pond9Fish9_TotalOutcome,672
Pond9Fish9_TimeLeft,459.079
Type,RT
FishN,16
Fish,10
Pond9Fish10_FishType,purple
Pond9Fish10_FishLatency,8.571428571428571
Pond9Fish10_CatchTime,1.758
Pond9Fish10_PondTime,87.843
Pond9Fish10_PondOutcome,100
Pond9Fish10_TotalOutcome,682
Pond9Fish10_TimeLeft,446.659
Type,RT
FishN,16
Fish,11
Pond9Fish11_FishType,purple
Pond9Fish11_FishLatency,10
Pond9Fish11_CatchTime,-1
Pond9Fish11_PondTime,102.277
Pond9Fish11_PondOutcome,100
Pond9Fish11_TotalOutcome,682
Pond9Fish11_TimeLeft,432.225
PondEnd_LastFish,11
FishN,16
Type,RT
GiveUpTime,27.747
PondTime,115.489
TimeLeft,418.51
PondOutcome,100
TotalOutcome,682
PondStart,PondStart
PondIntroTime,12.813433844130486
Type,N
FishN,15
Fish,1
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,3.75
Pond7Fish1_CatchTime,-1
Pond7Fish1_PondTime,8.352
Pond7Fish1_PondOutcome,0
Pond7Fish1_TotalOutcome,682
Pond7Fish1_TimeLeft,396.726
Type,N
FishN,15
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,4
Pond7Fish2_CatchTime,1.301
Pond7Fish2_PondTime,15.011
Pond7Fish2_PondOutcome,11
Pond7Fish2_TotalOutcome,693
Pond7Fish2_TimeLeft,390.067
Type,N
FishN,15
Fish,3
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,4.285714285714286
Pond7Fish3_CatchTime,1.255
Pond7Fish3_PondTime,21.987
Pond7Fish3_PondOutcome,22
Pond7Fish3_TotalOutcome,704
Pond7Fish3_TimeLeft,383.091
Type,N
FishN,15
Fish,4
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,4.615384615384615
Pond7Fish4_CatchTime,1.217
Pond7Fish4_PondTime,29.362
Pond7Fish4_PondOutcome,33
Pond7Fish4_TotalOutcome,715
Pond7Fish4_TimeLeft,375.716
Type,N
FishN,15
Fish,5
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,5
Pond7Fish5_CatchTime,1.269
Pond7Fish5_PondTime,37.183
Pond7Fish5_PondOutcome,44
Pond7Fish5_TotalOutcome,726
Pond7Fish5_TimeLeft,367.895
Type,N
FishN,15
Fish,6
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,5.454545454545454
Pond7Fish6_CatchTime,1.327
Pond7Fish6_PondTime,45.553
Pond7Fish6_PondOutcome,55
Pond7Fish6_TotalOutcome,737
Pond7Fish6_TimeLeft,359.525
Type,N
FishN,15
Fish,7
Pond7Fish7_FishType,green
Pond7Fish7_FishLatency,6
Pond7Fish7_CatchTime,1.145
Pond7Fish7_PondTime,54.581
Pond7Fish7_PondOutcome,66
Pond7Fish7_TotalOutcome,748
Pond7Fish7_TimeLeft,350.497
PondEnd_LastFish,7
FishN,15
Type,N
GiveUpTime,3.679
PondTime,57.599
TimeLeft,346.978
PondOutcome,66
TotalOutcome,748
PondStart,PondStart
PondIntroTime,16.473771454766393
Type,N
FishN,14
Fish,1
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,3.5294117647058822
Pond11Fish1_CatchTime,1.605
Pond11Fish1_PondTime,8.02
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,759
Pond11Fish1_TimeLeft,321.838
Type,N
FishN,14
Fish,2
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,3.75
Pond11Fish2_CatchTime,1.363
Pond11Fish2_PondTime,14.389
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,770
Pond11Fish2_TimeLeft,315.469
Type,N
FishN,14
Fish,3
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,4
Pond11Fish3_CatchTime,1.543
Pond11Fish3_PondTime,21.039
