,5cb496f728504d00148fe463
PondEnd_LastFish,13
FishN,12
Type,RD
GiveUpTime,14.945
PondTime,129.049
TimeLeft,475.976
PondOutcome,146
TotalOutcome,710
PondStart,PondStart
PondIntroTime,13.6638248199597
Type,RD
FishN,14
Fish,1
Pond11Fish1_FishType,blue
Pond11Fish1_FishLatency,5
Pond11Fish1_CatchTime,1.467
Pond11Fish1_PondTime,9.777
Pond11Fish1_PondOutcome,12
Pond11Fish1_TotalOutcome,722
Pond11Fish1_TimeLeft,451.885
Type,RD
FishN,14
Fish,2
Pond11Fish2_FishType,blue
Pond11Fish2_FishLatency,5.454545454545454
Pond11Fish2_CatchTime,1.184
Pond11Fish2_PondTime,18.199
Pond11Fish2_PondOutcome,24
Pond11Fish2_TotalOutcome,734
Pond11Fish2_TimeLeft,443.464
Type,RD
FishN,14
Fish,3
Pond11Fish3_FishType,blue
Pond11Fish3_FishLatency,6
Pond11Fish3_CatchTime,1.077
Pond11Fish3_PondTime,27.287
Pond11Fish3_PondOutcome,36
Pond11Fish3_TotalOutcome,746
Pond11Fish3_TimeLeft,434.375
Type,RD
FishN,14
Fish,4
Pond11Fish4_FishType,blue
Pond11Fish4_FishLatency,6.666666666666667
Pond11Fish4_CatchTime,1.39
Pond11Fish4_PondTime,37.212
Pond11Fish4_PondOutcome,48
Pond11Fish4_TotalOutcome,758
Pond11Fish4_TimeLeft,424.451
Type,RD
FishN,14
Fish,5
Pond11Fish5_FishType,gray
Pond11Fish5_FishLatency,7.5
Pond11Fish5_CatchTime,1.434
Pond11Fish5_PondTime,48.187
Pond11Fish5_PondOutcome,50
Pond11Fish5_TotalOutcome,760
Pond11Fish5_TimeLeft,413.476
Type,RD
FishN,14
Fish,6
Pond11Fish6_FishType,blue
Pond11Fish6_FishLatency,8.571428571428571
Pond11Fish6_CatchTime,1.436
Pond11Fish6_PondTime,60.589
Pond11Fish6_PondOutcome,62
Pond11Fish6_TotalOutcome,772
Pond11Fish6_TimeLeft,401.074
Type,RD
FishN,14
Fish,7
Pond11Fish7_FishType,blue
Pond11Fish7_FishLatency,10
Pond11Fish7_CatchTime,1.818
Pond11Fish7_PondTime,75.108
Pond11Fish7_PondOutcome,74
Pond11Fish7_TotalOutcome,784
Pond11Fish7_TimeLeft,386.555
Type,RD
FishN,14
Fish,8
Pond11Fish8_FishType,blue
Pond11Fish8_FishLatency,12
Pond11Fish8_CatchTime,1.172
Pond11Fish8_PondTime,92.508
Pond11Fish8_PondOutcome,86
Pond11Fish8_TotalOutcome,796
Pond11Fish8_TimeLeft,369.155
PondEnd_LastFish,8
FishN,14
Type,RD
GiveUpTime,0.734
PondTime,92.616
TimeLeft,368.522
PondOutcome,86
TotalOutcome,796
PondStart,PondStart
PondIntroTime,13.038272259291261
Type,RD
FishN,15
Fish,1
Pond7Fish1_FishType,blue
Pond7Fish1_FishLatency,3.5294117647058822
Pond7Fish1_CatchTime,1.585
Pond7Fish1_PondTime,8.064
Pond7Fish1_PondOutcome,12
Pond7Fish1_TotalOutcome,808
Pond7Fish1_TimeLeft,346.774
Type,RD
FishN,15
Fish,2
Pond7Fish2_FishType,blue
Pond7Fish2_FishLatency,3.75
Pond7Fish2_CatchTime,-1
Pond7Fish2_PondTime,14.516
Pond7Fish2_PondOutcome,12
Pond7Fish2_TotalOutcome,808
Pond7Fish2_TimeLeft,340.321
Type,RD
FishN,15
Fish,3
Pond7Fish3_FishType,blue
Pond7Fish3_FishLatency,4
Pond7Fish3_CatchTime,1.907
Pond7Fish3_PondTime,21.416
Pond7Fish3_PondOutcome,24
Pond7Fish3_TotalOutcome,820
Pond7Fish3_TimeLeft,333.421
Type,RD
FishN,15
Fish,4
Pond7Fish4_FishType,blue
Pond7Fish4_FishLatency,4.285714285714286
Pond7Fish4_CatchTime,1.021
Pond7Fish4_PondTime,28.417
Pond7Fish4_PondOutcome,36
Pond7Fish4_TotalOutcome,832
Pond7Fish4_TimeLeft,326.421
Type,RD
FishN,15
Fish,5
Pond7Fish5_FishType,blue
Pond7Fish5_FishLatency,4.615384615384615
Pond7Fish5_CatchTime,1.307
Pond7Fish5_PondTime,35.829
Pond7Fish5_PondOutcome,48
Pond7Fish5_TotalOutcome,844
Pond7Fish5_TimeLeft,319.009
Type,RD
FishN,15
Fish,6
Pond7Fish6_FishType,blue
Pond7Fish6_FishLatency,5
Pond7Fish6_CatchTime,1.294
Pond7Fish6_PondTime,43.679
Pond7Fish6_PondOutcome,60
Pond7Fish6_TotalOutcome,856
Pond7Fish6_TimeLeft,311.159
Type,RD
FishN,15
Fish,7
Pond7Fish7_FishType,gray
Pond7Fish7_FishLatency,5.454545454545454
Pond7Fish7_CatchTime,2.005
Pond7Fish7_PondTime,52.16
Pond7Fish7_PondOutcome,62
Pond7Fish7_TotalOutcome,858
Pond7Fish7_TimeLeft,302.677
Type,RD
FishN,15
Fish,8
Pond7Fish8_FishType,gray
Pond7Fish8_FishLatency,6
