,5a6ca245d5d4cb0001d66195
Pond5Fish8_CatchTime,1.444
Pond5Fish8_PondTime,61.102
Pond5Fish8_PondOutcome,88
Pond5Fish8_TotalOutcome,429
Pond5Fish8_TimeLeft,797.232
Type,N
FishN,12
Fish,9
Pond5Fish9_FishType,green
Pond5Fish9_FishLatency,6.666666666666667
Pond5Fish9_CatchTime,0.561
Pond5Fish9_PondTime,71.002
Pond5Fish9_PondOutcome,99
Pond5Fish9_TotalOutcome,440
Pond5Fish9_TimeLeft,787.331
Type,N
FishN,12
Fish,10
Pond5Fish10_FishType,green
Pond5Fish10_FishLatency,7.5
Pond5Fish10_CatchTime,0.756
Pond5Fish10_PondTime,81.977
Pond5Fish10_PondOutcome,110
Pond5Fish10_TotalOutcome,451
Pond5Fish10_TimeLeft,776.356
Type,N
FishN,12
Fish,11
Pond5Fish11_FishType,green
Pond5Fish11_FishLatency,8.571428571428571
Pond5Fish11_CatchTime,0.7
Pond5Fish11_PondTime,94.391
Pond5Fish11_PondOutcome,121
Pond5Fish11_TotalOutcome,462
Pond5Fish11_TimeLeft,763.943
PondEnd_LastFish,11
FishN,12
Type,N
GiveUpTime,0.496
PondTime,108.299
TimeLeft,749.517
PondOutcome,121
TotalOutcome,462
PondStart,PondStart
PondIntroTime,16.62968855816871
Type,RD
FishN,17
Fish,1
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,3.3333333333333335
Pond8Fish1_CatchTime,0.963
Pond8Fish1_PondTime,7.849
Pond8Fish1_PondOutcome,12
Pond8Fish1_TotalOutcome,474
Pond8Fish1_TimeLeft,724.384
Type,RD
FishN,17
Fish,2
Pond8Fish2_FishType,blue
Pond8Fish2_FishLatency,3.5294117647058822
Pond8Fish2_CatchTime,0.764
Pond8Fish2_PondTime,14.018
Pond8Fish2_PondOutcome,24
Pond8Fish2_TotalOutcome,486
Pond8Fish2_TimeLeft,718.214
Type,RD
FishN,17
Fish,3
Pond8Fish3_FishType,blue
Pond8Fish3_FishLatency,3.75
Pond8Fish3_CatchTime,0.756
Pond8Fish3_PondTime,20.426
Pond8Fish3_PondOutcome,36
Pond8Fish3_TotalOutcome,498
Pond8Fish3_TimeLeft,711.807
Type,RD
FishN,17
Fish,4
Pond8Fish4_FishType,blue
Pond8Fish4_FishLatency,4
Pond8Fish4_CatchTime,0.931
Pond8Fish4_PondTime,27.119
Pond8Fish4_PondOutcome,48
Pond8Fish4_TotalOutcome,510
Pond8Fish4_TimeLeft,705.114
Type,RD
FishN,17
Fish,5
Pond8Fish5_FishType,blue
Pond8Fish5_FishLatency,4.285714285714286
Pond8Fish5_CatchTime,1.763
Pond8Fish5_PondTime,34.2
Pond8Fish5_PondOutcome,60
Pond8Fish5_TotalOutcome,522
Pond8Fish5_TimeLeft,698.033
Type,RD
FishN,17
Fish,6
Pond8Fish6_FishType,blue
Pond8Fish6_FishLatency,4.615384615384615
Pond8Fish6_CatchTime,1.073
Pond8Fish6_PondTime,41.592
Pond8Fish6_PondOutcome,72
Pond8Fish6_TotalOutcome,534
Pond8Fish6_TimeLeft,690.641
Type,RD
FishN,17
