,5c7b73bb19b8d40017e6d392
Pond6Fish13_CatchTime,0.958
Pond6Fish13_PondTime,126.79
Pond6Fish13_PondOutcome,180
Pond6Fish13_TotalOutcome,627
Pond6Fish13_TimeLeft,583.92
Type,RT
FishN,19
Fish,14
Pond6Fish14_FishType,golden
Pond6Fish14_FishLatency,15
Pond6Fish14_CatchTime,1.445
Pond6Fish14_PondTime,149.321
Pond6Fish14_PondOutcome,200
Pond6Fish14_TotalOutcome,647
Pond6Fish14_TimeLeft,561.389
PondEnd_LastFish,14
FishN,19
Type,RT
GiveUpTime,0.329
PondTime,181.308
TimeLeft,528.896
PondOutcome,200
TotalOutcome,647
PondStart,PondStart
PondIntroTime,17.250737682916224
Type,N
FishN,15
Fish,1
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,3.3333333333333335
Pond7Fish1_CatchTime,0.88
Pond7Fish1_PondTime,7.946
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,658
Pond7Fish1_TimeLeft,503.066
Type,N
FishN,15
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,3.5294117647058822
Pond7Fish2_CatchTime,0.761
Pond7Fish2_PondTime,14.137
Pond7Fish2_PondOutcome,22
Pond7Fish2_TotalOutcome,669
Pond7Fish2_TimeLeft,496.875
Type,N
FishN,15
Fish,3
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,3.75
Pond7Fish3_CatchTime,0.778
Pond7Fish3_PondTime,20.635
Pond7Fish3_PondOutcome,33
Pond7Fish3_TotalOutcome,680
Pond7Fish3_TimeLeft,490.377
Type,N
FishN,15
Fish,4
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,4
Pond7Fish4_CatchTime,0.859
Pond7Fish4_PondTime,27.437
Pond7Fish4_PondOutcome,44
Pond7Fish4_TotalOutcome,691
Pond7Fish4_TimeLeft,483.575
Type,N
FishN,15
Fish,5
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,4.285714285714286
Pond7Fish5_CatchTime,0.793
Pond7Fish5_PondTime,34.57
Pond7Fish5_PondOutcome,55
Pond7Fish5_TotalOutcome,702
Pond7Fish5_TimeLeft,476.442
Type,N
FishN,15
Fish,6
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,4.615384615384615
Pond7Fish6_CatchTime,0.824
Pond7Fish6_PondTime,42.088
Pond7Fish6_PondOutcome,66
Pond7Fish6_TotalOutcome,713
Pond7Fish6_TimeLeft,468.924
Type,N
FishN,15
Fish,7
Pond7Fish7_FishType,green
Pond7Fish7_FishLatency,5
Pond7Fish7_CatchTime,0.73
Pond7Fish7_PondTime,50.042
Pond7Fish7_PondOutcome,77
Pond7Fish7_TotalOutcome,724
Pond7Fish7_TimeLeft,460.97
Type,N
FishN,15
Fish,8
Pond7Fish8_FishType,green
Pond7Fish8_FishLatency,5.454545454545454
Pond7Fish8_CatchTime,0.768
Pond7Fish8_PondTime,58.558
Pond7Fish8_PondOutcome,88
Pond7Fish8_TotalOutcome,735
Pond7Fish8_TimeLeft,452.454
Type,N
FishN,15
Fish,9
Pond7Fish9_FishType,green
Pond7Fish9_FishLatency,6
Pond7Fish9_CatchTime,0.795
Pond7Fish9_PondTime,67.766
Pond7Fish9_PondOutcome,99
Pond7Fish9_TotalOutcome,746
Pond7Fish9_TimeLeft,443.246
Type,N
FishN,15
Fish,10
Pond7Fish10_FishType,green
Pond7Fish10_FishLatency,6.666666666666667
Pond7Fish10_CatchTime,0.798
Pond7Fish10_PondTime,77.749
