,5c4410ed3526c80001fcaea8
Pond9Fish6_FishType,purple
Pond9Fish6_FishLatency,8.571428571428571
Pond9Fish6_CatchTime,1.166
Pond9Fish6_PondTime,60.742
Pond9Fish6_PondOutcome,50
Pond9Fish6_TotalOutcome,560
Pond9Fish6_TimeLeft,551.862
Type,RT
FishN,16
Fish,7
Pond9Fish7_FishType,purple
Pond9Fish7_FishLatency,10
Pond9Fish7_CatchTime,0.975
Pond9Fish7_PondTime,75.139
Pond9Fish7_PondOutcome,60
Pond9Fish7_TotalOutcome,570
Pond9Fish7_TimeLeft,537.465
Type,RT
FishN,16
Fish,8
Pond9Fish8_FishType,purple
Pond9Fish8_FishLatency,12
Pond9Fish8_CatchTime,1.44
Pond9Fish8_PondTime,92.539
Pond9Fish8_PondOutcome,70
Pond9Fish8_TotalOutcome,580
Pond9Fish8_TimeLeft,520.065
Type,RT
FishN,16
Fish,9
Pond9Fish9_FishType,purple
Pond9Fish9_FishLatency,15
Pond9Fish9_CatchTime,1.285
Pond9Fish9_PondTime,114.923
Pond9Fish9_PondOutcome,80
Pond9Fish9_TotalOutcome,590
Pond9Fish9_TimeLeft,497.681
Type,RT
FishN,16
Fish,10
Pond9Fish10_FishType,purple
Pond9Fish10_FishLatency,20
Pond9Fish10_CatchTime,1.439
Pond9Fish10_PondTime,147.326
Pond9Fish10_PondOutcome,90
Pond9Fish10_TotalOutcome,600
Pond9Fish10_TimeLeft,465.278
Type,RT
FishN,16
Fish,11
Pond9Fish11_FishType,purple
Pond9Fish11_FishLatency,30
Pond9Fish11_CatchTime,1.478
Pond9Fish11_PondTime,209.723
Pond9Fish11_PondOutcome,100
Pond9Fish11_TotalOutcome,610
Pond9Fish11_TimeLeft,402.881
Type,RT
FishN,16
Fish,12
Pond9Fish12_FishType,golden
Pond9Fish12_FishLatency,60
Pond9Fish12_CatchTime,-1
Pond9Fish12_PondTime,212.159
Pond9Fish12_PondOutcome,100
Pond9Fish12_TotalOutcome,610
Pond9Fish12_TimeLeft,400.445
PondEnd_LastFish,12
FishN,16
Type,RT
GiveUpTime,13.449
PondTime,222.856
TimeLeft,389.235
PondOutcome,100
TotalOutcome,610
PondStart,PondStart
PondIntroTime,11.64131400641054
Type,RD
FishN,15
Fish,1
Pond7Fish1_FishType,blue
Pond7Fish1_FishLatency,4.285714285714286
Pond7Fish1_CatchTime,1.056
Pond7Fish1_PondTime,8.938
Pond7Fish1_PondOutcome,12
Pond7Fish1_TotalOutcome,622
Pond7Fish1_TimeLeft,367.988
Type,RD
FishN,15
Fish,2
Pond7Fish2_FishType,blue
Pond7Fish2_FishLatency,4.615384615384615
Pond7Fish2_CatchTime,0.921
Pond7Fish2_PondTime,16.327
Pond7Fish2_PondOutcome,24
Pond7Fish2_TotalOutcome,634
Pond7Fish2_TimeLeft,360.599
Type,RD
FishN,15
Fish,3
Pond7Fish3_FishType,blue
Pond7Fish3_FishLatency,5
Pond7Fish3_CatchTime,1.125
Pond7Fish3_PondTime,24.187
Pond7Fish3_PondOutcome,36
Pond7Fish3_TotalOutcome,646
Pond7Fish3_TimeLeft,352.739
Type,RD
FishN,15
Fish,4
Pond7Fish4_FishType,blue
Pond7Fish4_FishLatency,5.454545454545454
Pond7Fish4_CatchTime,1.183
Pond7Fish4_PondTime,32.554
Pond7Fish4_PondOutcome,48
Pond7Fish4_TotalOutcome,658
Pond7Fish4_TimeLeft,344.372
Type,RD
FishN,15
Fish,5
Pond7Fish5_FishType,blue
Pond7Fish5_FishLatency,6
Pond7Fish5_CatchTime,1.24
Pond7Fish5_PondTime,41.624
Pond7Fish5_PondOutcome,60
Pond7Fish5_TotalOutcome,670
Pond7Fish5_TimeLeft,335.302
Type,RD
FishN,15
Fish,6
Pond7Fish6_FishType,blue
Pond7Fish6_FishLatency,6.666666666666667
Pond7Fish6_CatchTime,1.13
Pond7Fish6_PondTime,51.52
Pond7Fish6_PondOutcome,72
Pond7Fish6_TotalOutcome,682
Pond7Fish6_TimeLeft,325.406
Type,RD
FishN,15
Fish,7
Pond7Fish7_FishType,blue
Pond7Fish7_FishLatency,7.5
Pond7Fish7_CatchTime,1.341
Pond7Fish7_PondTime,62.503
