,5d67b6d92b7448000173d95a
Pond8Fish7_PondOutcome,80
Pond8Fish7_TotalOutcome,609
Pond8Fish7_TimeLeft,573.324
PondEnd_LastFish,7
FishN,17
Type,RT
GiveUpTime,1.274
PondTime,63.146
TimeLeft,572.184
PondOutcome,80
TotalOutcome,609
PondStart,PondStart
PondIntroTime,11.12278068671003
Type,RD
FishN,16
Fish,1
Pond9Fish1_FishType,blue
Pond9Fish1_FishLatency,5
Pond9Fish1_CatchTime,1.084
Pond9Fish1_PondTime,9.805
Pond9Fish1_PondOutcome,12
Pond9Fish1_TotalOutcome,621
Pond9Fish1_TimeLeft,550.61
Type,RD
FishN,16
Fish,2
Pond9Fish2_FishType,blue
Pond9Fish2_FishLatency,5.454545454545454
Pond9Fish2_CatchTime,1.211
Pond9Fish2_PondTime,18.219
Pond9Fish2_PondOutcome,24
Pond9Fish2_TotalOutcome,633
Pond9Fish2_TimeLeft,542.197
Type,RD
FishN,16
Fish,3
Pond9Fish3_FishType,blue
Pond9Fish3_FishLatency,6
Pond9Fish3_CatchTime,1.134
Pond9Fish3_PondTime,27.285
Pond9Fish3_PondOutcome,36
Pond9Fish3_TotalOutcome,645
Pond9Fish3_TimeLeft,533.129
Type,RD
FishN,16
Fish,4
Pond9Fish4_FishType,blue
Pond9Fish4_FishLatency,6.666666666666667
Pond9Fish4_CatchTime,1.21
Pond9Fish4_PondTime,37.183
Pond9Fish4_PondOutcome,48
Pond9Fish4_TotalOutcome,657
Pond9Fish4_TimeLeft,523.232
Type,RD
FishN,16
Fish,5
Pond9Fish5_FishType,blue
Pond9Fish5_FishLatency,7.5
Pond9Fish5_CatchTime,1.123
Pond9Fish5_PondTime,48.162
Pond9Fish5_PondOutcome,60
Pond9Fish5_TotalOutcome,669
Pond9Fish5_TimeLeft,512.254
Type,RD
FishN,16
Fish,6
Pond9Fish6_FishType,blue
Pond9Fish6_FishLatency,8.571428571428571
Pond9Fish6_CatchTime,1.106
Pond9Fish6_PondTime,60.529
Pond9Fish6_PondOutcome,72
Pond9Fish6_TotalOutcome,681
Pond9Fish6_TimeLeft,499.887
Type,RD
FishN,16
Fish,7
Pond9Fish7_FishType,blue
Pond9Fish7_FishLatency,10
Pond9Fish7_CatchTime,1.178
Pond9Fish7_PondTime,74.929
Pond9Fish7_PondOutcome,84
Pond9Fish7_TotalOutcome,693
Pond9Fish7_TimeLeft,485.487
PondEnd_LastFish,7
FishN,16
Type,RD
GiveUpTime,6.146
PondTime,80.448
TimeLeft,479.464
PondOutcome,84
TotalOutcome,693
PondStart,PondStart
PondIntroTime,11.156041356734931
Type,RD
FishN,15
Fish,1
Pond7Fish1_FishType,blue
Pond7Fish1_FishLatency,5
Pond7Fish1_CatchTime,1.212
Pond7Fish1_PondTime,9.772
Pond7Fish1_PondOutcome,12
Pond7Fish1_TotalOutcome,705
Pond7Fish1_TimeLeft,457.913
Type,RD
FishN,15
Fish,2
Pond7Fish2_FishType,blue
Pond7Fish2_FishLatency,5.454545454545454
Pond7Fish2_CatchTime,1.119
Pond7Fish2_PondTime,18.182
Pond7Fish2_PondOutcome,24
Pond7Fish2_TotalOutcome,717
Pond7Fish2_TimeLeft,449.503
Type,RD
FishN,15
Fish,3
Pond7Fish3_FishType,blue
Pond7Fish3_FishLatency,6
Pond7Fish3_CatchTime,1.03
Pond7Fish3_PondTime,27.257
Pond7Fish3_PondOutcome,36
Pond7Fish3_TotalOutcome,729
Pond7Fish3_TimeLeft,440.428
Type,RD
FishN,15
Fish,4
Pond7Fish4_FishType,blue
Pond7Fish4_FishLatency,6.666666666666667
