,5dff62a6df98d9ba45117f52
Pond2Fish3_TimeLeft,785.322
Type,N
FishN,12
Fish,4
Pond2Fish4_FishType,green
Pond2Fish4_FishLatency,3.75
Pond2Fish4_CatchTime,0.551
Pond2Fish4_PondTime,25.963
Pond2Fish4_PondOutcome,44
Pond2Fish4_TotalOutcome,369
Pond2Fish4_TimeLeft,778.962
Type,N
FishN,12
Fish,5
Pond2Fish5_FishType,green
Pond2Fish5_FishLatency,4
Pond2Fish5_CatchTime,0.748
Pond2Fish5_PondTime,32.609
Pond2Fish5_PondOutcome,55
Pond2Fish5_TotalOutcome,380
Pond2Fish5_TimeLeft,772.316
Type,N
FishN,12
Fish,6
Pond2Fish6_FishType,green
Pond2Fish6_FishLatency,4.285714285714286
Pond2Fish6_CatchTime,1.432
Pond2Fish6_PondTime,39.578
Pond2Fish6_PondOutcome,66
Pond2Fish6_TotalOutcome,391
Pond2Fish6_TimeLeft,765.347
Type,N
FishN,12
Fish,7
Pond2Fish7_FishType,green
Pond2Fish7_FishLatency,4.615384615384615
Pond2Fish7_CatchTime,0.701
Pond2Fish7_PondTime,46.938
Pond2Fish7_PondOutcome,77
Pond2Fish7_TotalOutcome,402
Pond2Fish7_TimeLeft,757.987
Type,N
FishN,12
Fish,8
Pond2Fish8_FishType,green
Pond2Fish8_FishLatency,5
Pond2Fish8_CatchTime,0.727
Pond2Fish8_PondTime,54.749
Pond2Fish8_PondOutcome,88
Pond2Fish8_TotalOutcome,413
Pond2Fish8_TimeLeft,750.175
Type,N
FishN,12
Fish,9
Pond2Fish9_FishType,green
Pond2Fish9_FishLatency,5.454545454545454
Pond2Fish9_CatchTime,0.637
Pond2Fish9_PondTime,63.108
Pond2Fish9_PondOutcome,99
Pond2Fish9_TotalOutcome,424
Pond2Fish9_TimeLeft,741.816
Type,N
FishN,12
Fish,10
Pond2Fish10_FishType,green
Pond2Fish10_FishLatency,6
Pond2Fish10_CatchTime,0.796
Pond2Fish10_PondTime,72.135
Pond2Fish10_PondOutcome,110
Pond2Fish10_TotalOutcome,435
Pond2Fish10_TimeLeft,732.789
Type,N
FishN,12
Fish,11
Pond2Fish11_FishType,green
Pond2Fish11_FishLatency,6.666666666666667
Pond2Fish11_CatchTime,0.635
Pond2Fish11_PondTime,81.994
Pond2Fish11_PondOutcome,121
Pond2Fish11_TotalOutcome,446
Pond2Fish11_TimeLeft,722.93
PondEnd_LastFish,11
FishN,12
Type,N
GiveUpTime,0.342
PondTime,92.024
TimeLeft,712.399
PondOutcome,121
TotalOutcome,446
PondStart,PondStart
PondIntroTime,11.296526859514415
PondEnd_LastFish,11
FishN,17
Type,RD
GiveUpTime,0.25
PondTime,8.038
TimeLeft,691.947
PondOutcome,0
TotalOutcome,446
PondStart,PondStart
PondIntroTime,16.14813701948151
Type,RT
FishN,15
Fish,1
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,4.285714285714286
Pond7Fish1_CatchTime,-1
Pond7Fish1_PondTime,11.036
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,456
Pond7Fish1_TimeLeft,664.143
Type,RT
FishN,15
Fish,2
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,4.615384615384615
Pond7Fish2_CatchTime,1.634
Pond7Fish2_PondTime,21.737
Pond7Fish2_PondOutcome,20
Pond7Fish2_TotalOutcome,466
Pond7Fish2_TimeLeft,653.442
Type,RT
FishN,15
Fish,3
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,5
Pond7Fish3_CatchTime,0.819
Pond7Fish3_PondTime,29.552
Pond7Fish3_PondOutcome,30
Pond7Fish3_TotalOutcome,476
Pond7Fish3_TimeLeft,645.627
Type,RT
FishN,15
Fish,4
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,5.454545454545454
Pond7Fish4_CatchTime,0.789
Pond7Fish4_PondTime,37.911
Pond7Fish4_PondOutcome,40
Pond7Fish4_TotalOutcome,486
Pond7Fish4_TimeLeft,637.268
Type,RT
FishN,15
Fish,5
Pond7Fish5_FishType,golden
Pond7Fish5_FishLatency,6
Pond7Fish5_CatchTime,0.606
Pond7Fish5_PondTime,46.937
Pond7Fish5_PondOutcome,60
Pond7Fish5_TotalOutcome,506
Pond7Fish5_TimeLeft,628.242
Type,RT
FishN,15
Fish,6
Pond7Fish6_FishType,purple
Pond7Fish6_FishLatency,6.666666666666667
Pond7Fish6_CatchTime,0.645
Pond7Fish6_PondTime,56.797
Pond7Fish6_PondOutcome,70
Pond7Fish6_TotalOutcome,516
Pond7Fish6_TimeLeft,618.382
Type,RT
FishN,15
Fish,7
Pond7Fish7_FishType,purple
Pond7Fish7_FishLatency,7.5
Pond7Fish7_CatchTime,1.134
Pond7Fish7_PondTime,67.726
Pond7Fish7_PondOutcome,80
Pond7Fish7_TotalOutcome,526
Pond7Fish7_TimeLeft,607.453
Type,RT
FishN,15
Fish,8
Pond7Fish8_FishType,purple
Pond7Fish8_FishLatency,8.571428571428571
Pond7Fish8_CatchTime,0.788
Pond7Fish8_PondTime,80.084
Pond7Fish8_PondOutcome,90
Pond7Fish8_TotalOutcome,536
Pond7Fish8_TimeLeft,595.095
Type,RT
FishN,15
Fish,9
Pond7Fish9_FishType,purple
Pond7Fish9_FishLatency,10
Pond7Fish9_CatchTime,0.814
Pond7Fish9_PondTime,94.444
Pond7Fish9_PondOutcome,100
Pond7Fish9_TotalOutcome,546
Pond7Fish9_TimeLeft,580.735
Type,RT
FishN,15
Fish,10
Pond7Fish10_FishType,purple
Pond7Fish10_FishLatency,12
Pond7Fish10_CatchTime,0.772
Pond7Fish10_PondTime,111.808
Pond7Fish10_PondOutcome,110
Pond7Fish10_TotalOutcome,556
Pond7Fish10_TimeLeft,563.37
PondEnd_LastFish,10
FishN,15
Type,RT
GiveUpTime,21.041
PondTime,131.823
TimeLeft,542.854
PondOutcome,110
TotalOutcome,556
PondStart,PondStart
PondIntroTime,15.53995406953618
Type,N
FishN,14
Fish,1
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,3.75
Pond11Fish1_CatchTime,1.031
Pond11Fish1_PondTime,8.274
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,567
Pond11Fish1_TimeLeft,518.433
Type,N
FishN,14
Fish,2
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,4
Pond11Fish2_CatchTime,1.333
Pond11Fish2_PondTime,14.922
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,578
Pond11Fish2_TimeLeft,511.785
Type,N
FishN,14
Fish,3
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,4.285714285714286
Pond11Fish3_CatchTime,0.873
Pond11Fish3_PondTime,21.898
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,589
Pond11Fish3_TimeLeft,504.808
Type,N
FishN,14
Fish,4
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,4.615384615384615
Pond11Fish4_CatchTime,0.592
Pond11Fish4_PondTime,29.253
Pond11Fish4_PondOutcome,44
Pond11Fish4_TotalOutcome,600
Pond11Fish4_TimeLeft,497.454
Type,N
FishN,14
Fish,5
Pond11Fish5_FishType,green
Pond11Fish5_FishLatency,5
Pond11Fish5_CatchTime,0.748
Pond11Fish5_PondTime,37.063
Pond11Fish5_PondOutcome,55
Pond11Fish5_TotalOutcome,611
Pond11Fish5_TimeLeft,489.643
Type,N
FishN,14
Fish,6
Pond11Fish6_FishType,green
Pond11Fish6_FishLatency,5.454545454545454
Pond11Fish6_CatchTime,0.809
Pond11Fish6_PondTime,45.423
Pond11Fish6_PondOutcome,66
Pond11Fish6_TotalOutcome,622
Pond11Fish6_TimeLeft,481.284
PondEnd_LastFish,6
FishN,14
Type,N
GiveUpTime,0.601
PondTime,54.067
TimeLeft,472.138
PondOutcome,66
TotalOutcome,622
PondStart,PondStart
PondIntroTime,19.32705532060936
PondEnd_LastFish,6
FishN,19
Type,N
GiveUpTime,0.823
PondTime,54.289
TimeLeft,471.916
PondOutcome,0
TotalOutcome,622
PondStart,PondStart
PondIntroTime,19.427847950719297
Type,RD
FishN,16
Fish,2
Pond4Fish2_FishType,blue
Pond4Fish2_FishLatency,4.285714285714286
Pond4Fish2_CatchTime,1.082
Pond4Fish2_PondTime,8.882
Pond4Fish2_PondOutcome,12
Pond4Fish2_TotalOutcome,634
Pond4Fish2_TimeLeft,443.311
Type,RD
FishN,16
Fish,2
Pond4Fish2_FishType,blue
Pond4Fish2_FishLatency,4.285714285714286
Pond4Fish2_CatchTime,-1
Pond4Fish2_PondTime,8.883
Pond4Fish2_PondOutcome,12
Pond4Fish2_TotalOutcome,634
Pond4Fish2_TimeLeft,443.31
Type,RD
FishN,16
Fish,4
Pond4Fish4_FishType,blue
Pond4Fish4_FishLatency,5
Pond4Fish4_CatchTime,1.962
Pond4Fish4_PondTime,16.955
Pond4Fish4_PondOutcome,24
Pond4Fish4_TotalOutcome,646
Pond4Fish4_TimeLeft,435.238
