,5cc75fed260ac90018dead06
Pond3Fish5_CatchTime,0.965
Pond3Fish5_PondTime,33.948
Pond3Fish5_PondOutcome,60
Pond3Fish5_TotalOutcome,794
Pond3Fish5_TimeLeft,407.257
Type,RT
FishN,19
Fish,6
Pond3Fish6_FishType,purple
Pond3Fish6_FishLatency,4.615384615384615
Pond3Fish6_CatchTime,1.246
Pond3Fish6_PondTime,41.322
Pond3Fish6_PondOutcome,70
Pond3Fish6_TotalOutcome,804
Pond3Fish6_TimeLeft,399.883
Type,RT
FishN,19
Fish,7
Pond3Fish7_FishType,purple
Pond3Fish7_FishLatency,5
Pond3Fish7_CatchTime,1.045
Pond3Fish7_PondTime,49.143
Pond3Fish7_PondOutcome,80
Pond3Fish7_TotalOutcome,814
Pond3Fish7_TimeLeft,392.062
Type,RT
FishN,19
Fish,8
Pond3Fish8_FishType,purple
Pond3Fish8_FishLatency,5.454545454545454
Pond3Fish8_CatchTime,1.241
Pond3Fish8_PondTime,57.511
Pond3Fish8_PondOutcome,90
Pond3Fish8_TotalOutcome,824
Pond3Fish8_TimeLeft,383.694
Type,RT
FishN,19
Fish,9
Pond3Fish9_FishType,purple
Pond3Fish9_FishLatency,6
Pond3Fish9_CatchTime,1.112
Pond3Fish9_PondTime,66.55
Pond3Fish9_PondOutcome,100
Pond3Fish9_TotalOutcome,834
Pond3Fish9_TimeLeft,374.655
Type,RT
FishN,19
Fish,10
Pond3Fish10_FishType,purple
Pond3Fish10_FishLatency,6.666666666666667
Pond3Fish10_CatchTime,1.137
Pond3Fish10_PondTime,76.415
Pond3Fish10_PondOutcome,110
Pond3Fish10_TotalOutcome,844
Pond3Fish10_TimeLeft,364.789
PondEnd_LastFish,10
FishN,19
Type,RT
GiveUpTime,1.216
PondTime,76.98
TimeLeft,363.723
PondOutcome,110
TotalOutcome,844
PondStart,PondStart
PondIntroTime,14.486907485406846
Type,RT
FishN,12
Fish,1
Pond2Fish1_FishType,purple
Pond2Fish1_FishLatency,3.3333333333333335
Pond2Fish1_CatchTime,1.421
Pond2Fish1_PondTime,7.8
Pond2Fish1_PondOutcome,10
Pond2Fish1_TotalOutcome,854
Pond2Fish1_TimeLeft,340.819
Type,RT
FishN,12
Fish,2
Pond2Fish2_FishType,golden
Pond2Fish2_FishLatency,3.5294117647058822
Pond2Fish2_CatchTime,0.954
Pond2Fish2_PondTime,13.918
Pond2Fish2_PondOutcome,30
Pond2Fish2_TotalOutcome,874
Pond2Fish2_TimeLeft,334.701
Type,RT
FishN,12
Fish,3
Pond2Fish3_FishType,purple
Pond2Fish3_FishLatency,3.75
Pond2Fish3_CatchTime,1.328
Pond2Fish3_PondTime,20.285
Pond2Fish3_PondOutcome,40
Pond2Fish3_TotalOutcome,884
Pond2Fish3_TimeLeft,328.334
Type,RT
FishN,12
Fish,4
