,minigunski
Pond12Fish11_CatchTime,-1
Pond12Fish11_PondTime,113.432
Pond12Fish11_PondOutcome,110
Pond12Fish11_TotalOutcome,446
Pond12Fish11_TimeLeft,695.846
Type,N
FishN,13
Fish,12
Pond12Fish12_FishType,green
Pond12Fish12_FishLatency,15
Pond12Fish12_CatchTime,0.939
Pond12Fish12_PondTime,135.813
Pond12Fish12_PondOutcome,121
Pond12Fish12_TotalOutcome,457
Pond12Fish12_TimeLeft,673.465
Type,N
FishN,13
Fish,13
Pond12Fish13_FishType,green
Pond12Fish13_FishLatency,20
Pond12Fish13_CatchTime,0.939
Pond12Fish13_PondTime,168.216
Pond12Fish13_PondOutcome,132
Pond12Fish13_TotalOutcome,468
Pond12Fish13_TimeLeft,641.061
PondEnd_LastFish,13
FishN,13
Type,N
GiveUpTime,9.352
PondTime,176.714
TimeLeft,632.061
PondOutcome,132
TotalOutcome,468
PondStart,PondStart
PondIntroTime,19.787682893220335
Type,RT
FishN,15
Fish,1
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,3.3333333333333335
Pond7Fish1_CatchTime,0.947
Pond7Fish1_PondTime,7.809
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,478
Pond7Fish1_TimeLeft,603.833
Type,RT
FishN,15
Fish,2
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,3.5294117647058822
Pond7Fish2_CatchTime,1.004
Pond7Fish2_PondTime,13.961
Pond7Fish2_PondOutcome,20
Pond7Fish2_TotalOutcome,488
Pond7Fish2_TimeLeft,597.681
Type,RT
FishN,15
Fish,3
Pond7Fish3_FishType,golden
Pond7Fish3_FishLatency,3.75
Pond7Fish3_CatchTime,0.812
Pond7Fish3_PondTime,20.361
Pond7Fish3_PondOutcome,40
Pond7Fish3_TotalOutcome,508
Pond7Fish3_TimeLeft,591.281
Type,RT
FishN,15
Fish,4
Pond7Fish4_FishType,golden
Pond7Fish4_FishLatency,4
Pond7Fish4_CatchTime,-1
Pond7Fish4_PondTime,27.092
Pond7Fish4_PondOutcome,40
Pond7Fish4_TotalOutcome,508
Pond7Fish4_TimeLeft,584.55
Type,RT
FishN,15
Fish,5
Pond7Fish5_FishType,purple
Pond7Fish5_FishLatency,4.285714285714286
Pond7Fish5_CatchTime,0.656
Pond7Fish5_PondTime,34.077
Pond7Fish5_PondOutcome,50
Pond7Fish5_TotalOutcome,518
Pond7Fish5_TimeLeft,577.565
Type,RT
FishN,15
Fish,6
Pond7Fish6_FishType,purple
Pond7Fish6_FishLatency,4.615384615384615
Pond7Fish6_CatchTime,0.591
Pond7Fish6_PondTime,41.478
Pond7Fish6_PondOutcome,60
Pond7Fish6_TotalOutcome,528
Pond7Fish6_TimeLeft,570.164
Type,RT
FishN,15
Fish,7
Pond7Fish7_FishType,purple
Pond7Fish7_FishLatency,5
Pond7Fish7_CatchTime,0.95
Pond7Fish7_PondTime,49.293
Pond7Fish7_PondOutcome,70
Pond7Fish7_TotalOutcome,538
Pond7Fish7_TimeLeft,562.349
Type,RT
FishN,15
Fish,8
Pond7Fish8_FishType,purple
Pond7Fish8_FishLatency,5.454545454545454
Pond7Fish8_CatchTime,0.784
Pond7Fish8_PondTime,57.696
Pond7Fish8_PondOutcome,80
Pond7Fish8_TotalOutcome,548
Pond7Fish8_TimeLeft,553.946
Type,RT
FishN,15
Fish,9
Pond7Fish9_FishType,purple
Pond7Fish9_FishLatency,6
Pond7Fish9_CatchTime,0.934
Pond7Fish9_PondTime,66.752
Pond7Fish9_PondOutcome,90
Pond7Fish9_TotalOutcome,558
Pond7Fish9_TimeLeft,544.89
Type,RT
FishN,15
Fish,10
Pond7Fish10_FishType,purple
Pond7Fish10_FishLatency,6.666666666666667
Pond7Fish10_CatchTime,0.929
Pond7Fish10_PondTime,76.643
Pond7Fish10_PondOutcome,100
Pond7Fish10_TotalOutcome,568
Pond7Fish10_TimeLeft,534.999
Type,RT
FishN,15
Fish,11
Pond7Fish11_FishType,purple
Pond7Fish11_FishLatency,7.5
Pond7Fish11_CatchTime,0.834
Pond7Fish11_PondTime,87.594
Pond7Fish11_PondOutcome,110
Pond7Fish11_TotalOutcome,578
Pond7Fish11_TimeLeft,524.048
Type,RT
FishN,15
Fish,12
Pond7Fish12_FishType,purple
Pond7Fish12_FishLatency,8.571428571428571
Pond7Fish12_CatchTime,0.981
Pond7Fish12_PondTime,99.96
Pond7Fish12_PondOutcome,120
Pond7Fish12_TotalOutcome,588
Pond7Fish12_TimeLeft,511.682
Type,RT
FishN,15
Fish,13
Pond7Fish13_FishType,purple
Pond7Fish13_FishLatency,10
Pond7Fish13_CatchTime,0.942
Pond7Fish13_PondTime,114.343
Pond7Fish13_PondOutcome,130
Pond7Fish13_TotalOutcome,598
Pond7Fish13_TimeLeft,497.299
Type,RT
FishN,15
Fish,14
Pond7Fish14_FishType,purple
Pond7Fish14_FishLatency,12
Pond7Fish14_CatchTime,1.087
Pond7Fish14_PondTime,131.73
Pond7Fish14_PondOutcome,140
Pond7Fish14_TotalOutcome,608
Pond7Fish14_TimeLeft,479.912
Type,RT
FishN,15
Fish,15
Pond7Fish15_FishType,purple
Pond7Fish15_FishLatency,15
Pond7Fish15_CatchTime,0.804
Pond7Fish15_PondTime,154.111
Pond7Fish15_PondOutcome,150
Pond7Fish15_TotalOutcome,618
Pond7Fish15_TimeLeft,457.531
PondEnd_LastFish,15
FishN,15
Type,RT
GiveUpTime,1.847
PondTime,154.973
TimeLeft,456.164
PondOutcome,150
TotalOutcome,618
PondStart,PondStart
PondIntroTime,16.34841190651059
Type,N
FishN,16
Fish,1
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,3.5294117647058822
Pond4Fish1_CatchTime,0.926
Pond4Fish1_PondTime,8.05
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,629
Pond4Fish1_TimeLeft,431.1
Type,N
FishN,16
Fish,2
Pond4Fish2_FishType,green
Pond4Fish2_FishLatency,3.75
Pond4Fish2_CatchTime,0.814
Pond4Fish2_PondTime,14.433
Pond4Fish2_PondOutcome,22
Pond4Fish2_TotalOutcome,640
Pond4Fish2_TimeLeft,424.718
Type,N
FishN,16
Fish,3
Pond4Fish3_FishType,green
Pond4Fish3_FishLatency,4
Pond4Fish3_CatchTime,0.819
Pond4Fish3_PondTime,21.117
Pond4Fish3_PondOutcome,33
Pond4Fish3_TotalOutcome,651
Pond4Fish3_TimeLeft,418.034
Type,N
FishN,16
Fish,4
Pond4Fish4_FishType,green
Pond4Fish4_FishLatency,4.285714285714286
Pond4Fish4_CatchTime,0.827
Pond4Fish4_PondTime,28.121
Pond4Fish4_PondOutcome,44
Pond4Fish4_TotalOutcome,662
Pond4Fish4_TimeLeft,411.03
Type,N
FishN,16
Fish,5
Pond4Fish5_FishType,green
Pond4Fish5_FishLatency,4.615384615384615
Pond4Fish5_CatchTime,0.899
Pond4Fish5_PondTime,35.516
Pond4Fish5_PondOutcome,55
Pond4Fish5_TotalOutcome,673
Pond4Fish5_TimeLeft,403.634
Type,N
FishN,16
Fish,6
Pond4Fish6_FishType,green
Pond4Fish6_FishLatency,5
Pond4Fish6_CatchTime,0.727
Pond4Fish6_PondTime,43.383
Pond4Fish6_PondOutcome,66
Pond4Fish6_TotalOutcome,684
Pond4Fish6_TimeLeft,395.767
Type,N
FishN,16
Fish,7
Pond4Fish7_FishType,green
Pond4Fish7_FishLatency,5.454545454545454
Pond4Fish7_CatchTime,0.76
Pond4Fish7_PondTime,51.754
Pond4Fish7_PondOutcome,77
Pond4Fish7_TotalOutcome,695
Pond4Fish7_TimeLeft,387.396
Type,N
FishN,16
Fish,8
Pond4Fish8_FishType,green
Pond4Fish8_FishLatency,6
Pond4Fish8_CatchTime,0.998
Pond4Fish8_PondTime,60.818
Pond4Fish8_PondOutcome,88
Pond4Fish8_TotalOutcome,706
Pond4Fish8_TimeLeft,378.333
Type,N
FishN,16
Fish,9
Pond4Fish9_FishType,green
Pond4Fish9_FishLatency,6.666666666666667
Pond4Fish9_CatchTime,0.852
Pond4Fish9_PondTime,70.717
Pond4Fish9_PondOutcome,99
Pond4Fish9_TotalOutcome,717
Pond4Fish9_TimeLeft,368.434
Type,N
FishN,16
Fish,10
Pond4Fish10_FishType,green
Pond4Fish10_FishLatency,7.5
Pond4Fish10_CatchTime,1.153
Pond4Fish10_PondTime,81.703
Pond4Fish10_PondOutcome,110
Pond4Fish10_TotalOutcome,728
Pond4Fish10_TimeLeft,357.448
Type,N
FishN,16
Fish,11
Pond4Fish11_FishType,green
Pond4Fish11_FishLatency,8.571428571428571
Pond4Fish11_CatchTime,0.86
Pond4Fish11_PondTime,95.686
Pond4Fish11_PondOutcome,121
Pond4Fish11_TotalOutcome,739
Pond4Fish11_TimeLeft,343.465
Type,N
FishN,16
Fish,12
Pond4Fish12_FishType,green
Pond4Fish12_FishLatency,10
Pond4Fish12_CatchTime,1.209
Pond4Fish12_PondTime,110.047
Pond4Fish12_PondOutcome,132
Pond4Fish12_TotalOutcome,750
Pond4Fish12_TimeLeft,329.104
Type,N
FishN,16
Fish,13
Pond4Fish13_FishType,green
Pond4Fish13_FishLatency,12
Pond4Fish13_CatchTime,0.887
Pond4Fish13_PondTime,127.415
Pond4Fish13_PondOutcome,143
Pond4Fish13_TotalOutcome,761
Pond4Fish13_TimeLeft,311.736
Type,N
FishN,16
Fish,14
Pond4Fish14_FishType,green
Pond4Fish14_FishLatency,15
Pond4Fish14_CatchTime,0.936
Pond4Fish14_PondTime,151.064
Pond4Fish14_PondOutcome,154
Pond4Fish14_TotalOutcome,772
Pond4Fish14_TimeLeft,288.086
Type,N
FishN,16
Fish,15
Pond4Fish15_FishType,green
Pond4Fish15_FishLatency,20
Pond4Fish15_CatchTime,0.979
Pond4Fish15_PondTime,183.436
Pond4Fish15_PondOutcome,165
Pond4Fish15_TotalOutcome,783
Pond4Fish15_TimeLeft,255.715
PondEnd_LastFish,15
FishN,16
Type,N
GiveUpTime,2.297
PondTime,184.911
TimeLeft,253.733
PondOutcome,165
TotalOutcome,783
PondStart,PondStart
PondIntroTime,19.273968383204192
Type,RT
FishN,19
Fish,1
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,3.75
Pond3Fish1_CatchTime,1.71
Pond3Fish1_PondTime,8.379
Pond3Fish1_PondOutcome,10
Pond3Fish1_TotalOutcome,793
Pond3Fish1_TimeLeft,224.521
Type,RT
FishN,19
Fish,2
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,4
Pond3Fish2_CatchTime,0.748
Pond3Fish2_PondTime,15.031
Pond3Fish2_PondOutcome,20
Pond3Fish2_TotalOutcome,803
Pond3Fish2_TimeLeft,217.869
Type,RT
FishN,19
Fish,3
Pond3Fish3_FishType,purple
Pond3Fish3_FishLatency,4.285714285714286
Pond3Fish3_CatchTime,0.724
Pond3Fish3_PondTime,22.029
Pond3Fish3_PondOutcome,30
Pond3Fish3_TotalOutcome,813
Pond3Fish3_TimeLeft,210.87
Type,RT
FishN,19
Fish,4
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,4.615384615384615
Pond3Fish4_CatchTime,1.029
Pond3Fish4_PondTime,29.413
Pond3Fish4_PondOutcome,40
Pond3Fish4_TotalOutcome,823
Pond3Fish4_TimeLeft,203.486
Type,RT
FishN,19
Fish,5
Pond3Fish5_FishType,purple
Pond3Fish5_FishLatency,5
Pond3Fish5_CatchTime,0.683
Pond3Fish5_PondTime,37.263
Pond3Fish5_PondOutcome,50
Pond3Fish5_TotalOutcome,833
Pond3Fish5_TimeLeft,195.637
Type,RT
FishN,19
Fish,6
Pond3Fish6_FishType,purple
Pond3Fish6_FishLatency,5.454545454545454
Pond3Fish6_CatchTime,1.082
Pond3Fish6_PondTime,45.649
Pond3Fish6_PondOutcome,60
Pond3Fish6_TotalOutcome,843
Pond3Fish6_TimeLeft,187.251
Type,RT
FishN,19
Fish,7
Pond3Fish7_FishType,purple
Pond3Fish7_FishLatency,6
Pond3Fish7_CatchTime,1.04
Pond3Fish7_PondTime,54.719
Pond3Fish7_PondOutcome,70
Pond3Fish7_TotalOutcome,853
Pond3Fish7_TimeLeft,178.181
Type,RT
FishN,19
Fish,8
Pond3Fish8_FishType,purple
Pond3Fish8_FishLatency,6.666666666666667
Pond3Fish8_CatchTime,0.989
Pond3Fish8_PondTime,64.614
Pond3Fish8_PondOutcome,80
Pond3Fish8_TotalOutcome,863
Pond3Fish8_TimeLeft,168.285
Type,RT
FishN,19
Fish,9
Pond3Fish9_FishType,purple
Pond3Fish9_FishLatency,7.5
Pond3Fish9_CatchTime,2.012
Pond3Fish9_PondTime,75.645
Pond3Fish9_PondOutcome,90
Pond3Fish9_TotalOutcome,873
Pond3Fish9_TimeLeft,157.255
Type,RT
FishN,19
Fish,10
Pond3Fish10_FishType,purple
Pond3Fish10_FishLatency,8.571428571428571
Pond3Fish10_CatchTime,1.197
Pond3Fish10_PondTime,88.033
Pond3Fish10_PondOutcome,100
Pond3Fish10_TotalOutcome,883
Pond3Fish10_TimeLeft,144.867
Type,RT
FishN,19
Fish,11
Pond3Fish11_FishType,purple
Pond3Fish11_FishLatency,10
Pond3Fish11_CatchTime,1.029
Pond3Fish11_PondTime,102.399
Pond3Fish11_PondOutcome,110
Pond3Fish11_TotalOutcome,893
Pond3Fish11_TimeLeft,130.501
Type,RT
FishN,19
Fish,12
Pond3Fish12_FishType,purple
Pond3Fish12_FishLatency,12
Pond3Fish12_CatchTime,-1
Pond3Fish12_PondTime,119.827
Pond3Fish12_PondOutcome,110
Pond3Fish12_TotalOutcome,893
Pond3Fish12_TimeLeft,113.073
Type,RT
FishN,19
Fish,13
Pond3Fish13_FishType,purple
Pond3Fish13_FishLatency,15
Pond3Fish13_CatchTime,-1
Pond3Fish13_PondTime,142.294
Pond3Fish13_PondOutcome,110
Pond3Fish13_TotalOutcome,893
Pond3Fish13_TimeLeft,90.605
PondEnd_LastFish,13
FishN,19
Type,RT
GiveUpTime,56.985
PondTime,158.612
TimeLeft,73.785
PondOutcome,110
TotalOutcome,893
PondStart,PondStart
PondIntroTime,12.623276442755014
Type,RD
FishN,19
Fish,1
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,5
Pond6Fish1_CatchTime,-1
