,5dff35333f2915b958dfd601
FishN,12
Fish,3
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,4
Pond2Fish3_CatchTime,1.271
Pond2Fish3_PondTime,21.204
Pond2Fish3_PondOutcome,33
Pond2Fish3_TotalOutcome,531
Pond2Fish3_TimeLeft,552.575
Type,N
FishN,12
Fish,4
Pond2Fish4_FishType,green
Pond2Fish4_FishLatency,4.285714285714286
Pond2Fish4_CatchTime,1.842
Pond2Fish4_PondTime,28.352
Pond2Fish4_PondOutcome,44
Pond2Fish4_TotalOutcome,542
Pond2Fish4_TimeLeft,545.427
Type,N
FishN,12
Fish,5
Pond2Fish5_FishType,green
Pond2Fish5_FishLatency,4.615384615384615
Pond2Fish5_CatchTime,1.3
Pond2Fish5_PondTime,35.72
Pond2Fish5_PondOutcome,55
Pond2Fish5_TotalOutcome,553
Pond2Fish5_TimeLeft,538.059
Type,N
FishN,12
Fish,6
Pond2Fish6_FishType,green
Pond2Fish6_FishLatency,5
Pond2Fish6_CatchTime,1.282
Pond2Fish6_PondTime,43.553
Pond2Fish6_PondOutcome,66
Pond2Fish6_TotalOutcome,564
Pond2Fish6_TimeLeft,530.226
Type,N
FishN,12
Fish,7
Pond2Fish7_FishType,green
Pond2Fish7_FishLatency,5.454545454545454
Pond2Fish7_CatchTime,1.551
Pond2Fish7_PondTime,51.928
Pond2Fish7_PondOutcome,77
Pond2Fish7_TotalOutcome,575
Pond2Fish7_TimeLeft,521.851
Type,N
FishN,12
Fish,8
Pond2Fish8_FishType,green
Pond2Fish8_FishLatency,6
Pond2Fish8_CatchTime,1.698
Pond2Fish8_PondTime,60.984
Pond2Fish8_PondOutcome,88
Pond2Fish8_TotalOutcome,586
Pond2Fish8_TimeLeft,512.795
Type,N
FishN,12
Fish,9
Pond2Fish9_FishType,green
Pond2Fish9_FishLatency,6.666666666666667
Pond2Fish9_CatchTime,1.377
Pond2Fish9_PondTime,70.86
Pond2Fish9_PondOutcome,99
Pond2Fish9_TotalOutcome,597
Pond2Fish9_TimeLeft,502.919
Type,N
FishN,12
Fish,10
Pond2Fish10_FishType,green
Pond2Fish10_FishLatency,7.5
Pond2Fish10_CatchTime,1.426
Pond2Fish10_PondTime,81.812
Pond2Fish10_PondOutcome,110
Pond2Fish10_TotalOutcome,608
Pond2Fish10_TimeLeft,491.966
PondEnd_LastFish,10
FishN,12
Type,N
GiveUpTime,4.903
PondTime,86.354
TimeLeft,486.922
PondOutcome,110
TotalOutcome,608
PondStart,PondStart
PondIntroTime,14.793735526036471
Type,RT
FishN,13
Fish,1
Pond12Fish1_FishType,purple
Pond12Fish1_FishLatency,4.615384615384615
Pond12Fish1_CatchTime,1.425
Pond12Fish1_PondTime,9.31
Pond12Fish1_PondOutcome,10
Pond12Fish1_TotalOutcome,618
Pond12Fish1_TimeLeft,462.198
Type,RT
FishN,13
Fish,2
Pond12Fish2_FishType,purple
Pond12Fish2_FishLatency,5
Pond12Fish2_CatchTime,1.162
Pond12Fish2_PondTime,17.133
Pond12Fish2_PondOutcome,20
Pond12Fish2_TotalOutcome,628
Pond12Fish2_TimeLeft,454.375
Type,RT
FishN,13
Fish,3
Pond12Fish3_FishType,purple
Pond12Fish3_FishLatency,5.454545454545454
Pond12Fish3_CatchTime,1.552
Pond12Fish3_PondTime,25.532
Pond12Fish3_PondOutcome,30
Pond12Fish3_TotalOutcome,638
Pond12Fish3_TimeLeft,445.975
Type,RT
FishN,13
Fish,4
Pond12Fish4_FishType,purple
Pond12Fish4_FishLatency,6
Pond12Fish4_CatchTime,1.236
Pond12Fish4_PondTime,34.568
Pond12Fish4_PondOutcome,40
Pond12Fish4_TotalOutcome,648
Pond12Fish4_TimeLeft,436.94
Type,RT
FishN,13
Fish,5
Pond12Fish5_FishType,purple
Pond12Fish5_FishLatency,6.666666666666667
Pond12Fish5_CatchTime,0.951
Pond12Fish5_PondTime,44.451
Pond12Fish5_PondOutcome,50
Pond12Fish5_TotalOutcome,658
Pond12Fish5_TimeLeft,427.057
Type,RT
FishN,13
Fish,6
Pond12Fish6_FishType,golden
Pond12Fish6_FishLatency,7.5
Pond12Fish6_CatchTime,1.253
Pond12Fish6_PondTime,55.401
Pond12Fish6_PondOutcome,70
Pond12Fish6_TotalOutcome,678
Pond12Fish6_TimeLeft,416.107
Type,RT
FishN,13
Fish,7
Pond12Fish7_FishType,purple
Pond12Fish7_FishLatency,8.571428571428571
Pond12Fish7_CatchTime,1.155
Pond12Fish7_PondTime,67.767
Pond12Fish7_PondOutcome,80
Pond12Fish7_TotalOutcome,688
Pond12Fish7_TimeLeft,403.741
Type,RT
FishN,13
Fish,8
Pond12Fish8_FishType,purple
Pond12Fish8_FishLatency,10
Pond12Fish8_CatchTime,1.353
Pond12Fish8_PondTime,82.133
Pond12Fish8_PondOutcome,90
Pond12Fish8_TotalOutcome,698
Pond12Fish8_TimeLeft,389.375
Type,RT
FishN,13
Fish,9
Pond12Fish9_FishType,purple
Pond12Fish9_FishLatency,12
Pond12Fish9_CatchTime,1.496
Pond12Fish9_PondTime,99.513
Pond12Fish9_PondOutcome,100
Pond12Fish9_TotalOutcome,708
Pond12Fish9_TimeLeft,371.995
Type,RT
FishN,13
Fish,10
Pond12Fish10_FishType,purple
Pond12Fish10_FishLatency,15
Pond12Fish10_CatchTime,1.618
Pond12Fish10_PondTime,121.89
Pond12Fish10_PondOutcome,110
Pond12Fish10_TotalOutcome,718
Pond12Fish10_TimeLeft,349.618
Type,RT
FishN,13
Fish,11
Pond12Fish11_FishType,purple
Pond12Fish11_FishLatency,20
Pond12Fish11_CatchTime,-1
Pond12Fish11_PondTime,154.317
Pond12Fish11_PondOutcome,110
Pond12Fish11_TotalOutcome,718
Pond12Fish11_TimeLeft,317.191
PondEnd_LastFish,11
FishN,13
Type,RT
GiveUpTime,91.274
PondTime,212.989
TimeLeft,258.015
PondOutcome,110
TotalOutcome,718
PondStart,PondStart
PondIntroTime,15.816911656875163
Type,RT
FishN,12
Fish,1
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,3.3333333333333335
Pond5Fish1_CatchTime,1.186
Pond5Fish1_PondTime,7.802
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,728
Pond5Fish1_TimeLeft,233.77
Type,RT
FishN,12
Fish,2
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,3.5294117647058822
Pond5Fish2_CatchTime,-1
Pond5Fish2_PondTime,13.983
Pond5Fish2_PondOutcome,10
Pond5Fish2_TotalOutcome,728
Pond5Fish2_TimeLeft,227.589
Type,RT
FishN,12
Fish,3
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,3.75
Pond5Fish3_CatchTime,1.369
Pond5Fish3_PondTime,20.338
Pond5Fish3_PondOutcome,20
Pond5Fish3_TotalOutcome,738
Pond5Fish3_TimeLeft,221.234
Type,RT
FishN,12
Fish,4
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,4
Pond5Fish4_CatchTime,1.093
Pond5Fish4_PondTime,26.985
Pond5Fish4_PondOutcome,30
Pond5Fish4_TotalOutcome,748
Pond5Fish4_TimeLeft,214.587
Type,RT
FishN,12
Fish,5
Pond5Fish5_FishType,purple
Pond5Fish5_FishLatency,4.285714285714286
Pond5Fish5_CatchTime,1.989
Pond5Fish5_PondTime,34.265
Pond5Fish5_PondOutcome,40
Pond5Fish5_TotalOutcome,758
Pond5Fish5_TimeLeft,207.307
Type,RT
FishN,12
Fish,6
Pond5Fish6_FishType,purple
Pond5Fish6_FishLatency,4.615384615384615
Pond5Fish6_CatchTime,0.957
Pond5Fish6_PondTime,41.655
Pond5Fish6_PondOutcome,50
Pond5Fish6_TotalOutcome,768
Pond5Fish6_TimeLeft,199.917
Type,RT
FishN,12
Fish,7
Pond5Fish7_FishType,purple
Pond5Fish7_FishLatency,5
Pond5Fish7_CatchTime,1.097
Pond5Fish7_PondTime,49.483
Pond5Fish7_PondOutcome,60
Pond5Fish7_TotalOutcome,778
Pond5Fish7_TimeLeft,192.089
Type,RT
FishN,12
Fish,8
Pond5Fish8_FishType,purple
Pond5Fish8_FishLatency,5.454545454545454
Pond5Fish8_CatchTime,1.216
Pond5Fish8_PondTime,57.853
Pond5Fish8_PondOutcome,70
Pond5Fish8_TotalOutcome,788
Pond5Fish8_TimeLeft,183.719
Type,RT
FishN,12
Fish,9
Pond5Fish9_FishType,purple
Pond5Fish9_FishLatency,6
Pond5Fish9_CatchTime,1.094
Pond5Fish9_PondTime,66.886
Pond5Fish9_PondOutcome,80
Pond5Fish9_TotalOutcome,798
Pond5Fish9_TimeLeft,174.686
Type,RT
FishN,12
Fish,10
Pond5Fish10_FishType,purple
Pond5Fish10_FishLatency,6.666666666666667
