,5c58039de9813700018aef07
Pond7Fish6_TotalOutcome,459
Pond7Fish6_TimeLeft,753.138
Type,RD
FishN,15
Fish,7
Pond7Fish7_FishType,blue
Pond7Fish7_FishLatency,4.615384615384615
Pond7Fish7_CatchTime,1.536
Pond7Fish7_PondTime,46.985
Pond7Fish7_PondOutcome,84
Pond7Fish7_TotalOutcome,471
Pond7Fish7_TimeLeft,745.772
Type,RD
FishN,15
Fish,8
Pond7Fish8_FishType,blue
Pond7Fish8_FishLatency,5
Pond7Fish8_CatchTime,1.19
Pond7Fish8_PondTime,54.802
Pond7Fish8_PondOutcome,96
Pond7Fish8_TotalOutcome,483
Pond7Fish8_TimeLeft,737.955
Type,RD
FishN,15
Fish,9
Pond7Fish9_FishType,blue
Pond7Fish9_FishLatency,5.454545454545454
Pond7Fish9_CatchTime,0.624
Pond7Fish9_PondTime,63.169
Pond7Fish9_PondOutcome,108
Pond7Fish9_TotalOutcome,495
Pond7Fish9_TimeLeft,729.588
Type,RD
FishN,15
Fish,10
Pond7Fish10_FishType,blue
Pond7Fish10_FishLatency,6
Pond7Fish10_CatchTime,1.128
Pond7Fish10_PondTime,72.2
Pond7Fish10_PondOutcome,120
Pond7Fish10_TotalOutcome,507
Pond7Fish10_TimeLeft,720.557
Type,RD
FishN,15
Fish,11
Pond7Fish11_FishType,blue
Pond7Fish11_FishLatency,6.666666666666667
Pond7Fish11_CatchTime,1.077
Pond7Fish11_PondTime,82.067
Pond7Fish11_PondOutcome,132
Pond7Fish11_TotalOutcome,519
Pond7Fish11_TimeLeft,710.69
PondEnd_LastFish,11
FishN,15
Type,RD
GiveUpTime,1.628
PondTime,82.977
TimeLeft,709.278
PondOutcome,132
TotalOutcome,519
PondStart,PondStart
PondIntroTime,18.073406394105405
Type,RD
FishN,19
Fish,1
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,4.285714285714286
Pond3Fish1_CatchTime,1.333
Pond3Fish1_PondTime,8.884
Pond3Fish1_PondOutcome,12
Pond3Fish1_TotalOutcome,531
Pond3Fish1_TimeLeft,681.705
Type,RD
FishN,19
Fish,2
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,4.615384615384615
Pond3Fish2_CatchTime,1.254
Pond3Fish2_PondTime,16.25
Pond3Fish2_PondOutcome,24
Pond3Fish2_TotalOutcome,543
Pond3Fish2_TimeLeft,674.339
Type,RD
FishN,19
Fish,3
Pond3Fish3_FishType,gray
Pond3Fish3_FishLatency,5
Pond3Fish3_CatchTime,1.445
Pond3Fish3_PondTime,24.082
Pond3Fish3_PondOutcome,26
Pond3Fish3_TotalOutcome,545
Pond3Fish3_TimeLeft,666.507
Type,RD
FishN,19
Fish,4
Pond3Fish4_FishType,blue
Pond3Fish4_FishLatency,5.454545454545454
Pond3Fish4_CatchTime,0.942
Pond3Fish4_PondTime,32.451
Pond3Fish4_PondOutcome,38
Pond3Fish4_TotalOutcome,557
Pond3Fish4_TimeLeft,658.138
Type,RD
FishN,19
Fish,5
Pond3Fish5_FishType,blue
