,5d494d958e0dc5001a99a392
Pond3Fish2_FishLatency,4.615384615384615
Pond3Fish2_CatchTime,1.196
Pond3Fish2_PondTime,16.252
Pond3Fish2_PondOutcome,20
Pond3Fish2_TotalOutcome,444
Pond3Fish2_TimeLeft,802.76
Type,RT
FishN,19
Fish,3
Pond3Fish3_FishType,purple
Pond3Fish3_FishLatency,5
Pond3Fish3_CatchTime,1.339
Pond3Fish3_PondTime,24.078
Pond3Fish3_PondOutcome,30
Pond3Fish3_TotalOutcome,454
Pond3Fish3_TimeLeft,794.934
Type,RT
FishN,19
Fish,4
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,5.454545454545454
Pond3Fish4_CatchTime,0.993
Pond3Fish4_PondTime,32.439
Pond3Fish4_PondOutcome,40
Pond3Fish4_TotalOutcome,464
Pond3Fish4_TimeLeft,786.573
Type,RT
FishN,19
Fish,5
Pond3Fish5_FishType,purple
Pond3Fish5_FishLatency,6
Pond3Fish5_CatchTime,0.842
Pond3Fish5_PondTime,41.469
Pond3Fish5_PondOutcome,50
Pond3Fish5_TotalOutcome,474
Pond3Fish5_TimeLeft,777.543
Type,RT
FishN,19
Fish,6
Pond3Fish6_FishType,purple
Pond3Fish6_FishLatency,6.666666666666667
Pond3Fish6_CatchTime,1.24
Pond3Fish6_PondTime,51.336
Pond3Fish6_PondOutcome,60
Pond3Fish6_TotalOutcome,484
Pond3Fish6_TimeLeft,767.676
Type,RT
FishN,19
Fish,7
Pond3Fish7_FishType,purple
Pond3Fish7_FishLatency,7.5
Pond3Fish7_CatchTime,1.058
Pond3Fish7_PondTime,62.268
Pond3Fish7_PondOutcome,70
Pond3Fish7_TotalOutcome,494
Pond3Fish7_TimeLeft,756.743
Type,RT
FishN,19
Fish,8
Pond3Fish8_FishType,purple
Pond3Fish8_FishLatency,8.571428571428571
Pond3Fish8_CatchTime,1.08
Pond3Fish8_PondTime,74.627
Pond3Fish8_PondOutcome,80
Pond3Fish8_TotalOutcome,504
Pond3Fish8_TimeLeft,744.385
PondEnd_LastFish,8
FishN,19
Type,RT
GiveUpTime,0.733
PondTime,74.652
TimeLeft,743.855
PondOutcome,80
TotalOutcome,504
PondStart,PondStart
PondIntroTime,10.723286510910839
Type,RT
FishN,13
Fish,1
Pond12Fish1_FishType,purple
Pond12Fish1_FishLatency,3.1578947368421053
Pond12Fish1_CatchTime,1.268
Pond12Fish1_PondTime,7.62
Pond12Fish1_PondOutcome,10
Pond12Fish1_TotalOutcome,514
Pond12Fish1_TimeLeft,724.891
Type,RT
FishN,13
Fish,2
Pond12Fish2_FishType,purple
Pond12Fish2_FishLatency,3.3333333333333335
Pond12Fish2_CatchTime,1.176
Pond12Fish2_PondTime,13.519
Pond12Fish2_PondOutcome,20
Pond12Fish2_TotalOutcome,524
Pond12Fish2_TimeLeft,718.992
Type,RT
FishN,13
Fish,3
Pond12Fish3_FishType,purple
Pond12Fish3_FishLatency,3.5294117647058822
Pond12Fish3_CatchTime,0.927
Pond12Fish3_PondTime,19.635
Pond12Fish3_PondOutcome,30
Pond12Fish3_TotalOutcome,534
Pond12Fish3_TimeLeft,712.876
Type,RT
FishN,13
Fish,4
Pond12Fish4_FishType,purple
Pond12Fish4_FishLatency,3.75
Pond12Fish4_CatchTime,0.905
Pond12Fish4_PondTime,25.993
Pond12Fish4_PondOutcome,40
Pond12Fish4_TotalOutcome,544
Pond12Fish4_TimeLeft,706.518
Type,RT
FishN,13
Fish,5
Pond12Fish5_FishType,purple
Pond12Fish5_FishLatency,4
Pond12Fish5_CatchTime,1.039
Pond12Fish5_PondTime,32.651
Pond12Fish5_PondOutcome,50
Pond12Fish5_TotalOutcome,554
Pond12Fish5_TimeLeft,699.86
Type,RT
FishN,13
Fish,6
Pond12Fish6_FishType,purple
Pond12Fish6_FishLatency,4.285714285714286
Pond12Fish6_CatchTime,0.952
Pond12Fish6_PondTime,39.636
Pond12Fish6_PondOutcome,60
Pond12Fish6_TotalOutcome,564
Pond12Fish6_TimeLeft,692.875
Type,RT
FishN,13
Fish,7
Pond12Fish7_FishType,purple
Pond12Fish7_FishLatency,4.615384615384615
Pond12Fish7_CatchTime,1.236
Pond12Fish7_PondTime,47.005
Pond12Fish7_PondOutcome,70
Pond12Fish7_TotalOutcome,574
Pond12Fish7_TimeLeft,685.505
Type,RT
FishN,13
Fish,8
Pond12Fish8_FishType,purple
Pond12Fish8_FishLatency,5
Pond12Fish8_CatchTime,1.06
Pond12Fish8_PondTime,54.824
Pond12Fish8_PondOutcome,80
Pond12Fish8_TotalOutcome,584
Pond12Fish8_TimeLeft,677.687
Type,RT
FishN,13
Fish,9
Pond12Fish9_FishType,purple
Pond12Fish9_FishLatency,5.454545454545454
Pond12Fish9_CatchTime,1.162
Pond12Fish9_PondTime,63.188
Pond12Fish9_PondOutcome,90
Pond12Fish9_TotalOutcome,594
Pond12Fish9_TimeLeft,669.323
PondEnd_LastFish,9
FishN,13
Type,RT
GiveUpTime,0.646
PondTime,63.197
TimeLeft,668.812
PondOutcome,90
TotalOutcome,594
PondStart,PondStart
PondIntroTime,17.65138821443543
Type,RT
FishN,16
Fish,1
Pond4Fish1_FishType,purple
