,56ab570169b247000d5cb3a5
Pond2Fish9_PondTime,115.028
Pond2Fish9_PondOutcome,86
Pond2Fish9_TotalOutcome,610
Pond2Fish9_TimeLeft,330.785
PondEnd_LastFish,9
FishN,12
Type,RD
GiveUpTime,31.011
PondTime,145.228
TimeLeft,300.08
PondOutcome,86
TotalOutcome,610
PondStart,PondStart
PondIntroTime,10.21331945201382
Type,RD
FishN,13
Fish,1
Pond12Fish1_FishType,blue
Pond12Fish1_FishLatency,3.3333333333333335
Pond12Fish1_CatchTime,1.274
Pond12Fish1_PondTime,7.83
Pond12Fish1_PondOutcome,12
Pond12Fish1_TotalOutcome,622
Pond12Fish1_TimeLeft,281.407
Type,RD
FishN,13
Fish,2
Pond12Fish2_FishType,blue
Pond12Fish2_FishLatency,3.5294117647058822
Pond12Fish2_CatchTime,0.934
Pond12Fish2_PondTime,13.987
Pond12Fish2_PondOutcome,24
Pond12Fish2_TotalOutcome,634
Pond12Fish2_TimeLeft,275.251
Type,RD
FishN,13
Fish,3
Pond12Fish3_FishType,blue
Pond12Fish3_FishLatency,3.75
Pond12Fish3_CatchTime,1.223
Pond12Fish3_PondTime,20.395
Pond12Fish3_PondOutcome,36
Pond12Fish3_TotalOutcome,646
Pond12Fish3_TimeLeft,268.843
Type,RD
FishN,13
Fish,4
Pond12Fish4_FishType,blue
Pond12Fish4_FishLatency,4
Pond12Fish4_CatchTime,0.921
Pond12Fish4_PondTime,27.131
Pond12Fish4_PondOutcome,48
Pond12Fish4_TotalOutcome,658
Pond12Fish4_TimeLeft,262.107
Type,RD
FishN,13
Fish,5
Pond12Fish5_FishType,blue
Pond12Fish5_FishLatency,4.285714285714286
Pond12Fish5_CatchTime,1.184
Pond12Fish5_PondTime,34.155
Pond12Fish5_PondOutcome,60
Pond12Fish5_TotalOutcome,670
Pond12Fish5_TimeLeft,255.083
Type,RD
FishN,13
Fish,6
Pond12Fish6_FishType,gray
Pond12Fish6_FishLatency,4.615384615384615
Pond12Fish6_CatchTime,1.178
Pond12Fish6_PondTime,41.582
Pond12Fish6_PondOutcome,62
Pond12Fish6_TotalOutcome,672
Pond12Fish6_TimeLeft,247.656
Type,RD
FishN,13
Fish,7
Pond12Fish7_FishType,blue
Pond12Fish7_FishLatency,5
Pond12Fish7_CatchTime,0.929
Pond12Fish7_PondTime,49.392
Pond12Fish7_PondOutcome,74
Pond12Fish7_TotalOutcome,684
Pond12Fish7_TimeLeft,239.846
Type,RD
FishN,13
Fish,8
Pond12Fish8_FishType,gray
Pond12Fish8_FishLatency,5.454545454545454
Pond12Fish8_CatchTime,1.23
Pond12Fish8_PondTime,57.761
Pond12Fish8_PondOutcome,76
Pond12Fish8_TotalOutcome,686
Pond12Fish8_TimeLeft,231.477
Type,RD
FishN,13
Fish,9
Pond12Fish9_FishType,blue
Pond12Fish9_FishLatency,6
Pond12Fish9_CatchTime,0.981
Pond12Fish9_PondTime,66.792
Pond12Fish9_PondOutcome,88
Pond12Fish9_TotalOutcome,698
Pond12Fish9_TimeLeft,222.445
Type,RD
FishN,13
Fish,10
Pond12Fish10_FishType,blue
Pond12Fish10_FishLatency,6.666666666666667
Pond12Fish10_CatchTime,1.28
Pond12Fish10_PondTime,76.66
Pond12Fish10_PondOutcome,100
Pond12Fish10_TotalOutcome,710
Pond12Fish10_TimeLeft,212.578
Type,RD
FishN,13
Fish,11
Pond12Fish11_FishType,blue
Pond12Fish11_FishLatency,7.5
Pond12Fish11_CatchTime,1.129
Pond12Fish11_PondTime,87.6
Pond12Fish11_PondOutcome,112
Pond12Fish11_TotalOutcome,722
Pond12Fish11_TimeLeft,201.638
Type,RD
FishN,13
Fish,12
Pond12Fish12_FishType,gray
Pond12Fish12_FishLatency,8.571428571428571
Pond12Fish12_CatchTime,1.123
Pond12Fish12_PondTime,99.969
Pond12Fish12_PondOutcome,114
Pond12Fish12_TotalOutcome,724
Pond12Fish12_TimeLeft,189.269
Type,RD
FishN,13
Fish,13
Pond12Fish13_FishType,gray
Pond12Fish13_FishLatency,10
Pond12Fish13_CatchTime,1.105
Pond12Fish13_PondTime,114.349
Pond12Fish13_PondOutcome,116
Pond12Fish13_TotalOutcome,726
Pond12Fish13_TimeLeft,174.889
Type,RD
FishN,13
Fish,14
Pond12Fish14_FishType,blue
Pond12Fish14_FishLatency,12
Pond12Fish14_CatchTime,1.057
Pond12Fish14_PondTime,131.712
Pond12Fish14_PondOutcome,128
Pond12Fish14_TotalOutcome,738
Pond12Fish14_TimeLeft,157.526
Type,RD
FishN,13
Fish,15
Pond12Fish15_FishType,blue
