, 5de6e9a748241d67583acb96
Pond5Fish10_FishLatency,15
Pond5Fish10_CatchTime,1.7
Pond5Fish10_PondTime,122.161
Pond5Fish10_PondOutcome,110
Pond5Fish10_TotalOutcome,592
Pond5Fish10_TimeLeft,327.111
Type,N
FishN,12
Fish,11
Pond5Fish11_FishType,green
Pond5Fish11_FishLatency,20
Pond5Fish11_CatchTime,1.954
Pond5Fish11_PondTime,154.815
Pond5Fish11_PondOutcome,121
Pond5Fish11_TotalOutcome,603
Pond5Fish11_TimeLeft,294.457
PondEnd_LastFish,11
FishN,12
Type,N
GiveUpTime,50.527
PondTime,205.229
TimeLeft,243.531
PondOutcome,121
TotalOutcome,603
PondStart,PondStart
PondIntroTime,13.951166898477823
Type,RD
FishN,14
Fish,1
Pond11Fish1_FishType,gray
Pond11Fish1_FishLatency,4.615384615384615
Pond11Fish1_CatchTime,1.654
Pond11Fish1_PondTime,9.335
Pond11Fish1_PondOutcome,2
Pond11Fish1_TotalOutcome,605
Pond11Fish1_TimeLeft,219.617
Type,RD
FishN,14
Fish,2
Pond11Fish2_FishType,blue
Pond11Fish2_FishLatency,5
Pond11Fish2_CatchTime,1.574
Pond11Fish2_PondTime,17.179
Pond11Fish2_PondOutcome,14
Pond11Fish2_TotalOutcome,617
Pond11Fish2_TimeLeft,211.772
Type,RD
FishN,14
Fish,3
Pond11Fish3_FishType,gray
Pond11Fish3_FishLatency,5.454545454545454
Pond11Fish3_CatchTime,1.561
Pond11Fish3_PondTime,25.56
Pond11Fish3_PondOutcome,16
Pond11Fish3_TotalOutcome,619
Pond11Fish3_TimeLeft,203.392
Type,RD
FishN,14
Fish,4
Pond11Fish4_FishType,blue
Pond11Fish4_FishLatency,6
Pond11Fish4_CatchTime,1.183
Pond11Fish4_PondTime,34.619
Pond11Fish4_PondOutcome,28
Pond11Fish4_TotalOutcome,631
Pond11Fish4_TimeLeft,194.333
Type,RD
FishN,14
Fish,5
Pond11Fish5_FishType,blue
Pond11Fish5_FishLatency,6.666666666666667
Pond11Fish5_CatchTime,1.483
Pond11Fish5_PondTime,44.514
Pond11Fish5_PondOutcome,40
Pond11Fish5_TotalOutcome,643
Pond11Fish5_TimeLeft,184.438
Type,RD
FishN,14
Fish,6
Pond11Fish6_FishType,blue
Pond11Fish6_FishLatency,7.5
Pond11Fish6_CatchTime,1.566
Pond11Fish6_PondTime,55.457
Pond11Fish6_PondOutcome,52
Pond11Fish6_TotalOutcome,655
Pond11Fish6_TimeLeft,173.494
Type,RD
FishN,14
Fish,7
Pond11Fish7_FishType,gray
Pond11Fish7_FishLatency,8.571428571428571
Pond11Fish7_CatchTime,1.479
Pond11Fish7_PondTime,67.864
Pond11Fish7_PondOutcome,54
Pond11Fish7_TotalOutcome,657
Pond11Fish7_TimeLeft,161.088
Type,RD
FishN,14
Fish,8
