,5d4855cf4574f300013a7945
Type,N
FishN,15
Fish,7
Pond7Fish7_FishType,green
Pond7Fish7_FishLatency,6.666666666666667
Pond7Fish7_CatchTime,1.564
Pond7Fish7_PondTime,58.102
Pond7Fish7_PondOutcome,77
Pond7Fish7_TotalOutcome,479
Pond7Fish7_TimeLeft,559.31
Type,N
FishN,15
Fish,8
Pond7Fish8_FishType,green
Pond7Fish8_FishLatency,7.5
Pond7Fish8_CatchTime,1.153
Pond7Fish8_PondTime,69.05
Pond7Fish8_PondOutcome,88
Pond7Fish8_TotalOutcome,490
Pond7Fish8_TimeLeft,548.362
Type,N
FishN,15
Fish,9
Pond7Fish9_FishType,green
Pond7Fish9_FishLatency,8.571428571428571
Pond7Fish9_CatchTime,1.043
Pond7Fish9_PondTime,81.415
Pond7Fish9_PondOutcome,99
Pond7Fish9_TotalOutcome,501
Pond7Fish9_TimeLeft,535.996
Type,N
FishN,15
Fish,10
Pond7Fish10_FishType,green
Pond7Fish10_FishLatency,10
Pond7Fish10_CatchTime,1.152
Pond7Fish10_PondTime,95.864
Pond7Fish10_PondOutcome,110
Pond7Fish10_TotalOutcome,512
Pond7Fish10_TimeLeft,521.548
Type,N
FishN,15
Fish,11
Pond7Fish11_FishType,green
Pond7Fish11_FishLatency,12
Pond7Fish11_CatchTime,0.851
Pond7Fish11_PondTime,113.238
Pond7Fish11_PondOutcome,121
Pond7Fish11_TotalOutcome,523
Pond7Fish11_TimeLeft,504.174
Type,N
FishN,15
Fish,12
Pond7Fish12_FishType,green
Pond7Fish12_FishLatency,15
Pond7Fish12_CatchTime,0.99
Pond7Fish12_PondTime,135.613
Pond7Fish12_PondOutcome,132
Pond7Fish12_TotalOutcome,534
Pond7Fish12_TimeLeft,481.798
PondEnd_LastFish,12
FishN,15
Type,N
GiveUpTime,18.098
PondTime,152.906
TimeLeft,463.999
PondOutcome,132
TotalOutcome,534
PondStart,PondStart
PondIntroTime,18.263732956256717
Type,RT
FishN,12
Fish,1
Pond5Fish1_FishType,golden
Pond5Fish1_FishLatency,5
Pond5Fish1_CatchTime,0.921
Pond5Fish1_PondTime,9.737
Pond5Fish1_PondOutcome,20
Pond5Fish1_TotalOutcome,554
Pond5Fish1_TimeLeft,435.317
Type,RT
FishN,12
Fish,2
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,5.454545454545454
Pond5Fish2_CatchTime,1.032
Pond5Fish2_PondTime,18.125
Pond5Fish2_PondOutcome,30
Pond5Fish2_TotalOutcome,564
Pond5Fish2_TimeLeft,426.93
Type,RT
FishN,12
Fish,3
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,6
Pond5Fish3_CatchTime,0.927
Pond5Fish3_PondTime,27.157
Pond5Fish3_PondOutcome,40
Pond5Fish3_TotalOutcome,574
Pond5Fish3_TimeLeft,417.898
Type,RT
FishN,12
Fish,4
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,6.666666666666667
Pond5Fish4_CatchTime,1.289
Pond5Fish4_PondTime,37.026
Pond5Fish4_PondOutcome,50
Pond5Fish4_TotalOutcome,584
Pond5Fish4_TimeLeft,408.029
Type,RT
FishN,12
Fish,5
Pond5Fish5_FishType,purple
Pond5Fish5_FishLatency,7.5
Pond5Fish5_CatchTime,1.514
Pond5Fish5_PondTime,47.969
Pond5Fish5_PondOutcome,60
Pond5Fish5_TotalOutcome,594
Pond5Fish5_TimeLeft,397.086
Type,RT
FishN,12
Fish,6
Pond5Fish6_FishType,purple
Pond5Fish6_FishLatency,8.571428571428571
Pond5Fish6_CatchTime,1.429
Pond5Fish6_PondTime,60.353
Pond5Fish6_PondOutcome,70
Pond5Fish6_TotalOutcome,604
Pond5Fish6_TimeLeft,384.701
Type,RT
FishN,12
Fish,7
Pond5Fish7_FishType,purple
Pond5Fish7_FishLatency,10
Pond5Fish7_CatchTime,1.765
Pond5Fish7_PondTime,74.795
Pond5Fish7_PondOutcome,80
Pond5Fish7_TotalOutcome,614
Pond5Fish7_TimeLeft,370.26
Type,RT
FishN,12
Fish,8
Pond5Fish8_FishType,purple
Pond5Fish8_FishLatency,12
Pond5Fish8_CatchTime,0.995
Pond5Fish8_PondTime,92.193
Pond5Fish8_PondOutcome,90
Pond5Fish8_TotalOutcome,624
Pond5Fish8_TimeLeft,352.862
Type,RT
FishN,12
Fish,9
Pond5Fish9_FishType,purple
Pond5Fish9_FishLatency,15
Pond5Fish9_CatchTime,1.008
Pond5Fish9_PondTime,114.557
Pond5Fish9_PondOutcome,100
Pond5Fish9_TotalOutcome,634
Pond5Fish9_TimeLeft,330.498
PondEnd_LastFish,9
FishN,12
Type,RT
GiveUpTime,26.357
PondTime,140.124
TimeLeft,304.39
PondOutcome,100
TotalOutcome,634
PondStart,PondStart
PondIntroTime,16.890146529767662
Type,RT
FishN,16
Fish,1
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,3.5294117647058822
Pond4Fish1_CatchTime,0.972
Pond4Fish1_PondTime,9.042
Pond4Fish1_PondOutcome,10
Pond4Fish1_TotalOutcome,644
Pond4Fish1_TimeLeft,276.613
Type,RT
FishN,16
Fish,2
Pond4Fish2_FishType,purple
Pond4Fish2_FishLatency,3.75
Pond4Fish2_CatchTime,0.921
Pond4Fish2_PondTime,15.453
