,59c0de1c754a19000111c362
FishN,19
Fish,8
Pond10Fish8_FishType,green
Pond10Fish8_FishLatency,5
Pond10Fish8_CatchTime,0.884
Pond10Fish8_PondTime,54.983
Pond10Fish8_PondOutcome,88
Pond10Fish8_TotalOutcome,408
Pond10Fish8_TimeLeft,691.563
Type,N
FishN,19
Fish,9
Pond10Fish9_FishType,green
Pond10Fish9_FishLatency,5.454545454545454
Pond10Fish9_CatchTime,0.975
Pond10Fish9_PondTime,63.36
Pond10Fish9_PondOutcome,99
Pond10Fish9_TotalOutcome,419
Pond10Fish9_TimeLeft,683.186
Type,N
FishN,19
Fish,10
Pond10Fish10_FishType,green
Pond10Fish10_FishLatency,6
Pond10Fish10_CatchTime,1.005
Pond10Fish10_PondTime,72.406
Pond10Fish10_PondOutcome,110
Pond10Fish10_TotalOutcome,430
Pond10Fish10_TimeLeft,674.14
Type,N
FishN,19
Fish,11
Pond10Fish11_FishType,green
Pond10Fish11_FishLatency,6.666666666666667
Pond10Fish11_CatchTime,0.994
Pond10Fish11_PondTime,82.295
Pond10Fish11_PondOutcome,121
Pond10Fish11_TotalOutcome,441
Pond10Fish11_TimeLeft,664.251
Type,N
FishN,19
Fish,12
Pond10Fish12_FishType,green
Pond10Fish12_FishLatency,7.5
Pond10Fish12_CatchTime,0.869
Pond10Fish12_PondTime,93.254
Pond10Fish12_PondOutcome,132
Pond10Fish12_TotalOutcome,452
Pond10Fish12_TimeLeft,653.291
Type,N
FishN,19
Fish,13
Pond10Fish13_FishType,green
Pond10Fish13_FishLatency,8.571428571428571
Pond10Fish13_CatchTime,1.049
Pond10Fish13_PondTime,105.616
Pond10Fish13_PondOutcome,143
Pond10Fish13_TotalOutcome,463
Pond10Fish13_TimeLeft,640.929
Type,N
FishN,19
Fish,14
Pond10Fish14_FishType,green
Pond10Fish14_FishLatency,10
Pond10Fish14_CatchTime,0.926
Pond10Fish14_PondTime,119.988
Pond10Fish14_PondOutcome,154
Pond10Fish14_TotalOutcome,474
Pond10Fish14_TimeLeft,626.558
Type,N
FishN,19
Fish,15
Pond10Fish15_FishType,green
Pond10Fish15_FishLatency,12
Pond10Fish15_CatchTime,1.017
Pond10Fish15_PondTime,137.372
Pond10Fish15_PondOutcome,165
Pond10Fish15_TotalOutcome,485
Pond10Fish15_TimeLeft,609.174
Type,N
FishN,19
Fish,16
Pond10Fish16_FishType,green
Pond10Fish16_FishLatency,15
Pond10Fish16_CatchTime,0.818
Pond10Fish16_PondTime,159.733
Pond10Fish16_PondOutcome,176
Pond10Fish16_TotalOutcome,496
Pond10Fish16_TimeLeft,586.813
PondEnd_LastFish,16
FishN,19
Type,N
GiveUpTime,1.513
PondTime,160.275
TimeLeft,585.758
PondOutcome,176
TotalOutcome,496
PondStart,PondStart
PondIntroTime,17.765621719881892
Type,RD
FishN,12
Fish,1
Pond2Fish1_FishType,gray
Pond2Fish1_FishLatency,3.75
Pond2Fish1_CatchTime,0.929
Pond2Fish1_PondTime,8.283
Pond2Fish1_PondOutcome,2
Pond2Fish1_TotalOutcome,498
Pond2Fish1_TimeLeft,559.073
Type,RD
FishN,12
Fish,2
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,4
Pond2Fish2_CatchTime,0.851
Pond2Fish2_PondTime,14.936
Pond2Fish2_PondOutcome,14
Pond2Fish2_TotalOutcome,510
Pond2Fish2_TimeLeft,552.42
Type,RD
FishN,12
Fish,3
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,4.285714285714286
Pond2Fish3_CatchTime,0.768
Pond2Fish3_PondTime,21.93
Pond2Fish3_PondOutcome,26
Pond2Fish3_TotalOutcome,522
Pond2Fish3_TimeLeft,545.426
Type,RD
FishN,12
Fish,4
Pond2Fish4_FishType,gray
Pond2Fish4_FishLatency,4.615384615384615
Pond2Fish4_CatchTime,1
Pond2Fish4_PondTime,29.302
Pond2Fish4_PondOutcome,28
Pond2Fish4_TotalOutcome,524
Pond2Fish4_TimeLeft,538.054
Type,RD
FishN,12
Fish,5
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,5
Pond2Fish5_CatchTime,0.925
Pond2Fish5_PondTime,37.129
Pond2Fish5_PondOutcome,40
Pond2Fish5_TotalOutcome,536
Pond2Fish5_TimeLeft,530.227
Type,RD
FishN,12
Fish,6
Pond2Fish6_FishType,blue
Pond2Fish6_FishLatency,5.454545454545454
Pond2Fish6_CatchTime,0.733
Pond2Fish6_PondTime,45.507
Pond2Fish6_PondOutcome,52
Pond2Fish6_TotalOutcome,548
Pond2Fish6_TimeLeft,521.848
Type,RD
FishN,12
Fish,7
Pond2Fish7_FishType,blue
Pond2Fish7_FishLatency,6
Pond2Fish7_CatchTime,0.929
Pond2Fish7_PondTime,54.541
Pond2Fish7_PondOutcome,64
Pond2Fish7_TotalOutcome,560
Pond2Fish7_TimeLeft,512.815
Type,RD
FishN,12
Fish,8
Pond2Fish8_FishType,blue
Pond2Fish8_FishLatency,6.666666666666667
Pond2Fish8_CatchTime,0.904
Pond2Fish8_PondTime,64.432
Pond2Fish8_PondOutcome,76
Pond2Fish8_TotalOutcome,572
Pond2Fish8_TimeLeft,502.924
Type,RD
FishN,12
Fish,9
Pond2Fish9_FishType,blue
Pond2Fish9_FishLatency,7.5
Pond2Fish9_CatchTime,0.859
Pond2Fish9_PondTime,75.376
Pond2Fish9_PondOutcome,88
Pond2Fish9_TotalOutcome,584
Pond2Fish9_TimeLeft,491.979
Type,RD
FishN,12
Fish,10
Pond2Fish10_FishType,blue
Pond2Fish10_FishLatency,8.571428571428571
Pond2Fish10_CatchTime,0.961
Pond2Fish10_PondTime,87.772
Pond2Fish10_PondOutcome,100
Pond2Fish10_TotalOutcome,596
Pond2Fish10_TimeLeft,479.583
Type,RD
FishN,12
Fish,11
Pond2Fish11_FishType,blue
Pond2Fish11_FishLatency,10
Pond2Fish11_CatchTime,1.035
Pond2Fish11_PondTime,102.16
Pond2Fish11_PondOutcome,112
Pond2Fish11_TotalOutcome,608
Pond2Fish11_TimeLeft,465.196
Type,RD
FishN,12
Fish,12
Pond2Fish12_FishType,blue
Pond2Fish12_FishLatency,12
Pond2Fish12_CatchTime,1.6
Pond2Fish12_PondTime,119.588
Pond2Fish12_PondOutcome,124
Pond2Fish12_TotalOutcome,620
Pond2Fish12_TimeLeft,447.768
Type,RD
FishN,12
Fish,13
Pond2Fish13_FishType,blue
Pond2Fish13_FishLatency,15
Pond2Fish13_CatchTime,0.727
