,5dfe838ea7fba6b19132f859
Pond12Fish6_PondOutcome,72
Pond12Fish6_TotalOutcome,761
Pond12Fish6_TimeLeft,335.975
Type,RD
FishN,13
Fish,7
Pond12Fish7_FishType,blue
Pond12Fish7_FishLatency,10
Pond12Fish7_CatchTime,0.871
Pond12Fish7_PondTime,74.667
Pond12Fish7_PondOutcome,84
Pond12Fish7_TotalOutcome,773
Pond12Fish7_TimeLeft,321.607
PondEnd_LastFish,7
FishN,13
Type,RD
GiveUpTime,0.731
PondTime,91.728
TimeLeft,304.04
PondOutcome,84
TotalOutcome,773
PondStart,PondStart
PondIntroTime,19.58143414929509
Type,RD
FishN,16
Fish,1
Pond9Fish1_FishType,blue
Pond9Fish1_FishLatency,4
Pond9Fish1_CatchTime,0.869
Pond9Fish1_PondTime,8.568
Pond9Fish1_PondOutcome,12
Pond9Fish1_TotalOutcome,785
Pond9Fish1_TimeLeft,275.24
Type,RD
FishN,16
Fish,2
Pond9Fish2_FishType,blue
Pond9Fish2_FishLatency,4.285714285714286
Pond9Fish2_CatchTime,1.098
Pond9Fish2_PondTime,15.549
Pond9Fish2_PondOutcome,24
Pond9Fish2_TotalOutcome,797
Pond9Fish2_TimeLeft,268.259
Type,RD
FishN,16
Fish,3
Pond9Fish3_FishType,blue
Pond9Fish3_FishLatency,4.615384615384615
Pond9Fish3_CatchTime,0.969
Pond9Fish3_PondTime,22.916
Pond9Fish3_PondOutcome,36
Pond9Fish3_TotalOutcome,809
Pond9Fish3_TimeLeft,260.891
Type,RD
FishN,16
Fish,4
Pond9Fish4_FishType,blue
Pond9Fish4_FishLatency,5
Pond9Fish4_CatchTime,0.943
Pond9Fish4_PondTime,30.735
Pond9Fish4_PondOutcome,48
Pond9Fish4_TotalOutcome,821
Pond9Fish4_TimeLeft,253.073
Type,RD
FishN,16
Fish,5
Pond9Fish5_FishType,blue
Pond9Fish5_FishLatency,5.454545454545454
Pond9Fish5_CatchTime,0.961
Pond9Fish5_PondTime,39.101
Pond9Fish5_PondOutcome,60
Pond9Fish5_TotalOutcome,833
Pond9Fish5_TimeLeft,244.706
Type,RD
FishN,16
Fish,6
Pond9Fish6_FishType,gray
Pond9Fish6_FishLatency,6
Pond9Fish6_CatchTime,1.017
Pond9Fish6_PondTime,48.133
Pond9Fish6_PondOutcome,62
Pond9Fish6_TotalOutcome,835
Pond9Fish6_TimeLeft,235.674
PondEnd_LastFish,6
FishN,16
Type,RD
GiveUpTime,1.968
PondTime,49.331
TimeLeft,233.968
PondOutcome,62
TotalOutcome,835
PondStart,PondStart
PondIntroTime,19.185299519449472
Type,N
FishN,14
Fish,1
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,3.75
Pond11Fish1_CatchTime,0.97
Pond11Fish1_PondTime,8.264
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,846
Pond11Fish1_TimeLeft,205.876
Type,N
FishN,14
Fish,2
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,4
Pond11Fish2_CatchTime,1.033
Pond11Fish2_PondTime,14.916
Pond11Fish2_PondOutcome,22
