,5d5fc2010740150018a0291e
PondTime,112.359
TimeLeft,583.997
PondOutcome,99
TotalOutcome,497
PondStart,PondStart
PondIntroTime,18.220455159898847
Type,RD
FishN,16
Fish,1
Pond4Fish1_FishType,gray
Pond4Fish1_FishLatency,5
Pond4Fish1_CatchTime,0.699
Pond4Fish1_PondTime,9.719
Pond4Fish1_PondOutcome,2
Pond4Fish1_TotalOutcome,499
Pond4Fish1_TimeLeft,555.447
Type,RD
FishN,16
Fish,2
Pond4Fish2_FishType,blue
Pond4Fish2_FishLatency,5.454545454545454
Pond4Fish2_CatchTime,0.731
Pond4Fish2_PondTime,18.076
Pond4Fish2_PondOutcome,14
Pond4Fish2_TotalOutcome,511
Pond4Fish2_TimeLeft,547.09
PondEnd_LastFish,2
FishN,16
Type,RD
GiveUpTime,2.586
PondTime,19.592
TimeLeft,545.073
PondOutcome,14
TotalOutcome,511
PondStart,PondStart
PondIntroTime,13.266845389734954
Type,RD
FishN,15
Fish,1
Pond7Fish1_FishType,blue
Pond7Fish1_FishLatency,3.3333333333333335
Pond7Fish1_CatchTime,0.731
Pond7Fish1_PondTime,7.795
Pond7Fish1_PondOutcome,12
Pond7Fish1_TotalOutcome,523
Pond7Fish1_TimeLeft,523.407
Type,RD
FishN,15
Fish,2
Pond7Fish2_FishType,blue
Pond7Fish2_FishLatency,3.5294117647058822
Pond7Fish2_CatchTime,0.693
Pond7Fish2_PondTime,13.902
Pond7Fish2_PondOutcome,24
Pond7Fish2_TotalOutcome,535
Pond7Fish2_TimeLeft,517.3
Type,RD
FishN,15
Fish,3
Pond7Fish3_FishType,blue
Pond7Fish3_FishLatency,3.75
Pond7Fish3_CatchTime,0.633
Pond7Fish3_PondTime,20.263
Pond7Fish3_PondOutcome,36
Pond7Fish3_TotalOutcome,547
Pond7Fish3_TimeLeft,510.939
Type,RD
FishN,15
Fish,4
Pond7Fish4_FishType,blue
Pond7Fish4_FishLatency,4
Pond7Fish4_CatchTime,0.689
Pond7Fish4_PondTime,26.908
Pond7Fish4_PondOutcome,48
Pond7Fish4_TotalOutcome,559
Pond7Fish4_TimeLeft,504.294
Type,RD
FishN,15
Fish,5
Pond7Fish5_FishType,blue
Pond7Fish5_FishLatency,4.285714285714286
Pond7Fish5_CatchTime,0.78
Pond7Fish5_PondTime,33.882
Pond7Fish5_PondOutcome,60
Pond7Fish5_TotalOutcome,571
Pond7Fish5_TimeLeft,497.32
Type,RD
FishN,15
Fish,6
Pond7Fish6_FishType,blue
Pond7Fish6_FishLatency,4.615384615384615
Pond7Fish6_CatchTime,0.7
Pond7Fish6_PondTime,41.238
Pond7Fish6_PondOutcome,72
Pond7Fish6_TotalOutcome,583
Pond7Fish6_TimeLeft,489.964
Type,RD
FishN,15
Fish,7
Pond7Fish7_FishType,blue
Pond7Fish7_FishLatency,5
Pond7Fish7_CatchTime,0.858
Pond7Fish7_PondTime,49.05
Pond7Fish7_PondOutcome,84
Pond7Fish7_TotalOutcome,595
Pond7Fish7_TimeLeft,482.152
Type,RD
FishN,15
Fish,8
Pond7Fish8_FishType,blue
Pond7Fish8_FishLatency,5.454545454545454
Pond7Fish8_CatchTime,0.85
Pond7Fish8_PondTime,57.408
Pond7Fish8_PondOutcome,96
Pond7Fish8_TotalOutcome,607
Pond7Fish8_TimeLeft,473.794
Type,RD
FishN,15
Fish,9
Pond7Fish9_FishType,blue
Pond7Fish9_FishLatency,6
Pond7Fish9_CatchTime,0.708
Pond7Fish9_PondTime,66.432
Pond7Fish9_PondOutcome,108
Pond7Fish9_TotalOutcome,619
Pond7Fish9_TimeLeft,464.769
Type,RD
FishN,15
Fish,10
Pond7Fish10_FishType,blue
Pond7Fish10_FishLatency,6.666666666666667
Pond7Fish10_CatchTime,0.699
Pond7Fish10_PondTime,76.289
Pond7Fish10_PondOutcome,120
