,5c1a210b97ae160001392b05
Pond10Fish12_TimeLeft,347.199
Type,RT
FishN,19
Fish,13
Pond10Fish13_FishType,purple
Pond10Fish13_FishLatency,12
Pond10Fish13_CatchTime,1.557
Pond10Fish13_PondTime,125.801
Pond10Fish13_PondOutcome,140
Pond10Fish13_TotalOutcome,873
Pond10Fish13_TimeLeft,329.8
PondEnd_LastFish,13
FishN,19
Type,RT
GiveUpTime,0.981
PondTime,126.542
TimeLeft,328.557
PondOutcome,140
TotalOutcome,873
PondStart,PondStart
PondIntroTime,13.945521169807762
Type,RT
FishN,16
Fish,1
Pond9Fish1_FishType,purple
Pond9Fish1_FishLatency,3.1578947368421053
Pond9Fish1_CatchTime,1.2
Pond9Fish1_PondTime,7.642
Pond9Fish1_PondOutcome,10
Pond9Fish1_TotalOutcome,883
Pond9Fish1_TimeLeft,306.329
Type,RT
FishN,16
Fish,2
Pond9Fish2_FishType,purple
Pond9Fish2_FishLatency,3.3333333333333335
Pond9Fish2_CatchTime,1.472
Pond9Fish2_PondTime,13.569
Pond9Fish2_PondOutcome,20
Pond9Fish2_TotalOutcome,893
Pond9Fish2_TimeLeft,300.402
Type,RT
FishN,16
Fish,3
Pond9Fish3_FishType,purple
Pond9Fish3_FishLatency,3.5294117647058822
Pond9Fish3_CatchTime,1.154
Pond9Fish3_PondTime,19.712
Pond9Fish3_PondOutcome,30
Pond9Fish3_TotalOutcome,903
Pond9Fish3_TimeLeft,294.259
Type,RT
FishN,16
Fish,4
Pond9Fish4_FishType,purple
Pond9Fish4_FishLatency,3.75
Pond9Fish4_CatchTime,1.472
Pond9Fish4_PondTime,26.109
Pond9Fish4_PondOutcome,40
Pond9Fish4_TotalOutcome,913
Pond9Fish4_TimeLeft,287.862
Type,RT
FishN,16
Fish,5
Pond9Fish5_FishType,purple
Pond9Fish5_FishLatency,4
Pond9Fish5_CatchTime,1.387
