,5dd12755381b671ab8552989
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,674
Pond12Fish2_TimeLeft,561.69
Type,N
FishN,13
Fish,3
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,6
Pond12Fish3_CatchTime,1.16
Pond12Fish3_PondTime,27.253
Pond12Fish3_PondOutcome,33
Pond12Fish3_TotalOutcome,685
Pond12Fish3_TimeLeft,552.612
Type,N
FishN,13
Fish,4
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,6.666666666666667
Pond12Fish4_CatchTime,1.106
Pond12Fish4_PondTime,37.136
Pond12Fish4_PondOutcome,44
Pond12Fish4_TotalOutcome,696
Pond12Fish4_TimeLeft,542.73
Type,N
FishN,13
Fish,5
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,7.5
Pond12Fish5_CatchTime,1.072
Pond12Fish5_PondTime,48.121
Pond12Fish5_PondOutcome,55
Pond12Fish5_TotalOutcome,707
Pond12Fish5_TimeLeft,531.745
Type,N
FishN,13
Fish,6
Pond12Fish6_FishType,green
Pond12Fish6_FishLatency,8.571428571428571
Pond12Fish6_CatchTime,1.478
Pond12Fish6_PondTime,60.518
Pond12Fish6_PondOutcome,66
Pond12Fish6_TotalOutcome,718
Pond12Fish6_TimeLeft,519.348
Type,N
FishN,13
Fish,7
Pond12Fish7_FishType,green
Pond12Fish7_FishLatency,10
Pond12Fish7_CatchTime,1.02
Pond12Fish7_PondTime,74.905
Pond12Fish7_PondOutcome,77
Pond12Fish7_TotalOutcome,729
Pond12Fish7_TimeLeft,504.961
Type,N
FishN,13
Fish,8
Pond12Fish8_FishType,green
Pond12Fish8_FishLatency,12
Pond12Fish8_CatchTime,1.078
Pond12Fish8_PondTime,92.284
Pond12Fish8_PondOutcome,88
Pond12Fish8_TotalOutcome,740
Pond12Fish8_TimeLeft,487.582
PondEnd_LastFish,8
FishN,13
Type,N
GiveUpTime,0.886
PondTime,92.446
TimeLeft,486.915
PondOutcome,88
TotalOutcome,740
PondStart,PondStart
PondIntroTime,17.374843889847398
Type,RT
FishN,19
Fish,1
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,3.5294117647058822
Pond3Fish1_CatchTime,1.112
Pond3Fish1_PondTime,8.088
