,5b7c0430c4e6ad0001d35067
Pond5Fish11_PondTime,129.233
Pond5Fish11_PondOutcome,121
Pond5Fish11_TotalOutcome,771
Pond5Fish11_TimeLeft,91.527
Type,N
FishN,12
Fish,12
Pond5Fish12_FishType,green
Pond5Fish12_FishLatency,20
Pond5Fish12_CatchTime,1.804
Pond5Fish12_PondTime,161.748
Pond5Fish12_PondOutcome,132
Pond5Fish12_TotalOutcome,782
Pond5Fish12_TimeLeft,59.013
PondEnd_LastFish,12
FishN,12
Type,N
GiveUpTime,1.406
PondTime,163.053
TimeLeft,57.205
PondOutcome,132
TotalOutcome,782
PondStart,PondStart
PondIntroTime,14.496194096282125
Type,N
FishN,19
Fish,1
Pond6Fish1_FishType,green
Pond6Fish1_FishLatency,4.615384615384615
Pond6Fish1_CatchTime,1.2
Pond6Fish1_PondTime,9.302
Pond6Fish1_PondOutcome,11
Pond6Fish1_TotalOutcome,793
Pond6Fish1_TimeLeft,32.752
Type,N
FishN,19
Fish,2
Pond6Fish2_FishType,green
Pond6Fish2_FishLatency,5
Pond6Fish2_CatchTime,1.171
Pond6Fish2_PondTime,17.175
Pond6Fish2_PondOutcome,22
Pond6Fish2_TotalOutcome,804
Pond6Fish2_TimeLeft,24.879
Type,N
FishN,19
Fish,3
Pond6Fish3_FishType,green
Pond6Fish3_FishLatency,5.454545454545454
Pond6Fish3_CatchTime,1.019
Pond6Fish3_PondTime,25.575
Pond6Fish3_PondOutcome,33
Pond6Fish3_TotalOutcome,815
Pond6Fish3_TimeLeft,16.479
Type,N
FishN,19
Fish,4
Pond6Fish4_FishType,green
Pond6Fish4_FishLatency,6
Pond6Fish4_CatchTime,1.138
Pond6Fish4_PondTime,34.675
Pond6Fish4_PondOutcome,44
Pond6Fish4_TotalOutcome,826
Pond6Fish4_TimeLeft,7.379
