,5b848525338a930001566c95
PondTime,51.6
TimeLeft,461.361
PondOutcome,60
TotalOutcome,703
PondStart,PondStart
PondIntroTime,10.47412247164175
Type,RD
FishN,12
Fish,1
Pond5Fish1_FishType,blue
Pond5Fish1_FishLatency,4
Pond5Fish1_CatchTime,0.896
Pond5Fish1_PondTime,8.557
Pond5Fish1_PondOutcome,12
Pond5Fish1_TotalOutcome,715
Pond5Fish1_TimeLeft,441.696
Type,RD
FishN,12
Fish,2
Pond5Fish2_FishType,blue
Pond5Fish2_FishLatency,4.285714285714286
Pond5Fish2_CatchTime,0.64
Pond5Fish2_PondTime,15.532
Pond5Fish2_PondOutcome,24
Pond5Fish2_TotalOutcome,727
Pond5Fish2_TimeLeft,434.721
Type,RD
FishN,12
Fish,3
Pond5Fish3_FishType,blue
Pond5Fish3_FishLatency,4.615384615384615
Pond5Fish3_CatchTime,0.862
Pond5Fish3_PondTime,22.89
Pond5Fish3_PondOutcome,36
Pond5Fish3_TotalOutcome,739
Pond5Fish3_TimeLeft,427.363
Type,RD
FishN,12
Fish,4
Pond5Fish4_FishType,blue
Pond5Fish4_FishLatency,5
Pond5Fish4_CatchTime,0.81
Pond5Fish4_PondTime,30.7
Pond5Fish4_PondOutcome,48
Pond5Fish4_TotalOutcome,751
Pond5Fish4_TimeLeft,419.553
Type,RD
FishN,12
Fish,5
Pond5Fish5_FishType,blue
Pond5Fish5_FishLatency,5.454545454545454
Pond5Fish5_CatchTime,0.539
Pond5Fish5_PondTime,39.058
Pond5Fish5_PondOutcome,60
Pond5Fish5_TotalOutcome,763
Pond5Fish5_TimeLeft,411.195
Type,RD
FishN,12
Fish,6
Pond5Fish6_FishType,blue
Pond5Fish6_FishLatency,6
Pond5Fish6_CatchTime,0.798
Pond5Fish6_PondTime,48.084
Pond5Fish6_PondOutcome,72
Pond5Fish6_TotalOutcome,775
Pond5Fish6_TimeLeft,402.169
Type,RD
FishN,12
Fish,7
Pond5Fish7_FishType,blue
Pond5Fish7_FishLatency,6.666666666666667
Pond5Fish7_CatchTime,0.63
Pond5Fish7_PondTime,57.946
Pond5Fish7_PondOutcome,84
Pond5Fish7_TotalOutcome,787
Pond5Fish7_TimeLeft,392.307
PondEnd_LastFish,7
FishN,12
Type,RD
GiveUpTime,6.169
PondTime,62.948
TimeLeft,386.803
PondOutcome,84
TotalOutcome,787
PondStart,PondStart
PondIntroTime,12.720574664417654
Type,RT
FishN,19
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,3.5294117647058822
Pond6Fish1_CatchTime,0.526
Pond6Fish1_PondTime,8.024
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,797
Pond6Fish1_TimeLeft,365.443
Type,RT
FishN,19
Fish,2
Pond6Fish2_FishType,golden
Pond6Fish2_FishLatency,3.75
Pond6Fish2_CatchTime,0.676
Pond6Fish2_PondTime,14.384
Pond6Fish2_PondOutcome,30
Pond6Fish2_TotalOutcome,817
Pond6Fish2_TimeLeft,359.084
Type,RT
FishN,19
Fish,3
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,4
Pond6Fish3_CatchTime,0.588
Pond6Fish3_PondTime,21.04
Pond6Fish3_PondOutcome,40
Pond6Fish3_TotalOutcome,827
Pond6Fish3_TimeLeft,352.428
Type,RT
FishN,19
Fish,4
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,4.285714285714286
Pond6Fish4_CatchTime,0.753
Pond6Fish4_PondTime,28.017
Pond6Fish4_PondOutcome,50
Pond6Fish4_TotalOutcome,837
Pond6Fish4_TimeLeft,345.451
Type,RT
FishN,19
Fish,5
Pond6Fish5_FishType,purple
Pond6Fish5_FishLatency,4.615384615384615
Pond6Fish5_CatchTime,0.644
Pond6Fish5_PondTime,35.39
Pond6Fish5_PondOutcome,60
Pond6Fish5_TotalOutcome,847
Pond6Fish5_TimeLeft,338.078
Type,RT
FishN,19
Fish,6
Pond6Fish6_FishType,purple
Pond6Fish6_FishLatency,5
Pond6Fish6_CatchTime,0.619
Pond6Fish6_PondTime,43.199
Pond6Fish6_PondOutcome,70
Pond6Fish6_TotalOutcome,857
Pond6Fish6_TimeLeft,330.269
Type,RT
FishN,19
Fish,7
Pond6Fish7_FishType,purple
Pond6Fish7_FishLatency,5.454545454545454
Pond6Fish7_CatchTime,0.627
Pond6Fish7_PondTime,51.558
Pond6Fish7_PondOutcome,80
Pond6Fish7_TotalOutcome,867
Pond6Fish7_TimeLeft,321.91
Type,RT
FishN,19
Fish,8
Pond6Fish8_FishType,purple
Pond6Fish8_FishLatency,6
Pond6Fish8_CatchTime,1.391
Pond6Fish8_PondTime,60.586
