,5dfe2d266552efac7758576e
Pond7Fish7_CatchTime,0.941
Pond7Fish7_PondTime,49.369
Pond7Fish7_PondOutcome,84
Pond7Fish7_TotalOutcome,758
Pond7Fish7_TimeLeft,422.46
Type,RD
FishN,15
Fish,8
Pond7Fish8_FishType,blue
Pond7Fish8_FishLatency,5.454545454545454
Pond7Fish8_CatchTime,0.992
Pond7Fish8_PondTime,57.755
Pond7Fish8_PondOutcome,96
Pond7Fish8_TotalOutcome,770
Pond7Fish8_TimeLeft,414.074
Type,RD
FishN,15
Fish,9
Pond7Fish9_FishType,blue
Pond7Fish9_FishLatency,6
Pond7Fish9_CatchTime,0.901
Pond7Fish9_PondTime,66.822
Pond7Fish9_PondOutcome,108
Pond7Fish9_TotalOutcome,782
Pond7Fish9_TimeLeft,405.007
Type,RD
FishN,15
Fish,10
Pond7Fish10_FishType,blue
Pond7Fish10_FishLatency,6.666666666666667
Pond7Fish10_CatchTime,1.94
Pond7Fish10_PondTime,76.954
Pond7Fish10_PondOutcome,120
Pond7Fish10_TotalOutcome,794
Pond7Fish10_TimeLeft,394.875
Type,RD
FishN,15
Fish,11
Pond7Fish11_FishType,blue
Pond7Fish11_FishLatency,7.5
Pond7Fish11_CatchTime,1.08
Pond7Fish11_PondTime,87.93
Pond7Fish11_PondOutcome,132
Pond7Fish11_TotalOutcome,806
Pond7Fish11_TimeLeft,383.899
Type,RD
FishN,15
Fish,12
Pond7Fish12_FishType,gray
Pond7Fish12_FishLatency,8.571428571428571
Pond7Fish12_CatchTime,0.974
Pond7Fish12_PondTime,100.332
Pond7Fish12_PondOutcome,134
Pond7Fish12_TotalOutcome,808
Pond7Fish12_TimeLeft,371.497
Type,RD
FishN,15
Fish,13
Pond7Fish13_FishType,gray
Pond7Fish13_FishLatency,10
Pond7Fish13_CatchTime,0.971
Pond7Fish13_PondTime,114.74
Pond7Fish13_PondOutcome,136
Pond7Fish13_TotalOutcome,810
Pond7Fish13_TimeLeft,357.089
PondEnd_LastFish,13
FishN,15
Type,RD
GiveUpTime,0.603
PondTime,131.871
TimeLeft,339.457
PondOutcome,136
TotalOutcome,810
PondStart,PondStart
PondIntroTime,11.266440574545413
Type,RT
FishN,19
Fish,1
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,3.1578947368421053
Pond1Fish1_CatchTime,0.788
Pond1Fish1_PondTime,7.676
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,820
Pond1Fish1_TimeLeft,319.882
Type,RT
FishN,19
Fish,2
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,3.3333333333333335
Pond1Fish2_CatchTime,0.813
Pond1Fish2_PondTime,13.57
Pond1Fish2_PondOutcome,20
Pond1Fish2_TotalOutcome,830
Pond1Fish2_TimeLeft,313.988
Type,RT
FishN,19
Fish,3
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,3.5294117647058822
Pond1Fish3_CatchTime,0.949
Pond1Fish3_PondTime,19.7
Pond1Fish3_PondOutcome,30
Pond1Fish3_TotalOutcome,840
Pond1Fish3_TimeLeft,307.858
Type,RT
FishN,19
Fish,4
Pond1Fish4_FishType,purple
Pond1Fish4_FishLatency,3.75
Pond1Fish4_CatchTime,0.872
Pond1Fish4_PondTime,26.094
Pond1Fish4_PondOutcome,40
Pond1Fish4_TotalOutcome,850
Pond1Fish4_TimeLeft,301.464
Type,RT
FishN,19
Fish,5
Pond1Fish5_FishType,purple
Pond1Fish5_FishLatency,4
Pond1Fish5_CatchTime,0.87
Pond1Fish5_PondTime,32.779
Pond1Fish5_PondOutcome,50
Pond1Fish5_TotalOutcome,860
Pond1Fish5_TimeLeft,294.779
Type,RT
FishN,19
Fish,6
Pond1Fish6_FishType,golden
Pond1Fish6_FishLatency,4.285714285714286
Pond1Fish6_CatchTime,1.107
Pond1Fish6_PondTime,39.8
Pond1Fish6_PondOutcome,70
Pond1Fish6_TotalOutcome,880
Pond1Fish6_TimeLeft,287.758
Type,RT
FishN,19
Fish,7
Pond1Fish7_FishType,purple
Pond1Fish7_FishLatency,4.615384615384615
Pond1Fish7_CatchTime,1.053
Pond1Fish7_PondTime,47.195
Pond1Fish7_PondOutcome,80
Pond1Fish7_TotalOutcome,890
Pond1Fish7_TimeLeft,280.363
Type,RT
FishN,19
Fish,8
Pond1Fish8_FishType,purple
Pond1Fish8_FishLatency,5
Pond1Fish8_CatchTime,0.985
Pond1Fish8_PondTime,55.047
Pond1Fish8_PondOutcome,90
Pond1Fish8_TotalOutcome,900
Pond1Fish8_TimeLeft,272.511
Type,RT
FishN,19
Fish,9
Pond1Fish9_FishType,purple
Pond1Fish9_FishLatency,5.454545454545454
Pond1Fish9_CatchTime,1.016
Pond1Fish9_PondTime,63.433
Pond1Fish9_PondOutcome,100
Pond1Fish9_TotalOutcome,910
Pond1Fish9_TimeLeft,264.125
Type,RT
FishN,19
Fish,10
Pond1Fish10_FishType,purple
Pond1Fish10_FishLatency,6
Pond1Fish10_CatchTime,0.94
Pond1Fish10_PondTime,72.485
Pond1Fish10_PondOutcome,110
Pond1Fish10_TotalOutcome,920
Pond1Fish10_TimeLeft,255.073
Type,RT
FishN,19
Fish,11
Pond1Fish11_FishType,purple
Pond1Fish11_FishLatency,6.666666666666667
